Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,1.25,1.26,1.25,1.26,200,1.26
2016-01-21,1.26,1.27,1.24,1.24,18100,1.24
2016-01-20,1.27,1.27,1.26,1.26,7000,1.26
2016-01-19,1.28,1.30,1.27,1.28,6900,1.28
2016-01-15,1.31,1.31,1.30,1.30,27900,1.30
2016-01-14,1.35,1.35,1.34,1.34,700,1.34
2016-01-13,1.41,1.41,1.34,1.35,1800,1.35
2016-01-12,1.40,1.46,1.39,1.46,5300,1.46
2016-01-11,1.42,1.46,1.40,1.40,7200,1.40
2016-01-08,1.42,1.45,1.42,1.45,14500,1.45
2016-01-07,1.42,1.42,1.34,1.42,2700,1.42
2016-01-06,1.46,1.46,1.41,1.42,3100,1.42
2016-01-05,1.40,1.45,1.40,1.41,9800,1.41
2016-01-04,1.35,1.36,1.35,1.36,1000,1.36
2015-12-31,1.43,1.43,1.35,1.40,5800,1.40
2015-12-30,1.47,1.48,1.35,1.36,9400,1.36
2015-12-29,1.35,1.58,1.35,1.54,3300,1.54
2015-12-28,1.39,1.64,1.30,1.53,59600,1.53
2015-12-24,1.40,1.40,1.40,1.40,000,1.40
2015-12-23,1.36,1.40,1.36,1.40,4600,1.40
2015-12-22,1.35,1.36,1.32,1.36,2700,1.36
2015-12-21,1.33,1.35,1.33,1.35,14100,1.35
2015-12-18,1.30,1.32,1.28,1.32,1700,1.32
2015-12-17,1.30,1.32,1.28,1.32,5200,1.32
2015-12-16,1.32,1.32,1.32,1.32,000,1.32
2015-12-15,1.32,1.32,1.32,1.32,200,1.32
2015-12-14,1.28,1.28,1.28,1.28,1100,1.28
2015-12-11,1.27,1.27,1.27,1.27,2900,1.27
2015-12-10,1.28,1.28,1.28,1.28,300,1.28
2015-12-09,1.29,1.33,1.27,1.27,4100,1.27
2015-12-08,1.32,1.37,1.32,1.34,4300,1.34
2015-12-07,1.39,1.40,1.27,1.32,31700,1.32
2015-12-04,1.37,1.38,1.37,1.38,4800,1.38
2015-12-03,1.39,1.40,1.39,1.40,1400,1.40
2015-12-02,1.34,1.40,1.16,1.26,71600,1.26
2015-12-01,1.35,1.40,1.19,1.40,22500,1.40
2015-11-30,1.47,1.47,1.30,1.30,21000,1.30
2015-11-27,1.49,1.49,1.40,1.43,2100,1.43
2015-11-25,1.42,1.42,1.42,1.42,000,1.42
2015-11-24,1.39,1.47,1.34,1.42,10900,1.42
2015-11-23,1.49,1.49,1.48,1.48,300,1.48
2015-11-20,1.55,1.55,1.48,1.50,600,1.50
2015-11-19,1.51,1.60,1.35,1.44,44300,1.44
2015-11-18,1.60,1.60,1.50,1.60,49200,1.60
2015-11-17,1.61,1.61,1.57,1.60,22600,1.60
2015-11-16,1.65,1.70,1.52,1.67,15400,1.67
2015-11-13,1.38,1.70,1.29,1.60,14300,1.60
2015-11-12,1.43,1.45,1.33,1.42,22000,1.42
2015-11-11,1.25,1.48,1.25,1.41,34700,1.41
2015-11-10,1.44,1.44,1.19,1.24,43600,1.24
2015-11-09,1.60,1.60,1.49,1.49,31000,1.49
2015-11-06,1.60,1.60,1.58,1.58,1700,1.58
2015-11-05,1.60,1.60,1.60,1.60,000,1.60
2015-11-04,1.64,1.65,1.60,1.60,4300,1.60
2015-11-03,1.65,1.65,1.60,1.60,22000,1.60
2015-11-02,1.60,1.60,1.52,1.59,5100,1.59
2015-10-30,1.67,1.70,1.67,1.70,18100,1.70
2015-10-29,1.70,1.70,1.67,1.70,6900,1.70
2015-10-28,1.68,1.71,1.68,1.69,11700,1.69
2015-10-27,1.70,1.70,1.68,1.70,15700,1.70
2015-10-26,1.64,1.70,1.64,1.70,8900,1.70
2015-10-23,1.71,1.73,1.55,1.70,54300,1.70
2015-10-22,1.69,1.69,1.63,1.63,5300,1.63
2015-10-21,1.65,1.65,1.65,1.65,6000,1.65
2015-10-20,1.55,1.60,1.55,1.60,32500,1.60
2015-10-19,1.62,1.62,1.52,1.58,33500,1.58
2015-10-16,1.56,1.61,1.55,1.60,8100,1.60
2015-10-15,1.54,1.57,1.52,1.57,11500,1.57
2015-10-14,1.54,1.54,1.54,1.54,000,1.54
2015-10-13,1.54,1.54,1.54,1.54,000,1.53
2015-10-12,1.61,1.61,1.54,1.54,11200,1.53
2015-10-09,1.58,1.60,1.58,1.58,7500,1.56974
2015-10-08,1.56,1.60,1.56,1.60,23400,1.58961
2015-10-07,1.54,1.60,1.53,1.59,39600,1.579675
2015-10-06,1.55,1.55,1.53,1.53,1600,1.520065
2015-10-05,1.63,1.63,1.60,1.60,13700,1.58961
2015-10-02,1.72,1.72,1.63,1.63,600,1.619416
2015-10-01,1.63,1.67,1.63,1.65,3400,1.639286
2015-09-30,1.64,1.65,1.60,1.62,4000,1.609481
2015-09-29,1.65,1.66,1.64,1.65,3100,1.639286
2015-09-28,1.56,1.77,1.53,1.60,33400,1.58961
2015-09-25,1.60,1.60,1.50,1.50,24900,1.49026
2015-09-24,1.69,1.69,1.53,1.58,31300,1.56974
2015-09-23,1.72,1.72,1.64,1.64,1400,1.629351
2015-09-22,1.71,1.71,1.61,1.64,1700,1.629351
2015-09-21,1.69,1.71,1.60,1.60,2300,1.58961
2015-09-18,1.70,1.70,1.58,1.58,5100,1.56974
2015-09-17,1.70,1.73,1.51,1.59,8700,1.579675
2015-09-16,1.66,1.68,1.64,1.68,2700,1.669091
2015-09-15,1.62,1.71,1.62,1.70,7400,1.688961
2015-09-14,1.63,1.71,1.61,1.65,12900,1.639286
2015-09-11,1.72,1.73,1.57,1.63,21000,1.619416
2015-09-10,1.44,1.74,1.44,1.72,34400,1.708831
2015-09-09,1.48,1.55,1.38,1.38,14800,1.371039
2015-09-08,1.31,1.45,1.30,1.39,16200,1.380974
