Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,22.17,22.17,21.75,21.75,4000,21.75
2016-01-21,21.65,22.719999,21.40,22.719999,7000,22.719999
2016-01-20,23.00,23.00,21.787001,22.17,4300,22.17
2016-01-19,22.01,23.00,21.950001,22.77,3200,22.77
2016-01-15,21.75,21.75,21.40,21.663,5700,21.663
2016-01-14,21.700001,22.85,21.60,22.00,6600,22.00
2016-01-13,22.889999,22.90,22.889999,22.90,200,22.90
2016-01-12,22.549999,23.25,22.52,22.90,2300,22.90
2016-01-11,22.360001,23.25,22.360001,23.25,400,23.25
2016-01-08,23.101,23.40,23.10,23.40,900,23.40
2016-01-07,23.26,23.360001,22.25,23.360001,6200,23.360001
2016-01-06,22.60,23.707001,22.60,23.50,5800,23.50
2016-01-05,22.07,23.32,22.07,23.309,3300,23.309
2016-01-04,22.200001,22.889999,21.75,22.889999,7600,22.889999
2015-12-31,21.75,21.75,21.75,21.75,600,21.75
2015-12-30,21.700001,22.110001,21.540001,21.75,5900,21.75
2015-12-29,22.40,22.40,21.440001,21.700001,3700,21.700001
2015-12-28,22.389999,22.389999,21.530001,21.799,2500,21.799
2015-12-24,21.745001,21.745001,21.745001,21.745001,000,21.745001
2015-12-23,22.129999,22.25,21.440001,21.745001,6700,21.745001
2015-12-22,22.00,22.00,21.59,21.99,2300,21.99
2015-12-21,22.226,22.226,21.90,21.90,1900,21.90
2015-12-18,22.23,22.49,22.049999,22.49,2000,22.49
2015-12-17,22.051001,22.472,22.051001,22.25,17800,22.25
2015-12-16,22.58,22.58,22.58,22.58,800,22.58
2015-12-15,22.90,22.90,22.580999,22.580999,1500,21.925
2015-12-14,23.60,23.60,22.549999,22.921,6300,22.255123
2015-12-11,24.00,24.00,22.552,23.540001,5900,22.856142
2015-12-10,22.950001,23.65,22.886,23.48,2900,22.797883
2015-12-09,22.51,22.878,22.51,22.878,2900,22.213373
2015-12-08,22.74,23.00,22.49,22.49,4500,21.836644
2015-12-07,22.91,22.91,22.629999,22.74,5500,22.079381
2015-12-04,22.433001,22.50,22.360001,22.360001,2100,21.710421
2015-12-03,22.700001,23.00,21.90,22.17,3900,21.525941
2015-12-02,22.09,22.10,21.75,22.09,1900,21.448265
2015-12-01,22.84,22.84,22.08,22.10,5800,21.457974
2015-11-30,21.59,22.75,21.540001,22.74,16800,22.079381
2015-11-27,21.00,21.40,20.790001,21.40,4200,20.778309
2015-11-25,20.75,21.00,20.450001,20.690001,2600,20.088936
2015-11-24,19.49,20.747999,19.49,20.747999,6900,20.14525
2015-11-23,19.50,19.50,19.049999,19.50,3700,18.933507
2015-11-20,20.00,20.00,19.50,19.50,4700,18.933507
2015-11-19,19.99,19.99,19.99,19.99,100,19.409271
2015-11-18,19.75,19.98,19.681999,19.98,400,19.399562
2015-11-17,20.00,20.00,20.00,20.00,000,19.418981
2015-11-16,20.00,20.00,20.00,20.00,000,19.418981
2015-11-13,19.98,20.200001,19.98,20.00,600,19.418981
2015-11-12,19.701,19.701,19.701,19.701,100,19.128668
2015-11-11,19.99,19.99,19.954,19.954,1200,19.374318
2015-11-10,20.209999,20.209999,19.99,19.99,200,19.409271
2015-11-09,20.690001,20.700001,20.15,20.309999,6700,19.719975
2015-11-06,19.65,20.68,19.65,20.68,800,20.079227
2015-11-05,20.32,20.783001,19.68,20.41,7800,19.81707
2015-11-04,20.60,20.60,20.60,20.60,000,20.001551
2015-11-03,20.15,20.90,20.15,20.60,1500,20.001551
2015-11-02,20.385,20.863001,20.385,20.465,1400,19.870473
2015-10-30,20.049999,20.049999,20.049999,20.049999,700,19.467528
2015-10-29,20.562,20.562,20.51,20.51,500,19.914165
2015-10-28,20.00,20.98,20.00,20.98,900,20.370511
2015-10-27,19.98,19.98,19.549999,19.700001,1500,19.127697
2015-10-26,19.799999,19.962,19.799999,19.962,300,19.382085
2015-10-23,19.952,19.99,19.75,19.75,1300,19.176244
2015-10-22,19.868999,19.868999,19.559999,19.823,1900,19.247123
2015-10-21,19.809999,19.969999,19.75,19.90,3800,19.321886
2015-10-20,19.73,19.950001,19.73,19.90,3000,19.321886
2015-10-19,19.52,19.52,19.52,19.52,100,18.952926
2015-10-16,19.48,19.48,19.48,19.48,000,18.914087
2015-10-15,19.48,19.48,19.48,19.48,000,18.914087
2015-10-14,19.48,19.48,19.48,19.48,500,18.914087
2015-10-13,19.533001,19.65,19.48,19.589001,2600,19.019922
2015-10-12,19.290001,19.66,19.290001,19.40,2800,18.836411
2015-10-09,18.975,19.690001,18.940001,19.299999,4200,18.739316
2015-10-08,19.549999,19.549999,18.18,18.73,5800,18.185875
2015-10-07,19.200001,19.799999,19.200001,19.575001,2900,19.006328
2015-10-06,19.809999,19.809999,19.620001,19.620001,700,19.050021
2015-10-05,19.50,19.799999,19.50,19.797001,2200,19.221879
2015-10-02,19.50,19.98,19.50,19.500999,1900,18.934477
2015-10-01,19.700001,19.700001,19.700001,19.700001,400,19.127697
2015-09-30,19.68,19.969999,19.68,19.969999,700,19.389852
2015-09-29,21.00,21.00,18.76,19.50,3300,18.933507
2015-09-28,21.34,21.596001,20.549999,20.996,3400,20.386047
2015-09-25,21.950001,22.00,21.950001,22.00,900,21.360879
2015-09-24,22.530001,22.530001,21.610001,21.996,2800,21.356996
2015-09-23,22.549999,22.784,22.327,22.784,2200,22.122104
2015-09-22,23.00,23.00,22.077,22.98,6500,22.312409
2015-09-21,22.799999,24.00,22.549999,22.549999,7600,21.8949
2015-09-18,23.379999,23.379999,22.32,22.32,600,21.671583
2015-09-17,23.40,23.636,22.139999,23.636,3600,22.949352
2015-09-16,22.18,22.25,22.16,22.25,1700,21.603616
2015-09-15,22.469999,22.60,22.450001,22.450001,4400,21.160864
2015-09-14,22.549999,22.58,22.200001,22.58,3900,21.283398
2015-09-11,22.700001,22.738001,22.274,22.549999,1900,21.25512
2015-09-10,22.790001,22.790001,22.726999,22.726999,700,21.421956
2015-09-09,22.799999,22.799999,22.16,22.736,3200,21.43044
2015-09-08,22.799999,22.799999,22.75,22.75,4200,21.443636
2015-09-04,22.799999,22.799999,22.799999,22.799999,300,21.490764
2015-09-03,22.799999,23.325001,22.790001,23.00,12900,21.679281
2015-09-02,22.700001,22.799999,22.700001,22.75,1400,21.443636
2015-09-01,22.393999,22.799999,22.299999,22.799999,3400,21.490764
2015-08-31,22.60,22.780001,22.60,22.780001,600,21.471914
2015-08-28,22.40,22.799999,22.389999,22.693001,3900,21.38991
2015-08-27,22.50,22.50,22.08,22.08,4400,20.812109
2015-08-26,22.75,22.761,22.097,22.59,8700,21.292824
2015-08-25,22.75,22.75,22.75,22.75,100,21.443636
2015-08-24,22.799999,22.799999,22.65,22.65,4500,21.349378
2015-08-21,22.799999,22.799999,22.684999,22.74,1600,21.43421
2015-08-20,22.799999,22.799999,22.799999,22.799999,300,21.490764
2015-08-19,22.889999,22.889999,22.889999,22.889999,100,21.575597
2015-08-18,22.90,22.90,22.90,22.90,000,21.585023
2015-08-17,22.90,22.90,22.90,22.90,000,21.585023
2015-08-14,22.90,22.90,22.90,22.90,500,21.585023
2015-08-13,22.90,22.90,22.90,22.90,100,21.585023
2015-08-12,22.50,22.50,22.50,22.50,000,21.207992
2015-08-11,22.50,22.50,22.50,22.50,400,21.207992
2015-08-10,22.870001,22.870001,22.870001,22.870001,300,21.556746
