Date,Open,High,Low,Close,Volume,Adj Close
2016-01-07,10.25,10.30,10.18,10.25,18900,10.25
2016-01-06,10.03,10.32,10.03,10.30,43000,10.30
2016-01-05,10.15,10.16,10.01,10.10,8000,10.10
2016-01-04,10.15,10.15,10.15,10.15,200,10.15
2015-12-31,10.15,10.15,10.15,10.15,200,10.15
2015-12-30,10.20,10.25,10.11,10.18,7400,10.18
2015-12-29,10.07,10.10,10.05,10.10,2900,10.10
2015-12-28,9.95,10.00,9.95,10.00,8900,10.00
2015-12-24,9.95,9.95,9.95,9.95,000,9.95
2015-12-23,9.95,9.95,9.95,9.95,500,9.95
2015-12-22,9.82,9.82,9.82,9.82,100,9.82
2015-12-21,9.94,9.94,9.94,9.94,200,9.94
2015-12-18,9.93,9.93,9.93,9.93,300,9.93
2015-12-17,10.00,10.00,9.95,9.95,500,9.95
2015-12-16,9.75,9.78,9.72,9.78,2500,9.78
2015-12-15,9.99,9.99,9.78,9.80,8100,9.80
2015-12-14,10.00,10.00,10.00,10.00,000,10.00
2015-12-11,10.00,10.00,10.00,10.00,400,10.00
2015-12-10,9.94,9.94,9.94,9.94,000,9.94
2015-12-09,9.94,9.94,9.93,9.94,2600,9.94
2015-12-08,9.86,9.86,9.83,9.83,2200,9.83
2015-12-07,9.80,9.80,9.80,9.80,000,9.80
2015-12-04,9.80,9.80,9.75,9.80,3600,9.80
2015-12-03,9.82,9.82,9.82,9.82,000,9.82
2015-12-02,9.82,9.82,9.82,9.82,000,9.82
2015-12-01,9.82,9.82,9.82,9.82,100,9.82
2015-11-30,9.90,9.90,9.90,9.90,2200,9.90
2015-11-27,9.77,9.90,9.77,9.90,2100,9.90
2015-11-25,9.85,9.85,9.75,9.75,4800,9.75
2015-11-24,9.77,9.78,9.76,9.76,2600,9.76
2015-11-23,9.76,9.76,9.76,9.76,500,9.76
2015-11-20,9.75,9.76,9.75,9.76,600,9.76
2015-11-19,9.75,9.75,9.75,9.75,000,9.75
2015-11-18,9.90,9.90,9.75,9.75,1400,9.75
2015-11-17,9.83,9.84,9.83,9.84,900,9.84
2015-11-16,9.90,9.90,9.90,9.90,000,9.90
2015-11-13,9.90,9.90,9.90,9.90,000,9.90
2015-11-12,9.90,9.90,9.90,9.90,000,9.90
2015-11-11,9.90,9.90,9.90,9.90,200,9.90
2015-11-10,9.85,9.85,9.85,9.85,000,9.85
2015-11-09,9.85,9.85,9.85,9.85,000,9.85
2015-11-06,9.70,9.89,9.65,9.85,4000,9.85
2015-11-05,9.70,9.70,9.70,9.70,000,9.70
2015-11-04,9.70,9.70,9.70,9.70,000,9.70
2015-11-03,9.60,9.70,9.60,9.70,6400,9.70
2015-11-02,9.59,9.59,9.59,9.59,600,9.59
2015-10-30,9.72,9.72,9.43,9.43,200,9.43
2015-10-29,9.42,9.42,9.42,9.42,000,9.42
2015-10-28,9.42,9.42,9.42,9.42,900,9.42
2015-10-27,9.45,9.50,9.45,9.45,1300,9.45
2015-10-26,9.43,9.43,9.43,9.43,000,9.43
2015-10-23,9.45,9.45,9.27,9.43,16800,9.43
2015-10-22,9.46,9.46,9.44,9.45,1900,9.45
2015-10-21,9.44,9.59,9.44,9.59,200,9.59
2015-10-20,9.44,9.44,9.44,9.44,100,9.44
2015-10-19,9.52,9.52,9.52,9.52,200,9.52
2015-10-16,9.30,9.30,9.30,9.30,100,9.26
2015-10-15,9.33,9.50,9.30,9.30,2900,9.26
2015-10-14,9.34,9.34,9.30,9.30,200,9.26
2015-10-13,9.64,9.64,9.64,9.64,000,9.598538
2015-10-12,9.49,9.74,9.30,9.64,2200,9.598538
2015-10-09,9.38,9.38,9.38,9.38,000,9.339656
2015-10-08,9.38,9.50,9.38,9.38,5300,9.339656
2015-10-07,9.30,9.38,9.30,9.38,4800,9.339656
2015-10-06,9.34,9.35,9.34,9.35,200,9.309785
2015-10-05,9.41,9.41,9.41,9.41,000,9.369527
2015-10-02,9.38,9.41,9.38,9.41,200,9.369527
2015-10-01,9.75,9.75,9.75,9.75,200,9.708065
2015-09-30,9.56,9.56,9.56,9.56,000,9.518882
2015-09-29,9.39,9.73,9.39,9.56,900,9.518882
2015-09-28,9.47,9.47,9.44,9.44,1700,9.399397
2015-09-25,9.57,9.57,9.57,9.57,300,9.528838
2015-09-24,9.48,9.48,9.48,9.48,1200,9.439225
2015-09-23,9.48,9.54,9.30,9.48,6800,9.439225
2015-09-22,9.38,9.38,9.36,9.36,400,9.319742
2015-09-21,9.55,9.55,9.55,9.55,400,9.508925
2015-09-18,9.55,9.90,9.30,9.90,3600,9.857419
2015-09-17,9.55,9.56,9.10,9.20,29800,9.16043
2015-09-16,9.61,9.61,9.27,9.36,5200,9.319742
2015-09-15,9.69,9.77,9.69,9.77,400,9.727979
2015-09-14,10.11,10.11,9.75,10.04,2100,9.996817
2015-09-11,10.00,10.15,9.85,10.15,66400,10.106344
2015-09-10,9.44,10.15,9.20,10.01,54500,9.966947
2015-09-09,7.96,7.96,7.84,7.96,1200,7.925764
2015-09-08,8.00,8.00,8.00,8.00,000,7.965591
2015-09-04,8.00,8.00,8.00,8.00,000,7.965591
2015-09-03,8.00,8.00,8.00,8.00,000,7.965591
2015-09-02,8.00,8.00,8.00,8.00,200,7.965591
2015-09-01,8.14,8.14,8.01,8.01,3500,7.975549
2015-08-31,8.00,8.00,8.00,8.00,2600,7.965591
2015-08-28,8.00,8.00,8.00,8.00,000,7.965591
2015-08-27,8.20,8.22,7.99,8.00,4200,7.965591
2015-08-26,8.05,8.05,8.05,8.05,000,8.015377
2015-08-25,8.25,8.25,8.05,8.05,600,8.015377
2015-08-24,8.15,8.16,8.14,8.16,1400,8.124903
2015-08-21,8.11,8.39,8.10,8.19,1300,8.154774
2015-08-20,8.10,8.10,8.10,8.10,200,8.065162
2015-08-19,7.96,7.96,7.96,7.96,000,7.925764
2015-08-18,7.96,7.96,7.96,7.96,000,7.925764
2015-08-17,7.99,7.99,7.96,7.96,500,7.925764
2015-08-14,7.90,8.01,7.90,8.01,2400,7.975549
2015-08-13,7.89,7.89,7.89,7.89,000,7.856064
2015-08-12,8.00,8.80,7.89,7.89,20400,7.856064
2015-08-11,8.48,8.48,8.48,8.48,000,8.443526
2015-08-10,8.48,8.48,8.48,8.48,000,8.443526
2015-08-07,8.48,8.48,8.48,8.48,000,8.443526
