Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,53.529999,53.540001,52.470001,52.68,9900,52.68
2016-01-21,52.560001,52.560001,51.610001,51.919998,5500,51.919998
2016-01-20,51.099998,53.27,50.23,52.169998,35400,52.169998
2016-01-19,52.240002,54.009998,51.41,51.889999,32700,51.889999
2016-01-15,52.189999,52.50,51.23,52.16,32200,52.16
2016-01-14,52.25,53.490002,52.25,53.049999,116600,53.049999
2016-01-13,55.119999,55.119999,52.439999,52.450001,28900,52.450001
2016-01-12,53.619999,53.889999,53.23,53.880001,112400,53.880001
2016-01-11,52.799999,53.470001,52.57,53.32,164600,53.32
2016-01-08,53.27,53.27,52.259998,52.610001,6700,52.610001
2016-01-07,53.259998,53.349998,52.700001,52.700001,3900,52.700001
2016-01-06,53.279999,53.73,53.279999,53.540001,1500,53.540001
2016-01-05,54.490002,54.490002,53.439999,53.68,4100,53.68
2016-01-04,54.41,54.459999,52.790001,53.259998,16300,53.259998
2015-12-31,54.93,55.150002,54.900002,54.900002,2100,54.900002
2015-12-30,55.419998,55.639999,55.419998,55.459999,3500,55.459999
2015-12-29,56.25,56.25,55.34,55.34,3000,55.34
2015-12-28,55.52,55.560001,55.189999,55.200001,1500,55.200001
2015-12-24,56.150002,56.200001,55.689999,55.689999,900,55.689999
2015-12-23,56.119999,56.119999,56.119999,56.119999,300,56.119999
2015-12-22,54.66,55.119999,54.470001,55.119999,1500,55.119999
2015-12-21,55.099998,55.099998,54.349998,54.599998,4400,54.599998
2015-12-18,54.900002,54.900002,54.27,54.360001,1500,54.360001
2015-12-17,55.560001,55.560001,55.560001,55.560001,500,54.955002
2015-12-16,55.650002,55.66,55.650002,55.650002,1600,55.044022
2015-12-15,54.98,54.98,54.240002,54.52,2500,53.926326
2015-12-14,54.400002,55.00,53.900002,54.369999,12800,53.777958
2015-12-11,55.66,55.66,54.34,54.509998,3400,53.916433
2015-12-10,55.939999,55.939999,55.490002,55.490002,1600,54.885765
2015-12-09,56.490002,56.860001,56.07,56.07,2100,55.459447
2015-12-08,56.259998,56.59,56.18,56.59,4000,55.973785
2015-12-07,56.889999,56.900002,56.50,56.610001,3000,55.993568
2015-12-04,56.91,57.200001,56.91,56.919998,2100,56.30019
2015-12-03,57.18,57.18,56.59,56.59,2600,55.973785
2015-12-02,57.849998,58.110001,56.990002,57.369999,10800,56.745291
2015-12-01,59.84,59.84,57.77,57.880001,4100,57.249739
2015-11-30,58.849998,59.060001,58.43,58.43,3100,57.793749
2015-11-27,59.860001,59.860001,58.50,59.00,4000,58.357542
2015-11-25,58.419998,58.860001,58.419998,58.84,1900,58.199285
2015-11-24,58.060001,58.07,57.580002,57.66,1300,57.032134
2015-11-23,57.16,58.139999,57.16,58.139999,6900,57.506906
2015-11-20,57.580002,57.73,57.380001,57.419998,2300,56.794745
