Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,12.56,12.85,12.30,12.38,17300,12.38
2016-01-21,11.38,12.27,11.20,12.10,18500,12.10
2016-01-20,10.99,11.44,10.43,11.39,47200,11.39
2016-01-19,12.28,12.33,11.15,11.35,24100,11.35
2016-01-15,11.99,12.18,11.67,12.18,31700,12.18
2016-01-14,12.26,12.69,12.00,12.67,42700,12.67
2016-01-13,12.94,13.10,12.09,12.15,21000,12.15
2016-01-12,13.00,13.00,12.18,12.55,17300,12.55
2016-01-11,13.20,13.20,12.65,12.76,38800,12.76
2016-01-08,13.62,13.62,13.18,13.40,17400,13.40
2016-01-07,13.98,14.01,13.50,13.56,16000,13.56
2016-01-06,14.76,14.76,14.18,14.24,38500,14.24
2016-01-05,15.07,15.17,14.98,15.14,2600,15.14
2016-01-04,15.16,15.69,15.04,15.52,12900,15.52
2015-12-31,15.07,15.49,15.07,15.37,101000,15.37
2015-12-30,15.28,15.56,15.14,15.22,21200,15.22
2015-12-29,15.74,15.82,15.28,15.55,14400,15.55
2015-12-28,15.95,15.95,15.42,15.42,32700,15.42
2015-12-24,16.540001,16.540001,16.209999,16.299999,8300,16.299999
2015-12-23,15.28,16.469999,15.28,16.450001,48700,16.450001
2015-12-22,14.73,15.27,14.73,15.26,118100,15.26
2015-12-21,14.88,14.88,14.35,14.58,42500,14.58
2015-12-18,14.99,15.04,14.69,14.79,27500,14.79
2015-12-17,15.55,15.55,14.92,15.05,46000,14.987
2015-12-16,16.18,16.32,15.64,15.76,37200,15.694028
2015-12-15,15.91,16.120001,15.91,16.059999,5600,15.992772
2015-12-14,15.80,15.80,15.50,15.60,12800,15.534698
2015-12-11,16.370001,16.370001,15.90,15.93,21200,15.863317
2015-12-10,16.360001,16.780001,16.34,16.60,6700,16.530512
2015-12-09,16.17,16.940001,16.17,16.34,10500,16.2716
2015-12-08,15.89,16.440001,15.89,16.200001,8700,16.132187
2015-12-07,16.940001,16.940001,15.93,16.110001,39300,16.042564
2015-12-04,17.74,17.74,17.07,17.129999,20800,17.058292
2015-12-03,18.129999,18.27,17.889999,17.969999,15800,17.894776
2015-12-02,18.610001,18.610001,17.85,17.99,7700,17.914693
2015-12-01,18.700001,18.91,18.639999,18.799999,17200,18.721302
2015-11-30,18.280001,18.870001,18.280001,18.75,25900,18.671512
2015-11-27,18.35,18.35,18.110001,18.120001,2900,18.04415
2015-11-25,18.17,18.860001,18.17,18.65,18400,18.57193
2015-11-24,17.98,18.799999,17.92,18.66,17800,18.581888
2015-11-23,17.469999,17.860001,17.379999,17.620001,12000,17.546243
2015-11-20,17.870001,17.870001,17.52,17.52,15900,17.446661
2015-11-19,18.50,18.50,17.73,17.92,10600,17.844986
2015-11-18,18.309999,18.67,18.17,18.67,8500,18.591847
2015-11-17,18.440001,18.610001,18.09,18.139999,6600,18.064065
2015-11-16,18.35,18.629999,18.00,18.629999,4300,18.552013
2015-11-13,17.690001,18.200001,17.41,18.07,16900,17.994358
2015-11-12,17.969999,18.15,17.65,17.66,8000,17.586074
2015-11-11,19.059999,19.059999,18.110001,18.33,15000,18.25327
2015-11-10,18.83,19.26,18.83,19.07,6200,18.990172
2015-11-09,18.879999,19.16,18.59,19.02,10400,18.940382
2015-11-06,18.700001,19.040001,18.48,18.940001,9100,18.860717
2015-11-05,19.129999,19.299999,18.75,18.799999,4800,18.721302
2015-11-04,19.559999,19.559999,18.82,19.17,18700,19.089754
2015-11-03,18.77,20.00,18.77,19.639999,15600,19.557786
2015-11-02,18.200001,18.90,18.200001,18.73,15000,18.651595
2015-10-30,17.940001,18.200001,17.370001,18.059999,6100,17.9844
2015-10-29,18.07,18.65,17.92,17.940001,3200,17.864903
2015-10-28,17.27,18.27,17.27,18.030001,16600,17.954526
2015-10-27,17.75,17.75,17.00,17.120001,16000,17.048336
2015-10-26,18.620001,18.620001,17.75,17.889999,11500,17.815111
2015-10-23,18.83,18.959999,18.42,18.67,13300,18.591847
2015-10-22,19.01,19.26,18.700001,18.700001,5600,18.621722
2015-10-21,19.280001,19.280001,18.709999,18.709999,11600,18.631678
2015-10-20,19.40,19.51,19.25,19.49,11300,19.408414
2015-10-19,19.129999,19.129999,18.700001,18.74,8000,18.661553
2015-10-16,19.23,19.41,19.040001,19.360001,6600,19.278959
2015-10-15,19.15,19.77,19.00,19.77,10000,19.687243
2015-10-14,19.01,19.32,18.84,19.26,7600,19.179377
