Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,39.049999,39.060001,38.849998,39.029999,5600,39.029999
2016-01-21,38.389999,38.880001,38.389999,38.700001,1700,38.700001
2016-01-20,37.849998,38.689999,37.130001,38.619999,5100,38.619999
2016-01-19,38.77,38.970001,38.02,38.32,8600,38.32
2016-01-15,38.290001,38.580002,38.009998,38.580002,6100,38.580002
2016-01-14,38.439999,39.25,38.439999,38.779999,2300,38.779999
2016-01-13,39.549999,39.75,38.490002,38.73,33500,38.73
2016-01-12,39.830002,39.919998,39.34,39.790001,5100,39.790001
2016-01-11,39.630001,39.779999,39.43,39.779999,4300,39.779999
2016-01-08,40.529999,40.529999,39.900002,39.91,14600,39.91
2016-01-07,40.900002,41.049999,40.419998,40.470001,4600,40.470001
2016-01-06,41.900002,42.02,41.77,41.77,2700,41.77
2016-01-05,41.970001,42.110001,41.880001,42.110001,1500,42.110001
2016-01-04,42.09,42.119999,41.889999,41.950001,29600,41.950001
2015-12-31,43.630001,43.630001,43.23,43.23,1100,43.23
2015-12-30,44.060001,44.060001,43.740002,43.790001,4100,43.790001
2015-12-29,43.880001,45.23,43.700001,44.07,34300,44.07
2015-12-28,43.689999,43.77,43.669998,43.77,3900,43.77
2015-12-24,44.060001,44.099998,44.009998,44.099998,600,44.099998
2015-12-23,43.759998,44.00,43.759998,43.939999,1200,43.939999
2015-12-22,43.029999,43.439999,42.810001,43.439999,6800,43.439999
2015-12-21,42.919998,43.16,42.75,42.869999,2800,42.869999
2015-12-18,43.509998,43.509998,42.66,42.66,6400,42.66
2015-12-17,44.330002,44.330002,43.959999,43.98,12200,43.828998
2015-12-16,44.240002,44.360001,43.759998,44.139999,1400,43.988449
2015-12-15,43.919998,43.919998,43.490002,43.73,3300,43.579857
2015-12-14,43.720001,43.720001,43.200001,43.369999,9200,43.221092
2015-12-11,44.060001,44.18,43.59,43.59,4600,43.440338
2015-12-10,44.549999,44.759998,44.540001,44.540001,3600,44.387077
2015-12-09,44.50,44.50,44.50,44.50,500,44.347213
2015-12-08,44.919998,45.040001,44.889999,45.02,2100,44.865429
2015-12-07,46.009998,46.009998,45.610001,45.68,5100,45.523162
2015-12-04,45.98,46.50,45.98,46.50,6300,46.340347
2015-12-03,46.610001,46.970001,46.07,46.07,2400,45.911823
