Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,14.72,14.92,14.58,14.58,7100,14.58
2016-01-21,14.93,14.93,14.50,14.59,24200,14.59
2016-01-20,15.10,15.10,14.45,14.83,18700,14.83
2016-01-19,15.27,15.29,15.05,15.24,12100,15.24
2016-01-15,15.22,15.28,15.02,15.23,22800,15.23
2016-01-14,15.19,15.37,15.06,15.33,30400,15.33
2016-01-13,15.55,15.58,15.04,15.27,17000,15.27
2016-01-12,15.65,15.68,15.49,15.62,21500,15.62
2016-01-11,15.65,15.70,15.52,15.64,92900,15.64
2016-01-08,15.58,15.79,15.58,15.65,280000,15.65
2016-01-07,15.69,15.84,15.51,15.53,115500,15.53
2016-01-06,15.55,16.01,15.55,15.79,33400,15.79
2016-01-05,15.63,15.91,15.57,15.73,42300,15.634999
2016-01-04,15.81,15.91,15.59,15.70,47800,15.605181
2015-12-31,16.24,16.33,15.90,15.96,17800,15.863611
2015-12-30,16.129999,16.40,16.129999,16.24,12300,16.141919
2015-12-29,15.83,16.379999,15.83,16.120001,53900,16.022645
2015-12-28,15.95,16.01,15.88,15.93,59700,15.833792
2015-12-24,15.97,16.01,15.87,15.90,38300,15.803973
2015-12-23,15.90,16.00,15.90,15.97,14400,15.87355
2015-12-22,16.059999,16.059999,15.81,15.96,29300,15.863611
2015-12-21,15.95,16.209999,15.94,15.99,45500,15.893429
2015-12-18,15.88,16.129999,15.79,15.94,65700,15.843731
2015-12-17,15.97,16.15,15.86,16.00,75200,15.903369
2015-12-16,16.110001,16.15,15.93,16.07,104000,15.972946
2015-12-15,16.190001,16.190001,15.98,16.00,144800,15.903369
2015-12-14,16.129999,16.190001,16.030001,16.030001,28300,15.933188
2015-12-11,16.59,16.610001,16.10,16.27,11300,16.171739
2015-12-10,16.66,16.82,16.530001,16.700001,126500,16.599142
2015-12-09,16.709999,16.889999,16.559999,16.74,54500,16.6389
2015-12-08,16.530001,16.75,16.50,16.700001,28300,16.599142
2015-12-07,16.91,16.950001,16.59,16.65,58200,16.549443
2015-12-04,16.60,16.950001,16.60,16.950001,119400,16.847632
2015-12-03,16.780001,17.24,16.59,17.01,24000,16.907269
2015-12-02,16.50,17.25,16.450001,16.77,78500,16.668719
2015-12-01,16.42,16.49,16.27,16.450001,14500,16.350652
