Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,19.209999,19.280001,18.77,18.950001,34900,18.950001
2016-01-21,19.459999,19.709999,19.02,19.040001,22000,19.040001
2016-01-20,18.959999,19.469999,18.549999,19.24,37500,19.24
2016-01-19,19.26,19.690001,18.77,19.110001,79600,19.110001
2016-01-15,18.84,19.40,18.65,19.200001,44600,19.200001
2016-01-14,19.530001,19.90,19.049999,19.370001,83400,19.370001
2016-01-13,19.66,19.940001,19.15,19.299999,54800,19.299999
2016-01-12,19.75,19.75,19.18,19.559999,47900,19.559999
2016-01-11,19.84,19.889999,19.200001,19.59,87000,19.59
2016-01-08,19.629999,20.18,19.40,19.48,37100,19.48
2016-01-07,20.00,20.15,19.52,19.530001,75200,19.530001
2016-01-06,20.25,20.440001,19.98,20.290001,47500,20.290001
2016-01-05,20.09,21.059999,19.709999,20.50,53500,20.50
2016-01-04,20.57,20.57,19.879999,20.07,87100,20.07
2015-12-31,20.24,20.92,20.23,20.52,139600,20.52
2015-12-30,20.66,20.93,20.440001,20.469999,26300,20.469999
2015-12-29,20.709999,20.969999,20.48,20.719999,21700,20.719999
2015-12-28,20.67,20.790001,20.309999,20.700001,35500,20.700001
2015-12-24,21.00,21.00,20.34,20.549999,34500,20.549999
2015-12-23,21.219999,21.27,20.879999,21.16,19600,21.16
2015-12-22,21.059999,21.209999,20.709999,21.200001,48400,21.200001
2015-12-21,21.799999,21.950001,20.780001,21.01,72100,21.01
2015-12-18,22.15,22.299999,21.00,21.67,69100,21.598001
2015-12-17,22.67,23.049999,22.110001,22.280001,25100,22.205974
2015-12-16,22.40,22.940001,22.08,22.59,36900,22.514944
2015-12-15,22.60,22.73,22.030001,22.33,19200,22.255808
2015-12-14,22.219999,22.360001,21.73,22.23,51900,22.156139
2015-12-11,22.040001,22.65,22.040001,22.35,34700,22.275742
2015-12-10,22.50,22.969999,22.48,22.610001,22400,22.534878
2015-12-09,23.110001,23.309999,22.51,22.610001,49400,22.534878
2015-12-08,22.860001,23.540001,22.790001,23.25,18500,23.172751
2015-12-07,23.24,23.280001,23.00,23.09,77400,23.013283
2015-12-04,23.07,23.559999,23.00,23.459999,27800,23.382052
2015-12-03,23.370001,23.57,23.01,23.040001,46100,22.96345
2015-12-02,23.299999,23.66,23.27,23.33,28900,23.252485
2015-12-01,23.15,23.549999,23.15,23.42,83200,23.342186
2015-11-30,23.27,23.969999,23.15,23.209999,78100,23.132883
2015-11-27,23.24,24.25,23.200001,23.35,53300,23.272419
2015-11-25,22.85,23.60,21.719999,23.309999,236600,23.232551
2015-11-24,25.68,26.059999,25.65,26.00,26300,25.913614
2015-11-23,26.00,26.549999,25.60,25.93,82900,25.843847
2015-11-20,25.969999,26.459999,25.65,26.059999,39500,25.973414
2015-11-19,25.75,26.139999,25.24,25.799999,52600,25.714278
2015-11-18,25.469999,26.059999,24.92,25.690001,78900,25.604644
2015-11-17,25.379999,25.77,25.030001,25.389999,64300,25.30564
2015-11-16,25.969999,25.969999,24.67,25.50,83500,25.415275
2015-11-13,25.68,25.790001,25.01,25.540001,89000,25.455143
2015-11-12,25.700001,26.299999,25.379999,25.959999,71900,25.873746
2015-11-11,26.219999,26.559999,25.82,26.08,44900,25.993348
2015-11-10,26.209999,26.75,26.02,26.299999,45700,26.212616
2015-11-09,26.51,26.889999,26.08,26.459999,32500,26.372085
2015-11-06,26.57,27.040001,26.26,26.66,176200,26.571421
2015-11-05,26.75,26.780001,26.09,26.35,24800,26.262451
2015-11-04,26.16,26.82,26.15,26.66,40000,26.571421
2015-11-03,25.629999,26.42,25.43,26.209999,43600,26.122915
2015-11-02,25.370001,25.809999,25.34,25.76,33700,25.674412
2015-10-30,25.799999,26.10,25.27,25.540001,37200,25.455143
2015-10-29,26.639999,26.690001,25.35,25.65,38400,25.564776
2015-10-28,25.49,26.92,25.49,26.75,38300,26.661122
2015-10-27,26.559999,26.610001,25.290001,25.43,16000,25.345508
2015-10-26,26.84,27.00,26.34,26.709999,30200,26.621254
2015-10-23,26.77,27.00,26.33,26.75,27000,26.661122
2015-10-22,26.26,26.91,25.85,26.60,14700,26.511621
2015-10-21,26.58,26.67,25.98,26.209999,27400,26.122915
2015-10-20,27.09,27.24,26.35,26.68,13100,26.591355
2015-10-19,26.530001,27.25,26.530001,27.10,20600,27.009959
2015-10-16,27.08,27.42,26.299999,26.58,58700,26.491687
2015-10-15,26.190001,27.139999,26.00,26.959999,33500,26.870423
2015-10-14,26.549999,26.790001,25.98,26.25,21700,26.162783
2015-10-13,27.16,27.32,26.610001,26.610001,18800,26.521588
2015-10-12,26.68,27.559999,26.290001,27.309999,38200,27.219261
2015-10-09,26.33,26.99,25.98,26.790001,20000,26.70099
2015-10-08,25.92,26.370001,25.92,26.15,27800,26.063115
