Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,13.97,14.18,13.89,14.08,12600,14.08
2016-01-21,13.51,13.91,13.51,13.70,11500,13.70
2016-01-20,13.12,13.56,12.81,13.54,27400,13.54
2016-01-19,13.93,13.93,13.24,13.38,31600,13.38
2016-01-15,13.72,13.72,13.32,13.60,18000,13.60
2016-01-14,13.95,14.10,13.61,14.03,18400,14.03
2016-01-13,14.59,14.63,13.86,13.95,19100,13.95
2016-01-12,14.76,14.76,14.18,14.47,11200,14.47
2016-01-11,14.99,14.99,14.38,14.56,26500,14.56
2016-01-08,14.85,14.95,14.67,14.67,15000,14.67
2016-01-07,15.25,15.27,14.68,14.74,24700,14.74
2016-01-06,15.82,15.94,15.42,15.54,27100,15.54
2016-01-05,16.059999,16.059999,15.85,15.93,24900,15.93
2016-01-04,15.77,15.88,15.51,15.86,46100,15.86
2015-12-31,16.02,16.10,15.98,16.049999,13200,16.049999
2015-12-30,16.09,16.25,16.09,16.129999,28600,16.129999
2015-12-29,16.10,16.139999,16.00,16.129999,19000,16.129999
2015-12-28,16.07,16.290001,15.91,16.08,17700,16.08
2015-12-24,16.120001,16.27,16.120001,16.209999,35500,16.209999
2015-12-23,16.139999,16.139999,16.049999,16.07,13700,16.07
2015-12-22,16.190001,16.190001,15.81,15.95,35300,15.912
2015-12-21,15.99,16.18,15.99,16.10,14300,16.061643
2015-12-18,15.91,16.00,15.77,15.92,32500,15.882071
2015-12-17,16.17,16.18,15.86,15.90,36600,15.862119
2015-12-16,15.39,16.02,15.39,16.02,31700,15.981833
2015-12-15,15.08,15.15,15.02,15.10,18700,15.064025
2015-12-14,14.72,14.87,14.59,14.87,18800,14.834573
2015-12-11,14.73,14.81,14.63,14.65,30200,14.615097
2015-12-10,14.73,14.92,14.73,14.87,14800,14.834573
2015-12-09,14.92,15.16,14.85,14.92,6300,14.884454
2015-12-08,15.02,15.02,14.71,14.90,12800,14.864501
2015-12-07,15.51,15.51,15.03,15.03,35900,14.994191
2015-12-04,15.20,15.28,15.11,15.26,64000,15.223644
2015-12-03,15.34,15.47,15.12,15.20,49500,15.163786
2015-12-02,15.22,15.30,15.18,15.25,16100,15.213668
2015-12-01,14.91,15.17,14.91,15.17,24600,15.133858
2015-11-30,14.70,14.85,14.70,14.82,40000,14.784692
2015-11-27,14.55,14.68,14.55,14.68,15900,14.645026
2015-11-25,14.42,14.62,14.42,14.58,17300,14.545264
2015-11-24,14.23,14.55,14.23,14.55,44400,14.515335
2015-11-23,14.35,14.44,14.26,14.33,105500,14.295859
2015-11-20,14.32,14.37,14.26,14.36,21900,14.325788
2015-11-19,14.24,14.32,14.17,14.25,292000,14.21605
2015-11-18,14.06,14.28,13.86,14.27,12000,14.236003
2015-11-17,14.15,14.26,13.88,13.92,13500,13.886836
2015-11-16,14.04,14.32,14.03,14.30,19900,14.265931
2015-11-13,14.14,14.14,14.00,14.07,16400,14.036479
2015-11-12,14.48,14.53,14.19,14.21,21600,14.176145
2015-11-11,14.77,14.77,14.48,14.58,31700,14.545264
2015-11-10,15.15,15.15,14.67,14.75,31800,14.714859
2015-11-09,15.45,15.45,15.18,15.22,32100,15.183739
2015-11-06,15.21,15.44,15.21,15.44,12600,15.403214
2015-11-05,15.45,15.45,15.32,15.34,11300,15.303453
2015-11-04,15.50,15.53,15.40,15.51,18500,15.473048
2015-11-03,15.26,15.48,15.26,15.40,14700,15.36331
2015-11-02,15.01,15.25,15.01,15.20,20400,15.163786
2015-10-30,15.04,15.04,14.86,14.96,20300,14.924358
2015-10-29,15.11,15.18,14.97,15.08,6900,15.044072
2015-10-28,14.82,15.16,14.71,15.16,5700,15.123882
2015-10-27,14.86,14.89,14.74,14.74,13000,14.704882
2015-10-26,15.20,15.20,15.08,15.09,8300,15.054049
2015-10-23,15.22,15.22,14.99,15.16,10300,15.123882
2015-10-22,14.93,15.09,14.93,15.03,5200,14.994191
2015-10-21,15.10,15.11,14.78,14.78,21200,14.744787
2015-10-20,15.26,15.32,15.03,15.14,12300,15.10393
2015-10-19,15.30,15.47,15.19,15.30,59700,15.263549
2015-10-16,15.51,15.51,15.31,15.42,10200,15.383263
2015-10-15,15.39,15.51,15.36,15.51,4600,15.473048
2015-10-14,15.21,15.46,15.21,15.46,4000,15.423167
2015-10-13,15.11,15.36,15.11,15.13,14600,15.093954
2015-10-12,15.41,15.41,15.14,15.26,6700,15.223644
2015-10-09,15.40,15.43,15.30,15.41,7300,15.373286
2015-10-08,15.24,15.40,15.10,15.38,5000,15.343358
2015-10-07,15.12,15.32,15.05,15.30,11000,15.263549
2015-10-06,14.94,15.10,14.88,15.03,7700,14.994191
2015-10-05,14.58,14.96,14.58,14.94,9100,14.904406
2015-10-02,13.74,14.42,13.74,14.42,4600,14.385645
2015-10-01,14.03,14.03,13.75,13.87,67900,13.836955
2015-09-30,13.88,14.03,13.83,14.03,7000,13.996574
2015-09-29,13.69,13.81,13.58,13.65,13200,13.617479
2015-09-28,14.13,14.13,13.66,13.66,20800,13.627455
2015-09-25,14.52,14.52,14.16,14.22,5000,14.186122
2015-09-24,14.30,14.39,14.06,14.36,10000,14.325788
2015-09-23,14.73,14.73,14.41,14.41,5800,14.375669
2015-09-22,14.93,14.93,14.61,14.70,20000,14.640038
2015-09-21,15.31,15.31,15.05,15.05,2500,14.988611
2015-09-18,15.17,15.39,15.12,15.13,18500,15.068284
2015-09-17,15.49,15.62,15.39,15.42,12800,15.357101
2015-09-16,15.33,15.45,15.27,15.42,12000,15.357101
2015-09-15,15.06,15.25,15.06,15.22,18300,15.157917
2015-09-14,15.05,15.05,14.96,14.97,30300,14.908937
2015-09-11,14.96,15.10,14.90,15.10,17300,15.038407
2015-09-10,15.12,15.27,15.06,15.06,12600,14.99857
2015-09-09,15.62,15.63,15.27,15.27,19600,15.207713
2015-09-08,15.32,15.45,15.22,15.45,19600,15.386979
2015-09-04,15.06,15.13,14.90,14.98,56600,14.918895
2015-09-03,15.13,15.36,15.13,15.25,8700,15.187795
2015-09-02,14.99,14.99,14.67,14.98,18400,14.918895
2015-09-01,15.08,15.08,14.64,14.73,18600,14.669915
2015-08-31,15.19,15.32,15.04,15.18,10900,15.11808
2015-08-28,15.00,15.38,15.00,15.14,19300,15.078244
2015-08-27,14.68,14.99,14.60,14.89,24300,14.829263
2015-08-26,14.46,14.46,13.97,14.38,23400,14.321343
2015-08-25,14.75,14.75,14.00,14.00,46500,13.942893
2015-08-24,13.31,14.87,13.31,14.31,89000,14.251629
2015-08-21,14.97,15.00,14.50,14.59,22200,14.530487
2015-08-20,15.60,15.60,15.09,15.09,24300,15.028447
2015-08-19,15.99,15.99,15.63,15.72,39700,15.655878
2015-08-18,16.370001,16.370001,16.049999,16.110001,10200,16.044287
2015-08-17,16.07,16.280001,15.99,16.280001,16600,16.213594
2015-08-14,16.08,16.17,16.01,16.07,28900,16.004449
2015-08-13,16.139999,16.280001,16.120001,16.120001,12400,16.054247
2015-08-12,15.83,16.129999,15.47,16.10,26500,16.034328
2015-08-11,16.139999,16.17,15.80,15.83,14900,15.765429
2015-08-10,16.059999,16.33,16.059999,16.33,15500,16.263389
2015-08-07,16.290001,16.290001,16.00,16.059999,10100,15.99449
2015-08-06,17.02,17.02,16.280001,16.33,15500,16.263389
2015-08-05,16.85,17.24,16.799999,17.09,8400,17.020289
2015-08-04,16.83,16.83,16.620001,16.68,10800,16.611962
2015-08-03,17.110001,17.110001,16.68,16.75,21300,16.681676
2015-07-31,17.309999,17.309999,17.059999,17.059999,8200,16.990411
2015-07-30,17.27,17.370001,17.27,17.370001,7800,17.299148
2015-07-29,17.07,17.370001,17.02,17.35,26000,17.279229
2015-07-28,17.00,17.139999,16.700001,17.07,14900,17.00037
2015-07-27,16.82,16.91,16.709999,16.790001,15300,16.721514
2015-07-24,17.120001,17.120001,16.879999,16.940001,17900,16.870902
2015-07-23,17.17,17.450001,17.15,17.15,13000,17.080044
2015-07-22,17.450001,17.450001,17.209999,17.209999,15300,17.139799
2015-07-21,17.82,17.82,17.639999,17.67,9200,17.597923
2015-07-20,17.950001,18.17,17.90,17.90,27100,17.826985
2015-07-17,18.030001,18.030001,17.83,17.879999,14200,17.807066
2015-07-16,18.040001,18.040001,17.83,17.950001,12000,17.876782
2015-07-15,18.18,18.18,17.860001,17.93,16600,17.856863
2015-07-14,18.01,18.26,18.01,18.219999,14000,18.145679
2015-07-13,18.190001,18.190001,17.940001,18.08,19800,18.006251
2015-07-10,17.889999,17.940001,17.84,17.92,12900,17.846904
2015-07-09,17.85,17.940001,17.629999,17.639999,12200,17.568045
2015-07-08,17.940001,17.940001,17.49,17.57,20000,17.498331
2015-07-07,18.08,18.15,17.57,18.110001,24100,18.036129
2015-07-06,18.08,18.190001,17.879999,18.00,17700,17.926577
2015-07-02,18.389999,18.389999,18.190001,18.290001,19900,18.215395
2015-07-01,18.559999,18.59,18.25,18.280001,18800,18.205436
2015-06-30,18.790001,18.790001,18.370001,18.459999,22400,18.3847
2015-06-29,18.91,18.959999,18.41,18.42,44700,18.344864
2015-06-26,19.24,19.24,19.00,19.07,18700,18.992212
2015-06-25,19.459999,19.50,19.34,19.379999,11700,19.300947
2015-06-24,19.73,19.73,19.469999,19.51,49800,19.430418
2015-06-23,19.57,19.74,19.57,19.74,53200,19.63458
2015-06-22,19.57,19.73,19.559999,19.620001,15600,19.515222
2015-06-19,19.74,19.74,19.540001,19.629999,20500,19.525167
2015-06-18,19.52,19.77,19.52,19.74,12900,19.63458
2015-06-17,19.559999,19.639999,19.440001,19.540001,9400,19.43565
2015-06-16,19.50,19.50,19.34,19.450001,26300,19.34613
2015-06-15,19.049999,19.41,18.84,19.379999,17500,19.276502
2015-06-12,19.35,19.35,19.24,19.26,10600,19.157144
2015-06-11,19.389999,19.40,19.33,19.370001,9400,19.266557
2015-06-10,19.18,19.389999,19.139999,19.290001,18000,19.186985
2015-06-09,19.26,19.41,18.99,19.10,14700,18.997999
2015-06-08,19.620001,19.620001,19.219999,19.26,23500,19.157144
2015-06-05,19.32,19.48,19.190001,19.48,11200,19.375969
2015-06-04,19.610001,19.610001,19.280001,19.290001,13300,19.186985
2015-06-03,19.690001,19.77,19.57,19.60,14800,19.495329
2015-06-02,19.530001,19.67,19.40,19.58,11600,19.475435
2015-06-01,19.639999,19.93,19.48,19.620001,37200,19.515222
2015-05-29,19.799999,19.870001,19.58,19.60,18800,19.495329
2015-05-28,19.65,19.799999,19.60,19.799999,12600,19.694259
2015-05-27,19.549999,19.74,19.43,19.74,23900,19.63458
2015-05-26,19.790001,19.790001,19.41,19.459999,27200,19.356075
2015-05-22,19.75,19.799999,19.67,19.76,27600,19.654474
2015-05-21,19.59,19.73,19.59,19.68,25300,19.574901
2015-05-20,19.58,19.629999,19.50,19.540001,35900,19.43565
2015-05-19,19.73,19.790001,19.549999,19.549999,10300,19.445594
2015-05-18,19.75,19.799999,19.65,19.76,23500,19.654474
2015-05-15,19.700001,19.73,19.59,19.690001,15800,19.584848
2015-05-14,19.66,19.66,19.440001,19.60,16300,19.495329
2015-05-13,19.40,19.51,19.370001,19.42,23700,19.31629
2015-05-12,19.43,19.43,19.18,19.34,22800,19.236717
2015-05-11,19.43,19.540001,19.42,19.440001,19500,19.336183
2015-05-08,19.25,19.33,19.25,19.33,19300,19.22677
2015-05-07,18.84,18.99,18.74,18.98,22700,18.878639
