Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,22.709999,22.709999,22.25,22.469999,17600,22.469999
2016-01-21,22.58,22.93,22.43,22.559999,36600,22.559999
2016-01-20,22.40,23.01,21.969999,22.60,63600,22.60
2016-01-19,22.450001,22.59,21.950001,22.379999,53600,22.379999
2016-01-15,21.90,22.42,21.75,22.42,52900,22.42
2016-01-14,22.299999,22.34,22.049999,22.200001,42100,22.200001
2016-01-13,22.879999,23.059999,22.00,22.07,35500,22.07
2016-01-12,22.799999,23.00,22.40,22.85,62900,22.85
2016-01-11,22.77,23.059999,22.48,22.67,34600,22.67
2016-01-08,23.08,23.33,22.73,22.780001,39200,22.780001
2016-01-07,23.139999,23.450001,22.66,22.99,34200,22.99
2016-01-06,23.190001,24.030001,23.129999,23.459999,37300,23.459999
2016-01-05,23.18,23.76,22.92,23.639999,40500,23.639999
2016-01-04,24.059999,24.059999,22.719999,23.209999,63200,23.209999
2015-12-31,24.68,24.68,24.18,24.290001,20800,24.290001
2015-12-30,24.83,24.85,24.60,24.620001,14700,24.620001
2015-12-29,24.43,24.90,24.43,24.799999,22400,24.799999
2015-12-28,24.43,24.549999,24.32,24.49,14300,24.49
2015-12-24,24.41,24.719999,24.309999,24.40,38800,24.40
2015-12-23,24.00,24.52,23.889999,24.35,47000,24.35
2015-12-22,23.719999,24.15,23.370001,24.00,25800,24.00
2015-12-21,24.00,24.00,22.98,23.809999,18500,23.809999
2015-12-18,23.84,24.43,23.74,23.959999,76900,23.959999
2015-12-17,24.00,24.129999,23.85,23.91,20900,23.91
2015-12-16,23.91,24.16,23.530001,24.00,25900,24.00
2015-12-15,23.290001,24.10,23.139999,24.049999,25600,24.009999
2015-12-14,22.700001,23.41,22.629999,23.18,20800,23.141447
2015-12-11,22.799999,23.200001,22.66,22.68,22100,22.642279
2015-12-10,22.91,23.48,22.76,23.27,19800,23.231298
2015-12-09,23.559999,23.559999,21.76,23.290001,32200,23.251265
2015-12-08,23.59,23.59,23.26,23.41,95800,23.371064
2015-12-07,24.00,24.00,23.48,23.75,15700,23.710499
2015-12-04,23.34,24.120001,23.24,23.950001,11600,23.910167
2015-12-03,23.59,23.799999,23.120001,23.16,14200,23.12148
2015-12-02,24.219999,24.32,23.66,23.68,14600,23.640616
2015-12-01,24.27,24.360001,22.860001,24.290001,25200,24.249602
2015-11-30,24.17,24.50,23.870001,24.200001,28900,24.159751
2015-11-27,24.450001,24.450001,24.08,24.27,3700,24.229634
2015-11-25,23.77,24.450001,23.459999,24.35,29900,24.309501
2015-11-24,23.74,23.92,21.549999,23.860001,16700,23.820316
2015-11-23,23.92,24.139999,22.57,24.00,19900,23.960083
2015-11-20,23.35,23.90,23.200001,23.799999,30400,23.760415
2015-11-19,23.690001,23.690001,22.40,23.32,10700,23.281214
2015-11-18,23.34,23.66,23.129999,23.610001,17600,23.570732
2015-11-17,22.82,23.610001,22.77,23.299999,13800,23.261246
2015-11-16,23.110001,23.50,22.719999,23.02,25300,22.981713
2015-11-13,22.92,23.450001,22.889999,23.209999,23600,23.171396
2015-11-12,23.440001,23.57,22.969999,23.049999,18600,23.011662
2015-11-11,23.91,24.10,23.540001,23.559999,17600,23.520814
2015-11-10,23.25,23.879999,23.16,23.83,30000,23.790366
2015-11-09,24.110001,24.200001,23.00,23.10,28000,23.06158
2015-11-06,23.540001,24.27,23.16,24.07,50700,24.029966
2015-11-05,23.42,23.66,23.309999,23.559999,21300,23.520814
2015-11-04,23.17,23.610001,23.02,23.450001,30200,23.410999
2015-11-03,22.889999,23.280001,22.610001,23.18,36700,23.141447
2015-11-02,22.799999,22.950001,22.469999,22.91,21700,22.871896
2015-10-30,23.85,24.08,22.690001,22.780001,22000,22.742113
2015-10-29,23.82,24.049999,23.66,23.75,18900,23.710499
2015-10-28,23.57,24.049999,23.57,24.049999,59100,24.009999
2015-10-27,23.280001,23.99,23.280001,23.540001,38300,23.500849
2015-10-26,23.540001,23.75,23.209999,23.51,83200,23.470898
