Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,14.48,14.83,14.38,14.80,147500,14.80
2016-01-21,14.47,14.52,14.19,14.31,194200,14.31
2016-01-20,14.09,14.55,13.81,14.43,196600,14.43
2016-01-19,14.39,14.45,14.17,14.35,245300,14.35
2016-01-15,14.02,14.35,13.87,14.29,225600,14.29
2016-01-14,14.00,14.65,13.83,14.40,168000,14.40
2016-01-13,14.35,14.35,13.75,13.87,234300,13.87
2016-01-12,14.15,14.37,13.58,14.26,276800,14.26
2016-01-11,13.89,14.29,13.89,14.05,224500,14.05
2016-01-08,14.08,14.43,13.72,13.94,386900,13.94
2016-01-07,14.21,15.51,13.37,14.15,596200,14.15
2016-01-06,16.24,16.50,15.93,15.93,245500,15.93
2016-01-05,15.89,16.50,15.77,16.50,205300,16.50
2016-01-04,16.049999,16.139999,15.48,15.81,284000,15.81
2015-12-31,16.940001,17.110001,16.33,16.34,134300,16.34
2015-12-30,17.139999,17.290001,16.92,17.049999,94600,17.049999
2015-12-29,16.950001,17.139999,16.85,17.139999,99700,17.139999
2015-12-28,17.02,17.129999,16.74,16.889999,145900,16.889999
2015-12-24,17.030001,17.290001,16.98,17.129999,39200,17.129999
2015-12-23,16.92,17.110001,16.780001,17.030001,57300,17.030001
2015-12-22,16.65,17.73,16.50,16.85,112900,16.85
2015-12-21,16.629999,16.809999,16.50,16.67,91300,16.67
2015-12-18,16.66,16.82,16.530001,16.59,620800,16.59
2015-12-17,17.24,17.67,16.73,16.76,112800,16.76
2015-12-16,17.200001,17.290001,16.92,17.25,73000,17.25
2015-12-15,16.860001,17.200001,16.459999,17.110001,88500,17.110001
2015-12-14,16.780001,17.049999,16.719999,16.809999,129700,16.809999
2015-12-11,17.01,17.23,16.780001,16.809999,117200,16.809999
2015-12-10,17.379999,17.540001,17.26,17.290001,75000,17.290001
2015-12-09,17.620001,17.84,17.42,17.440001,84900,17.440001
2015-12-08,17.629999,17.91,17.450001,17.66,49200,17.66
2015-12-07,17.940001,18.040001,17.74,17.83,131700,17.83
2015-12-04,17.93,18.26,17.73,17.959999,117600,17.959999
2015-12-03,18.65,18.65,17.92,17.950001,116400,17.950001
2015-12-02,18.549999,18.709999,18.450001,18.60,150700,18.60
2015-12-01,18.309999,18.620001,18.10,18.60,140300,18.60
2015-11-30,18.02,18.299999,17.90,18.25,168700,18.25
2015-11-27,18.00,18.07,17.870001,17.940001,32900,17.940001
2015-11-25,17.799999,18.120001,17.74,18.01,68000,18.01
2015-11-24,17.610001,17.84,17.469999,17.82,58400,17.82
2015-11-23,17.790001,17.969999,17.57,17.719999,91300,17.719999
2015-11-20,17.959999,18.110001,17.84,17.91,69500,17.81
2015-11-19,17.83,17.99,17.77,17.860001,82500,17.76028
2015-11-18,17.58,17.870001,17.450001,17.85,91100,17.750336
2015-11-17,17.690001,17.870001,17.48,17.540001,72000,17.442067
2015-11-16,17.76,17.82,17.57,17.67,67500,17.57134
2015-11-13,17.780001,17.950001,17.629999,17.809999,143500,17.710558
2015-11-12,17.969999,18.01,17.639999,17.90,120700,17.800056
2015-11-11,18.049999,18.25,17.93,18.040001,139900,17.939275
2015-11-10,17.940001,18.33,17.940001,17.99,207200,17.889553
2015-11-09,18.42,18.42,17.90,18.049999,177000,17.949218
2015-11-06,18.129999,18.450001,18.040001,18.42,107400,18.317153
2015-11-05,18.059999,18.290001,17.969999,18.200001,126300,18.098382
2015-11-04,18.02,18.219999,17.860001,18.17,138500,18.068549
2015-11-03,17.940001,18.17,17.83,18.01,238600,17.909442
2015-11-02,18.00,18.09,17.90,18.00,173600,17.899498
2015-10-30,18.040001,18.110001,17.790001,17.950001,175400,17.849778
2015-10-29,18.23,18.27,17.959999,18.040001,127800,17.939275
2015-10-28,17.950001,18.35,17.870001,18.27,148100,18.167991
2015-10-27,18.049999,18.15,17.799999,17.860001,155200,17.76028
2015-10-26,18.110001,18.309999,17.700001,18.10,92100,17.99894
2015-10-23,18.17,18.41,17.50,18.24,203500,18.138157
2015-10-22,17.549999,18.120001,17.549999,17.959999,180400,17.85972
2015-10-21,17.98,18.09,17.360001,17.379999,245800,17.282959
2015-10-20,17.90,18.120001,17.82,18.02,121500,17.919386
2015-10-19,17.690001,18.07,17.690001,17.950001,185700,17.849778
2015-10-16,17.799999,17.93,17.67,17.83,156000,17.730447
2015-10-15,17.540001,17.809999,17.370001,17.799999,259000,17.700614
2015-10-14,17.629999,17.75,17.48,17.50,171800,17.402289
2015-10-13,17.57,17.879999,17.549999,17.66,174400,17.561396
2015-10-12,17.129999,17.799999,16.77,17.77,150400,17.670782
2015-10-09,16.85,17.24,16.43,17.110001,360600,17.014468
2015-10-08,16.299999,17.83,16.15,16.860001,719100,16.765863
2015-10-07,15.87,16.35,15.86,16.049999,256200,15.960385
2015-10-06,15.86,15.94,15.64,15.82,116700,15.731669
2015-10-05,15.34,15.92,15.32,15.88,98200,15.791335
2015-10-02,14.81,15.29,14.65,15.25,133800,15.164852
2015-10-01,15.01,15.16,14.78,14.94,171300,14.856583
2015-09-30,15.26,15.34,15.05,15.07,146500,14.985857
2015-09-29,15.31,15.35,15.11,15.15,85600,15.06541
2015-09-28,15.25,15.53,15.19,15.28,196800,15.194684
2015-09-25,15.32,15.57,15.21,15.32,195800,15.234461
2015-09-24,15.12,15.33,15.09,15.22,128100,15.13502
2015-09-23,15.29,15.38,15.14,15.22,99000,15.13502
2015-09-22,15.33,15.49,15.06,15.30,233700,15.214573
2015-09-21,15.32,15.63,15.26,15.52,95200,15.433345
2015-09-18,15.50,15.67,15.18,15.20,245300,15.115131
2015-09-17,15.64,15.90,15.63,15.73,96400,15.642172
2015-09-16,15.83,15.88,15.73,15.78,127200,15.691893
2015-09-15,15.77,15.92,15.74,15.79,127300,15.701837
2015-09-14,15.89,15.89,15.70,15.75,87400,15.66206
2015-09-11,15.75,15.89,15.68,15.86,274300,15.771446
2015-09-10,16.25,16.459999,15.86,15.86,102200,15.771446
2015-09-09,16.27,16.379999,16.09,16.32,248700,16.228878
2015-09-08,15.92,16.26,15.84,16.18,172300,16.08966
2015-09-04,15.52,15.78,15.47,15.72,79000,15.632228
2015-09-03,15.79,15.91,15.68,15.72,101300,15.632228
2015-09-02,15.65,15.77,15.36,15.77,143700,15.681949
2015-09-01,15.44,15.58,15.19,15.46,228300,15.37368
2015-08-31,15.62,15.92,15.54,15.69,146700,15.602395
2015-08-28,15.68,15.82,15.58,15.70,139100,15.612339
2015-08-27,15.96,16.00,15.49,15.78,140300,15.691893
2015-08-26,15.87,16.02,15.38,15.89,244100,15.801279
2015-08-25,16.620001,16.91,15.42,15.50,243100,15.413456
2015-08-24,16.129999,16.58,15.90,16.10,261200,16.010107
2015-08-21,16.33,17.120001,16.02,16.84,299400,16.745975
2015-08-20,16.68,16.879999,16.50,16.690001,145800,16.497371
2015-08-19,16.59,16.950001,16.49,16.76,113300,16.566563
2015-08-18,16.809999,16.889999,16.65,16.68,89100,16.487486
2015-08-17,16.75,16.959999,16.530001,16.85,117900,16.655524
2015-08-14,16.450001,16.799999,16.42,16.77,129100,16.576448
2015-08-13,16.49,16.719999,16.34,16.549999,135100,16.358986
2015-08-12,16.66,16.76,16.42,16.530001,164100,16.339218
2015-08-11,16.360001,16.82,16.309999,16.809999,180800,16.615985
2015-08-10,16.059999,16.620001,16.040001,16.52,221800,16.329333
2015-08-07,16.10,16.209999,15.89,15.96,168200,15.775796
2015-08-06,16.370001,16.370001,15.96,16.26,123200,16.072334
2015-08-05,16.27,16.43,15.60,16.290001,139600,16.101988
2015-08-04,15.93,16.49,15.93,16.24,224400,16.052564
2015-08-03,15.82,15.93,15.54,15.85,174900,15.667066
2015-07-31,15.67,15.92,15.61,15.83,126400,15.647296
2015-07-30,15.56,15.82,15.43,15.61,151600,15.429835
2015-07-29,15.22,15.81,15.22,15.70,199900,15.518797
2015-07-28,15.21,15.36,14.94,15.27,157100,15.09376
2015-07-27,15.24,15.28,15.00,15.15,200700,14.975144
2015-07-24,14.96,15.33,14.86,15.29,172900,15.113529
2015-07-23,15.15,15.24,14.96,15.03,121300,14.856529
2015-07-22,15.10,15.21,15.05,15.11,133100,14.935606
2015-07-21,15.04,15.36,15.00,15.18,136400,15.004799
2015-07-20,15.27,15.32,14.65,15.04,204200,14.866414
2015-07-17,15.94,15.99,14.37,15.40,403800,15.222259
2015-07-16,16.280001,16.52,16.16,16.299999,101600,16.111871
2015-07-15,16.08,16.27,15.95,16.23,101100,16.042679
2015-07-14,16.209999,16.299999,16.040001,16.10,66300,15.914181
2015-07-13,16.18,16.35,16.15,16.24,99700,16.052564
2015-07-10,15.89,16.139999,15.82,16.129999,101600,15.943833
2015-07-09,15.89,16.10,15.65,15.74,156500,15.558335
2015-07-08,15.77,15.99,15.62,15.74,185100,15.558335
2015-07-07,15.94,16.00,15.60,15.87,90600,15.686835
2015-07-06,15.88,16.07,15.73,15.94,122700,15.756026
2015-07-02,16.23,16.23,15.83,15.97,59200,15.785681
2015-07-01,16.139999,16.27,16.02,16.24,129900,16.052564
2015-06-30,16.18,16.190001,15.93,16.09,104000,15.904296
2015-06-29,16.51,16.610001,16.02,16.030001,102200,15.844989
2015-06-26,16.58,16.860001,16.43,16.610001,622400,16.418295
2015-06-25,16.52,16.60,16.35,16.530001,83200,16.339218
2015-06-24,16.700001,16.719999,16.290001,16.49,106400,16.299679
2015-06-23,16.66,16.77,16.52,16.719999,104700,16.527024
2015-06-22,16.50,16.85,16.34,16.629999,127500,16.438062
2015-06-19,15.76,16.469999,15.74,16.450001,272300,16.260141
2015-06-18,15.78,15.92,15.63,15.71,195300,15.528681
2015-06-17,15.98,16.059999,15.67,15.68,58900,15.499028
2015-06-16,15.84,16.08,15.79,15.96,109100,15.775796
2015-06-15,15.92,16.00,15.64,15.89,78900,15.706604
2015-06-12,16.07,16.16,15.66,16.07,59700,15.884526
2015-06-11,16.030001,16.24,15.59,16.09,64600,15.904296
2015-06-10,16.08,16.49,16.040001,16.07,215600,15.884526
2015-06-09,15.89,16.059999,15.75,15.99,110000,15.80545
