Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,21.24,21.90,20.98,21.76,24100,21.76
2016-01-21,21.790001,21.91,20.860001,21.00,32800,21.00
2016-01-20,21.23,21.67,20.200001,21.530001,30100,21.530001
2016-01-19,21.51,21.57,20.99,21.209999,27800,21.209999
2016-01-15,20.66,21.43,20.440001,21.34,40600,21.34
2016-01-14,21.129999,21.50,20.059999,21.26,29900,21.26
2016-01-13,22.24,22.99,20.60,21.049999,25900,21.049999
2016-01-12,22.26,23.09,22.059999,22.540001,33800,22.540001
2016-01-11,22.780001,22.90,22.040001,22.309999,22200,22.309999
2016-01-08,22.58,22.700001,22.50,22.51,14800,22.51
2016-01-07,22.65,23.120001,22.50,22.50,51100,22.50
2016-01-06,22.50,23.23,22.50,23.10,17200,23.10
2016-01-05,23.09,23.09,22.280001,22.639999,23000,22.639999
2016-01-04,23.129999,23.440001,22.74,22.83,35700,22.83
2015-12-31,23.83,24.049999,23.360001,23.73,20700,23.73
2015-12-30,24.34,24.450001,23.73,23.790001,17400,23.790001
2015-12-29,24.34,24.50,24.219999,24.41,13000,24.41
2015-12-28,24.379999,24.620001,23.85,24.059999,18000,24.059999
2015-12-24,24.33,24.58,24.23,24.51,4100,24.51
2015-12-23,23.82,24.700001,23.700001,24.540001,22700,24.540001
2015-12-22,23.50,23.90,23.129999,23.77,18300,23.77
2015-12-21,23.26,23.85,23.18,23.559999,27900,23.559999
2015-12-18,22.51,23.41,22.34,23.40,110400,23.40
2015-12-17,23.129999,23.42,22.51,22.65,33700,22.65
2015-12-16,23.17,23.200001,21.120001,23.07,26100,23.07
2015-12-15,23.25,23.59,22.040001,23.15,30300,23.15
2015-12-14,23.889999,23.889999,22.83,23.190001,19700,23.190001
2015-12-11,23.59,23.99,23.41,23.50,21600,23.50
2015-12-10,23.92,24.110001,23.91,23.93,14200,23.93
2015-12-09,24.469999,24.469999,23.91,23.969999,17200,23.969999
2015-12-08,23.83,24.440001,22.17,24.030001,11800,24.030001
2015-12-07,24.01,24.18,23.91,23.940001,28700,23.940001
2015-12-04,24.040001,24.65,24.040001,24.16,30300,24.02
2015-12-03,24.10,24.49,23.860001,24.049999,20200,23.910637
2015-12-02,24.27,24.50,24.049999,24.16,31800,24.02
2015-12-01,25.049999,25.059999,24.27,24.440001,33300,24.298378
2015-11-30,24.68,25.209999,24.43,25.030001,11400,24.884959
2015-11-27,24.450001,24.73,24.450001,24.719999,4000,24.576754
2015-11-25,24.32,24.700001,24.32,24.43,19500,24.288436
2015-11-24,24.50,24.66,24.25,24.50,24900,24.35803
2015-11-23,24.290001,24.68,24.10,24.450001,22500,24.30832
2015-11-20,24.370001,24.68,24.24,24.389999,26400,24.248667
2015-11-19,24.129999,24.40,24.049999,24.209999,13500,24.069709
2015-11-18,24.10,24.50,24.10,24.290001,25300,24.149248
2015-11-17,24.280001,24.290001,24.02,24.129999,22300,23.990173
2015-11-16,24.049999,24.549999,23.959999,24.190001,14500,24.049827
2015-11-13,23.940001,24.299999,23.639999,24.07,11000,23.930521
2015-11-12,24.15,24.610001,23.98,24.059999,15500,23.920579
2015-11-11,24.15,24.93,24.139999,24.43,11300,24.288436
2015-11-10,24.07,24.75,24.07,24.50,30500,24.35803
2015-11-09,24.76,24.84,24.17,24.18,20500,24.039884
2015-11-06,24.129999,25.02,24.049999,24.90,55000,24.755711
2015-11-05,24.40,24.40,24.049999,24.24,10200,24.099536
2015-11-04,24.059999,24.389999,24.049999,24.389999,24500,24.248667
2015-11-03,24.26,24.85,24.07,24.23,26600,24.089594
2015-11-02,24.370001,24.75,23.33,24.450001,20400,24.30832
2015-10-30,23.75,24.84,23.75,24.34,89700,24.198957
2015-10-29,24.15,24.15,23.75,23.76,20700,23.622318
2015-10-28,23.51,24.48,23.51,24.139999,30600,24.000115
2015-10-27,23.85,24.00,23.75,23.75,15800,23.612376
2015-10-26,23.959999,24.139999,22.98,23.889999,18700,23.751564
2015-10-23,24.18,24.18,23.76,23.98,25900,23.841043
2015-10-22,24.00,24.290001,23.75,24.00,26400,23.860927
2015-10-21,23.85,24.24,23.75,23.75,34900,23.612376
2015-10-20,24.299999,24.40,23.90,24.24,27900,24.099536
2015-10-19,24.42,24.52,23.85,24.459999,23300,24.318261
2015-10-16,24.780001,24.780001,24.01,24.48,20000,24.338145
2015-10-15,23.879999,24.719999,23.50,24.700001,29100,24.556872
2015-10-14,24.129999,24.129999,23.629999,23.75,22800,23.612376
2015-10-13,24.110001,24.110001,23.65,23.870001,22800,23.731681
2015-10-12,24.01,24.42,23.52,23.93,47200,23.791333
2015-10-09,24.030001,24.299999,23.629999,23.93,20000,23.791333
2015-10-08,23.77,24.309999,23.34,23.940001,24900,23.801275
2015-10-07,24.209999,24.35,22.75,23.92,14500,23.781391
2015-10-06,24.08,24.879999,23.93,24.17,32400,24.029942
2015-10-05,24.26,25.25,23.58,24.559999,30700,24.417682
2015-10-02,22.629999,24.23,22.18,24.23,16700,24.089594
2015-10-01,22.58,22.940001,22.24,22.620001,25900,22.488925
2015-09-30,22.91,23.00,22.360001,22.65,38500,22.51875
2015-09-29,22.469999,22.879999,22.35,22.77,18300,22.638055
2015-09-28,23.040001,23.200001,22.360001,22.42,17600,22.290083
2015-09-25,23.77,24.200001,22.950001,23.08,15400,22.946258
2015-09-24,23.42,23.790001,23.10,23.65,17100,23.512955
2015-09-23,23.120001,23.860001,23.120001,23.52,12900,23.383709
2015-09-22,23.57,24.190001,23.110001,23.25,28100,23.115273
2015-09-21,24.41,24.700001,22.280001,24.190001,33000,24.049827
2015-09-18,24.110001,24.639999,23.68,24.17,28100,24.029942
2015-09-17,23.93,24.950001,23.93,24.48,29800,24.338145
2015-09-16,24.120001,24.48,23.879999,24.42,26200,24.278493
2015-09-15,24.00,24.50,23.92,24.27,29500,24.129363
2015-09-14,24.68,24.799999,24.110001,24.459999,17800,24.318261
2015-09-11,22.940001,24.790001,21.09,24.709999,27800,24.566812
2015-09-10,24.10,24.15,22.780001,23.08,30500,22.946258
2015-09-09,23.959999,24.35,23.65,24.08,25500,23.940463
2015-09-08,25.040001,25.040001,23.66,23.82,36300,23.68197
2015-09-04,24.360001,25.049999,24.18,24.85,101200,24.566813
2015-09-03,24.83,24.98,24.50,24.65,36700,24.369091
2015-09-02,24.290001,25.00,23.68,24.879999,30900,24.59647
2015-09-01,24.49,26.00,23.83,24.18,29000,23.904448
2015-08-31,24.25,25.280001,24.25,24.90,55000,24.616242
2015-08-28,24.17,24.98,23.940001,24.68,12800,24.39875
2015-08-27,24.26,24.99,23.860001,24.370001,22600,24.092283
2015-08-26,25.059999,26.00,23.530001,24.27,28800,23.993423
2015-08-25,24.66,24.969999,23.85,24.639999,25100,24.359205
2015-08-24,24.00,24.91,23.790001,23.950001,27500,23.67707
2015-08-21,24.299999,25.00,24.290001,24.84,24600,24.556927
2015-08-20,24.790001,25.389999,24.719999,24.77,19600,24.487725
2015-08-19,25.17,25.17,24.51,24.92,29400,24.636015
2015-08-18,25.00,25.00,24.469999,24.879999,29200,24.59647
2015-08-17,24.799999,24.99,24.52,24.99,19700,24.705217
2015-08-14,24.389999,25.00,24.120001,24.99,21100,24.705217
2015-08-13,24.620001,24.84,24.280001,24.440001,17200,24.161485
2015-08-12,22.719999,24.84,22.50,24.620001,12900,24.339434
2015-08-11,24.40,24.50,24.01,24.07,13400,23.795701
