Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,5.30,5.35,5.20,5.35,30100,5.35
2016-01-21,5.00,5.26,5.00,5.25,16100,5.25
2016-01-20,5.07,5.20,4.95,5.18,36400,5.18
2016-01-19,5.16,5.16,5.02,5.10,53900,5.10
2016-01-15,5.15,5.22,5.06,5.16,19300,5.16
2016-01-14,5.13,5.22,5.13,5.18,10000,5.18
2016-01-13,5.32,5.32,5.10,5.10,40900,5.10
2016-01-12,5.29,5.42,5.26,5.28,32200,5.28
2016-01-11,5.41,5.43,5.28,5.32,41800,5.32
2016-01-08,5.59,5.59,5.40,5.45,45200,5.45
2016-01-07,5.58,5.59,5.39,5.56,51800,5.56
2016-01-06,5.70,5.72,5.61,5.67,16800,5.67
2016-01-05,5.71,5.76,5.68,5.69,21700,5.69
2016-01-04,5.66,5.80,5.63,5.71,11700,5.71
2015-12-31,5.61,5.72,5.60,5.67,52200,5.67
2015-12-30,5.50,5.63,5.50,5.56,28800,5.56
2015-12-29,5.59,5.62,5.51,5.51,26300,5.51
2015-12-28,5.68,5.70,5.56,5.56,8400,5.56
2015-12-24,5.74,5.74,5.69,5.70,8300,5.70
2015-12-23,5.73,5.86,5.69,5.72,23700,5.72
2015-12-22,5.65,5.73,5.58,5.71,40400,5.71
2015-12-21,5.42,5.67,5.38,5.63,43800,5.63
2015-12-18,5.42,5.62,5.41,5.43,73500,5.43
2015-12-17,5.47,5.48,5.42,5.42,13200,5.42
2015-12-16,5.37,5.49,5.34,5.44,27000,5.44
2015-12-15,5.35,5.39,5.28,5.34,38300,5.34
2015-12-14,5.45,5.50,5.35,5.36,38900,5.36
2015-12-11,5.36,5.44,5.36,5.40,14500,5.40
2015-12-10,5.36,5.41,5.30,5.36,42800,5.36
2015-12-09,5.35,5.42,5.31,5.35,26000,5.35
2015-12-08,5.35,5.45,5.35,5.38,43800,5.38
2015-12-07,5.40,5.44,5.33,5.35,45100,5.35
2015-12-04,5.51,5.51,5.35,5.40,28100,5.40
2015-12-03,5.56,5.58,5.45,5.49,21400,5.49
2015-12-02,5.62,5.70,5.56,5.56,17600,5.56
2015-12-01,5.60,5.73,5.59,5.66,21200,5.66
2015-11-30,5.69,5.78,5.56,5.63,11300,5.63
2015-11-27,5.66,5.73,5.59,5.72,39800,5.72
2015-11-25,5.66,5.76,5.62,5.66,18000,5.66
2015-11-24,5.57,5.74,5.46,5.63,35900,5.63
2015-11-23,5.63,5.65,5.47,5.55,409500,5.55
2015-11-20,5.72,5.77,5.62,5.65,35800,5.65
2015-11-19,5.70,5.73,5.61,5.69,50200,5.69
2015-11-18,5.69,5.72,5.64,5.70,24500,5.70
2015-11-17,5.75,5.79,5.65,5.71,16700,5.71
2015-11-16,5.63,5.81,5.63,5.72,38800,5.72
2015-11-13,5.74,5.74,5.64,5.70,14100,5.70
2015-11-12,5.72,5.77,5.69,5.70,11600,5.70
2015-11-11,5.66,5.80,5.66,5.70,22900,5.70
2015-11-10,5.89,5.90,5.59,5.68,21800,5.68
2015-11-09,5.89,5.90,5.66,5.78,33700,5.78
2015-11-06,5.91,5.93,5.82,5.84,9300,5.84
2015-11-05,5.92,5.99,5.89,5.90,19800,5.90
2015-11-04,5.92,6.00,5.92,5.94,14600,5.94
2015-11-03,5.88,6.00,5.87,5.94,7600,5.88
2015-11-02,6.00,6.00,5.88,5.89,22900,5.830505
2015-10-30,6.07,6.12,5.97,6.00,27100,5.939394
2015-10-29,5.99,6.05,5.91,5.98,17000,5.919596
2015-10-28,6.07,6.10,5.96,6.03,50300,5.969091
2015-10-27,6.08,6.11,6.05,6.07,8300,6.008687
2015-10-26,6.11,6.15,6.03,6.03,10800,5.969091
2015-10-23,6.18,6.25,6.11,6.11,8900,6.048283
2015-10-22,6.15,6.23,6.12,6.21,15900,6.147273
2015-10-21,6.28,6.29,6.12,6.12,13900,6.058182
2015-10-20,6.02,6.41,6.02,6.24,43100,6.176969
2015-10-19,5.97,6.08,5.97,5.99,38900,5.929495
2015-10-16,5.90,6.04,5.86,5.95,14200,5.889899
2015-10-15,6.04,6.09,5.87,5.90,16500,5.840404
2015-10-14,6.00,6.07,5.96,6.02,17700,5.959192
2015-10-13,5.96,6.08,5.92,5.97,19500,5.909697
2015-10-12,5.96,6.01,5.82,5.89,51900,5.830505
2015-10-09,6.20,6.20,5.92,5.93,61200,5.870101
2015-10-08,6.50,6.50,6.16,6.22,93400,6.157171
2015-10-07,6.05,6.05,5.99,5.99,33000,5.929495
2015-10-06,5.95,6.08,5.95,6.01,26100,5.949293
2015-10-05,5.91,6.04,5.88,5.98,17200,5.919596
2015-10-02,5.88,5.94,5.87,5.89,27900,5.830505
2015-10-01,5.81,5.95,5.79,5.95,82900,5.889899
2015-09-30,5.94,5.95,5.81,5.90,31500,5.840404
2015-09-29,5.86,6.00,5.84,5.90,41800,5.840404
2015-09-28,5.88,5.93,5.82,5.87,19600,5.810707
2015-09-25,5.96,6.03,5.88,5.92,39500,5.860202
2015-09-24,5.80,6.00,5.80,5.92,52700,5.860202
2015-09-23,6.02,6.03,5.79,5.84,120900,5.78101
2015-09-22,5.95,6.10,5.93,6.03,35300,5.969091
2015-09-21,6.03,6.05,5.96,5.96,7400,5.899798
2015-09-18,6.05,6.10,5.95,6.00,12000,5.939394
2015-09-17,6.08,6.16,6.07,6.09,9000,6.028485
2015-09-16,6.03,6.17,5.99,6.10,32600,6.038384
2015-09-15,5.95,6.10,5.95,6.00,15500,5.939394
2015-09-14,5.89,6.01,5.88,5.92,29400,5.860202
2015-09-11,5.97,6.02,5.94,5.97,52800,5.909697
2015-09-10,6.03,6.04,5.98,5.98,20300,5.919596
2015-09-09,6.08,6.08,5.99,6.01,21000,5.949293
2015-09-08,6.12,6.14,5.99,6.04,33000,5.97899
2015-09-04,5.98,6.12,5.98,6.07,52500,6.008687
2015-09-03,6.00,6.08,6.00,6.00,34500,5.939394
2015-09-02,6.13,6.13,5.98,6.01,58100,5.949293
2015-09-01,6.18,6.35,6.01,6.13,164500,6.068081
2015-08-31,5.99,6.26,5.99,6.22,58700,6.157171
2015-08-28,5.95,6.10,5.95,5.99,70300,5.929495
2015-08-27,5.95,6.01,5.92,5.94,126500,5.88
2015-08-26,5.83,6.00,5.69,5.96,193900,5.899798
2015-08-25,5.90,5.90,5.71,5.73,163700,5.672121
2015-08-24,5.64,5.95,5.58,5.79,197700,5.731515
2015-08-21,5.67,5.73,5.63,5.71,154700,5.652323
2015-08-20,5.70,5.75,5.64,5.70,161100,5.642424
2015-08-19,5.60,5.75,5.60,5.70,333600,5.642424
2015-08-18,5.50,5.63,5.50,5.63,1039500,5.573131
2015-08-17,5.50,5.56,5.48,5.49,294800,5.434545
2015-08-14,5.54,5.62,5.43,5.50,281000,5.444444
2015-08-13,5.65,5.79,5.45,5.47,3154200,5.414747
2015-08-12,5.73,5.95,5.63,5.65,194800,5.592929
2015-08-11,5.95,6.00,5.65,5.66,124400,5.602828
2015-08-10,5.80,6.00,5.73,5.95,30000,5.889899
2015-08-07,6.00,6.10,5.60,5.75,78000,5.691919
