Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,30.549999,30.99,30.120001,30.860001,138300,30.860001
2016-01-21,31.040001,31.559999,30.209999,30.26,220600,30.26
2016-01-20,30.629999,31.57,29.74,31.26,282700,31.26
2016-01-19,30.469999,31.209999,30.450001,30.879999,216600,30.879999
2016-01-15,30.129999,30.969999,29.780001,30.91,288400,30.91
2016-01-14,31.09,31.60,30.76,31.120001,162400,31.120001
2016-01-13,32.50,32.50,30.73,30.99,220200,30.99
2016-01-12,32.529999,32.529999,31.77,32.439999,163700,32.439999
2016-01-11,32.720001,32.889999,32.139999,32.23,244900,32.23
2016-01-08,33.709999,33.77,32.59,32.650002,218200,32.650002
2016-01-07,33.630001,33.759998,33.259998,33.580002,226800,33.580002
2016-01-06,33.68,34.360001,33.68,34.130001,184200,34.130001
2016-01-05,33.75,34.34,33.75,34.139999,119100,34.139999
2016-01-04,33.779999,34.41,33.32,33.75,279200,33.75
2015-12-31,35.080002,35.299999,34.41,34.41,161800,34.41
2015-12-30,35.450001,35.450001,34.869999,35.040001,100300,35.040001
2015-12-29,35.400002,35.82,35.200001,35.490002,51200,35.490002
2015-12-28,34.950001,35.25,34.669998,35.169998,70500,35.169998
2015-12-24,34.91,35.43,34.900002,35.16,66700,35.16
2015-12-23,34.650002,34.93,34.43,34.869999,89100,34.869999
2015-12-22,35.369999,35.369999,34.009998,34.57,311400,34.57
2015-12-21,34.810001,35.119999,34.650002,35.080002,165700,35.080002
2015-12-18,34.860001,35.009998,34.32,34.52,441800,34.52
2015-12-17,35.529999,35.529999,34.689999,34.990002,270600,34.990002
2015-12-16,35.73,35.880001,34.93,35.759998,185500,35.759998
2015-12-15,34.799999,35.73,34.799999,35.59,299000,35.59
2015-12-14,34.310001,35.080002,33.889999,34.779999,167600,34.609998
2015-12-11,34.68,35.130001,34.060001,34.310001,159700,34.142298
2015-12-10,35.330002,35.619999,34.84,35.27,123400,35.097605
2015-12-09,35.310001,35.580002,35.02,35.139999,166700,34.968239
2015-12-08,35.48,35.630001,34.900002,35.16,122500,34.988142
2015-12-07,36.93,36.939999,35.529999,35.830002,110100,35.654869
2015-12-04,36.110001,37.02,36.049999,36.990002,138100,36.809199
2015-12-03,36.57,36.82,36.009998,36.099998,81900,35.923546
2015-12-02,37.200001,37.200001,36.290001,36.490002,120200,36.311643
2015-12-01,36.720001,37.279999,36.470001,37.130001,181800,36.948514
2015-11-30,36.669998,36.759998,36.380001,36.529999,166700,36.351445
2015-11-27,36.630001,36.919998,36.48,36.669998,62500,36.49076
2015-11-25,36.619999,36.799999,36.32,36.650002,136800,36.470861
2015-11-24,36.27,36.59,36.09,36.560001,60500,36.381301
