Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,13.13,13.32,12.97,13.19,1328200,13.19
2016-01-21,13.01,13.16,12.72,12.94,1445600,12.94
2016-01-20,12.91,13.08,12.37,12.94,1774800,12.94
2016-01-19,13.20,13.38,12.95,13.12,1620100,13.12
2016-01-15,13.09,13.19,12.81,13.15,2105500,13.15
2016-01-14,13.13,13.49,12.91,13.44,1789000,13.44
2016-01-13,13.29,13.43,13.06,13.08,2023600,13.08
2016-01-12,13.19,13.33,12.95,13.20,1621700,13.20
2016-01-11,13.04,13.15,12.91,13.03,3142800,13.03
2016-01-08,13.33,13.41,12.78,12.82,2544900,12.82
2016-01-07,13.69,14.10,13.06,13.23,2477500,13.23
2016-01-06,14.11,14.26,13.93,13.96,1377500,13.96
2016-01-05,14.50,14.63,14.15,14.28,1841300,14.28
2016-01-04,14.55,14.61,14.26,14.45,1337600,14.45
2015-12-31,14.74,14.97,14.55,14.72,1367100,14.72
2015-12-30,14.80,14.98,14.67,14.80,762400,14.80
2015-12-29,14.87,14.94,14.69,14.87,975500,14.87
2015-12-28,14.67,14.86,14.43,14.76,1362000,14.76
2015-12-24,14.97,15.13,14.67,14.71,889400,14.71
2015-12-23,14.97,15.11,14.93,14.99,1124800,14.99
2015-12-22,14.66,14.92,14.62,14.92,1414500,14.92
2015-12-21,14.52,14.76,14.41,14.65,1083000,14.65
2015-12-18,14.67,14.79,14.35,14.40,2421100,14.40
2015-12-17,15.15,15.25,14.70,14.71,1743200,14.71
2015-12-16,15.03,15.27,14.87,15.13,1661900,15.13
2015-12-15,14.52,15.03,14.44,14.96,1761500,14.96
2015-12-14,14.84,14.92,14.25,14.46,1643800,14.46
2015-12-11,15.05,15.13,14.61,14.87,1805900,14.87
2015-12-10,15.09,15.32,15.02,15.21,1331700,15.21
2015-12-09,15.00,15.55,14.98,15.07,1248800,15.07
2015-12-08,15.08,15.26,14.96,15.04,1392500,15.04
2015-12-07,15.70,15.82,15.20,15.25,1636400,15.25
2015-12-04,15.98,16.040001,15.75,15.78,1149900,15.78
2015-12-03,16.200001,16.280001,15.87,15.97,1387300,15.97
2015-12-02,16.50,16.68,16.17,16.200001,1034800,16.200001
2015-12-01,16.15,16.57,16.139999,16.51,1396400,16.51
2015-11-30,16.370001,16.389999,16.08,16.09,1457700,16.09
2015-11-27,16.209999,16.42,16.17,16.290001,564900,16.290001
2015-11-25,16.18,16.34,16.09,16.209999,1629300,16.209999
2015-11-24,16.040001,16.299999,16.040001,16.190001,1850200,16.190001
2015-11-23,16.059999,16.299999,16.030001,16.17,1419300,16.17
2015-11-20,16.139999,16.219999,15.88,16.01,1444000,16.01
2015-11-19,16.110001,16.389999,15.97,16.030001,1960600,16.030001
2015-11-18,15.78,16.120001,15.71,16.040001,1596000,16.040001
2015-11-17,15.89,16.040001,15.71,15.73,1514900,15.73
2015-11-16,15.70,16.00,15.69,15.88,1128700,15.88
2015-11-13,15.75,16.030001,15.70,15.76,1445300,15.76
2015-11-12,16.030001,16.200001,15.76,15.77,1057900,15.77
2015-11-11,16.43,16.43,16.02,16.17,1229400,16.17
2015-11-10,16.58,16.780001,16.129999,16.34,2644600,16.34
2015-11-09,17.17,17.27,16.90,16.91,2369900,16.65
2015-11-06,16.68,17.219999,16.51,17.219999,1585700,16.955233
2015-11-05,16.60,16.99,16.299999,16.76,2172000,16.502307
2015-11-04,17.190001,17.24,16.26,16.66,3083800,16.403844
2015-11-03,17.190001,17.34,17.00,17.16,1745300,16.896156
2015-11-02,17.030001,17.34,16.950001,17.190001,2941300,16.925696
2015-10-30,17.00,17.00,16.799999,16.870001,1219900,16.610616
2015-10-29,16.82,17.049999,16.82,16.950001,999100,16.689386
2015-10-28,16.33,16.99,16.190001,16.93,1402000,16.669693
2015-10-27,16.620001,16.82,16.120001,16.23,1486200,15.980455
2015-10-26,16.73,16.860001,16.610001,16.709999,1695900,16.453075
2015-10-23,16.549999,16.73,16.42,16.700001,1086800,16.44323
2015-10-22,16.450001,16.450001,16.129999,16.35,1212800,16.098611
2015-10-21,16.48,16.52,16.139999,16.16,840100,15.911532
2015-10-20,16.440001,16.50,16.23,16.35,999500,16.098611
2015-10-19,16.58,16.73,16.450001,16.48,1094600,16.226611
2015-10-16,16.43,16.59,16.309999,16.58,945200,16.325074
2015-10-15,15.99,16.42,15.81,16.40,1285100,16.147842
2015-10-14,16.129999,16.24,15.84,16.049999,1148800,15.803223
2015-10-13,16.18,16.40,16.02,16.10,1178800,15.852455
2015-10-12,16.51,16.559999,16.209999,16.27,1184200,16.019841
2015-10-09,16.32,16.559999,16.219999,16.51,2053900,16.256151
2015-10-08,15.75,16.299999,15.75,16.280001,1375600,16.029688
2015-10-07,15.32,16.190001,15.20,15.85,2413400,15.606299
2015-10-06,15.26,15.33,15.00,15.29,913600,15.054909
2015-10-05,14.75,15.23,14.75,15.22,889500,14.985985
2015-10-02,14.32,14.65,14.21,14.65,1049100,14.424749
2015-10-01,14.55,14.71,14.36,14.54,1299800,14.31644
2015-09-30,14.40,14.61,14.31,14.56,1138400,14.336133
2015-09-29,14.39,14.44,14.19,14.31,1235800,14.089977
2015-09-28,14.61,14.68,14.31,14.39,1462700,14.168747
2015-09-25,14.89,14.97,14.63,14.69,841500,14.464134
2015-09-24,14.78,14.84,14.53,14.80,1018500,14.572443
2015-09-23,15.11,15.14,14.76,14.89,1198000,14.661059
2015-09-22,15.20,15.35,14.97,14.99,971000,14.759521
2015-09-21,15.87,15.92,15.39,15.43,1208900,15.192756
2015-09-18,15.34,15.79,15.30,15.76,3102000,15.517682
2015-09-17,15.85,15.87,15.56,15.59,1378600,15.350296
2015-09-16,15.29,15.91,15.23,15.84,1431200,15.596452
2015-09-15,15.03,15.46,15.00,15.28,1251800,15.045062
2015-09-14,15.20,15.22,14.97,15.03,1590400,14.798906
2015-09-11,15.26,15.28,15.02,15.12,1615000,14.887522
2015-09-10,15.49,15.56,15.21,15.30,1642500,15.064755
2015-09-09,15.90,15.92,15.54,15.55,1628400,15.310911
2015-09-08,15.69,15.82,15.55,15.72,1083900,15.478297
2015-09-04,15.38,15.50,15.22,15.41,1213800,15.173063
2015-09-03,15.32,15.66,15.23,15.63,1463400,15.389681
2015-09-02,15.25,15.33,14.87,15.27,1603800,15.035217
2015-09-01,15.37,15.54,15.00,15.09,1714400,14.857984
2015-08-31,15.63,15.85,15.56,15.70,1478000,15.458605
2015-08-28,15.67,15.83,15.60,15.78,1178700,15.537374
2015-08-27,15.48,15.89,15.38,15.66,2108300,15.41922
2015-08-26,15.15,15.41,14.70,15.37,2631800,15.133679
2015-08-25,15.63,15.71,14.85,14.87,2947300,14.641366
2015-08-24,15.00,15.55,14.52,15.15,4442800,14.917061
2015-08-21,15.50,15.77,15.38,15.43,2672500,15.192756
2015-08-20,15.71,15.80,15.53,15.55,2955300,15.310911
2015-08-19,15.78,15.91,15.45,15.65,1646800,15.409373
