Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,4.50,4.51,4.48,4.50,1000,4.50
2016-01-21,4.46,4.59,4.45,4.45,5000,4.45
2016-01-20,4.40,4.48,4.28,4.45,174000,4.45
2016-01-19,4.49,4.49,4.35,4.40,7000,4.40
2016-01-15,4.49,4.49,4.31,4.40,10000,4.40
2016-01-14,4.48,4.54,4.46,4.54,9800,4.54
2016-01-13,4.58,4.58,4.39,4.46,9400,4.46
2016-01-12,4.52,4.56,4.48,4.49,9400,4.49
2016-01-11,4.59,4.70,4.59,4.60,5200,4.60
2016-01-08,4.61,4.75,4.61,4.70,3400,4.70
2016-01-07,4.70,4.76,4.66,4.76,12400,4.76
2016-01-06,4.56,4.78,4.56,4.71,11100,4.71
2016-01-05,4.53,4.68,4.53,4.65,3500,4.65
2016-01-04,4.53,4.73,4.48,4.63,12900,4.63
2015-12-31,4.66,4.75,4.66,4.69,6900,4.69
2015-12-30,4.63,4.75,4.63,4.65,5500,4.632
2015-12-29,4.59,4.75,4.57,4.66,8900,4.641961
2015-12-28,4.57,4.67,4.50,4.62,7800,4.602116
2015-12-24,4.41,4.67,4.41,4.65,21800,4.632
2015-12-23,4.55,4.65,4.41,4.60,6100,4.582193
2015-12-22,4.48,4.74,4.41,4.49,12500,4.472619
2015-12-21,4.42,4.42,4.41,4.41,600,4.392929
2015-12-18,4.35,4.73,4.35,4.67,38200,4.651923
2015-12-17,4.36,4.36,4.36,4.36,600,4.343123
2015-12-16,4.40,4.50,4.37,4.37,10200,4.353084
2015-12-15,4.53,4.54,4.35,4.39,2900,4.373006
2015-12-14,4.35,4.49,4.35,4.35,17200,4.333161
2015-12-11,4.40,4.44,4.35,4.35,10200,4.333161
2015-12-10,4.40,4.40,4.39,4.40,6100,4.382968
2015-12-09,4.36,4.40,4.35,4.37,2500,4.353084
2015-12-08,4.35,4.43,4.35,4.43,6400,4.412851
2015-12-07,4.49,4.49,4.25,4.37,23700,4.353084
2015-12-04,4.51,4.59,4.51,4.54,5100,4.522426
2015-12-03,4.57,4.57,4.51,4.51,2000,4.492542
2015-12-02,4.50,4.58,4.45,4.58,6700,4.562271
2015-12-01,4.46,4.54,4.46,4.53,900,4.512465
2015-11-30,4.58,4.58,4.30,4.50,22900,4.482581
2015-11-27,4.52,4.64,4.52,4.63,2600,4.612078
2015-11-25,4.51,4.61,4.51,4.61,2000,4.592155
2015-11-24,4.37,4.58,4.36,4.51,11200,4.492542
2015-11-23,4.50,4.62,4.37,4.37,19500,4.353084
2015-11-20,4.58,4.59,4.58,4.59,2600,4.572232
2015-11-19,4.69,4.69,4.58,4.58,5000,4.562271
2015-11-18,4.72,4.72,4.52,4.56,3800,4.542348
2015-11-17,4.63,4.72,4.63,4.72,2400,4.701729
2015-11-16,4.63,4.63,4.51,4.55,3500,4.532387
2015-11-13,4.66,4.72,4.57,4.72,2200,4.701729
2015-11-12,4.75,4.85,4.61,4.61,2600,4.592155
2015-11-11,4.80,4.94,4.79,4.82,4800,4.801342
2015-11-10,4.87,4.90,4.82,4.82,1800,4.801342
2015-11-09,4.92,4.95,4.70,4.82,15600,4.801342
2015-11-06,4.80,4.95,4.80,4.95,1300,4.930839
2015-11-05,4.75,5.00,4.75,4.85,7400,4.831226
2015-11-04,4.80,4.89,4.80,4.81,1400,4.791381
2015-11-03,4.75,5.00,4.70,4.87,35000,4.851148
2015-11-02,4.62,4.80,4.62,4.72,15100,4.701729
2015-10-30,4.75,4.96,4.71,4.72,14400,4.701729
2015-10-29,4.79,4.88,4.63,4.72,7900,4.701729
2015-10-28,4.74,4.89,4.74,4.88,11600,4.86111
2015-10-27,4.91,4.91,4.72,4.72,1700,4.701729
2015-10-26,4.80,4.92,4.80,4.90,2600,4.881032
2015-10-23,4.81,4.86,4.80,4.85,2000,4.831226
2015-10-22,4.86,4.94,4.86,4.88,3100,4.86111
2015-10-21,4.87,4.99,4.41,4.84,5600,4.821265
2015-10-20,4.92,4.94,4.62,4.85,4200,4.831226
2015-10-19,4.86,5.01,4.86,4.92,14000,4.900955
2015-10-16,4.97,4.99,4.83,4.83,1600,4.811303
2015-10-15,4.90,5.00,4.87,4.96,7700,4.9408
2015-10-14,4.90,5.00,4.87,4.89,5200,4.871071
2015-10-13,4.92,4.96,4.86,4.86,5700,4.841187
2015-10-12,4.95,5.00,4.84,4.93,18400,4.910916
2015-10-09,5.15,5.17,4.91,4.99,12300,4.970684
2015-10-08,5.11,5.22,5.11,5.11,22600,5.09022
2015-10-07,4.91,5.48,4.90,5.11,46600,5.09022
2015-10-06,4.75,4.95,4.75,4.92,10600,4.886013
2015-10-05,4.74,4.95,4.74,4.77,57800,4.737049
2015-10-02,4.83,4.84,4.50,4.83,40800,4.796635
2015-10-01,4.72,4.90,4.58,4.82,55600,4.786704
2015-09-30,4.69,4.95,4.65,4.75,53100,4.717187
2015-09-29,4.46,4.75,4.46,4.62,30800,4.588085
2015-09-28,4.31,4.54,4.20,4.44,55000,4.409329
2015-09-25,4.24,4.40,4.24,4.37,31400,4.339812
2015-09-24,4.29,4.33,4.25,4.26,25000,4.230572
2015-09-23,4.26,4.36,4.25,4.28,13300,4.250434
2015-09-22,4.28,4.49,4.26,4.26,28100,4.230572
2015-09-21,4.48,4.50,4.26,4.35,51400,4.31995
2015-09-18,4.40,4.48,4.21,4.36,361200,4.329882
2015-09-17,4.20,4.50,4.20,4.41,80200,4.379536
2015-09-16,4.25,4.29,4.22,4.22,50200,4.190848
2015-09-15,4.28,4.31,4.22,4.23,30900,4.200779
2015-09-14,4.21,4.32,4.21,4.24,52500,4.21071
2015-09-11,4.24,4.32,4.21,4.21,27300,4.180918
2015-09-10,4.25,4.37,4.20,4.21,25200,4.180918
2015-09-09,4.30,4.40,4.25,4.25,37700,4.220641
2015-09-08,4.42,4.43,4.25,4.34,49600,4.31002
2015-09-04,4.45,4.46,4.35,4.42,6500,4.389467
2015-09-03,4.40,4.47,4.35,4.45,11400,4.419259
2015-09-02,4.37,4.45,4.35,4.42,10000,4.389467
2015-09-01,4.42,4.42,4.30,4.42,9100,4.389467
2015-08-31,4.26,4.50,4.25,4.42,14900,4.389467
2015-08-28,4.29,4.50,4.29,4.32,4500,4.290158
2015-08-27,4.32,4.45,4.32,4.39,4400,4.359674
2015-08-26,4.43,4.45,4.25,4.45,2800,4.419259
2015-08-25,4.41,4.46,4.26,4.46,20700,4.429191
2015-08-24,4.36,4.44,4.35,4.44,10700,4.409329
2015-08-21,4.36,4.45,4.35,4.43,7000,4.399398
2015-08-20,4.43,4.47,4.35,4.43,5600,4.399398
2015-08-19,4.50,4.50,4.35,4.45,5900,4.419259
2015-08-18,4.40,4.50,4.37,4.49,25700,4.458983
2015-08-17,4.34,4.41,4.34,4.37,5300,4.339812
2015-08-14,4.37,4.41,4.37,4.40,27700,4.369605
2015-08-13,4.32,4.41,4.29,4.41,86800,4.379536
2015-08-12,4.20,4.43,4.20,4.38,3400,4.349743
2015-08-11,4.25,4.27,4.25,4.27,27900,4.240503
2015-08-10,4.26,4.42,4.25,4.30,14500,4.270296
2015-08-07,4.25,4.34,4.25,4.26,2200,4.230572
2015-08-06,4.20,4.26,4.15,4.25,5700,4.220641
2015-08-05,4.23,4.30,4.23,4.25,2500,4.220641
2015-08-04,4.21,4.25,4.21,4.22,1300,4.190848
2015-08-03,4.30,4.35,4.26,4.27,7800,4.240503
2015-07-31,4.38,4.40,4.32,4.33,20000,4.300089
2015-07-30,4.26,4.37,4.26,4.31,10400,4.280227
2015-07-29,4.22,4.44,4.22,4.37,1200,4.339812
2015-07-28,4.28,4.38,4.23,4.23,1800,4.200779
2015-07-27,4.19,4.24,4.15,4.20,10700,4.170986
2015-07-24,4.20,4.30,4.20,4.23,3600,4.200779
2015-07-23,4.25,4.36,4.19,4.23,2400,4.200779
2015-07-22,4.30,4.30,4.22,4.24,2000,4.21071
2015-07-21,4.25,4.44,4.22,4.22,3800,4.190848
2015-07-20,4.18,4.30,4.08,4.22,7400,4.190848
2015-07-17,4.27,4.27,4.20,4.20,800,4.170986
2015-07-16,4.32,4.32,4.27,4.30,1600,4.270296
2015-07-15,4.30,4.33,4.30,4.31,1200,4.280227
2015-07-14,4.23,4.28,4.19,4.28,10100,4.250434
2015-07-13,4.36,4.44,4.24,4.27,10800,4.240503
2015-07-10,4.38,4.45,4.30,4.45,5600,4.419259
2015-07-09,4.37,4.38,4.28,4.30,2100,4.270296
2015-07-08,4.30,4.45,4.11,4.15,22800,4.121332
2015-07-07,4.30,4.30,4.29,4.30,1200,4.270296
2015-07-06,4.35,4.35,4.19,4.30,58100,4.270296
2015-07-02,4.28,4.32,4.28,4.30,3500,4.257386
2015-07-01,4.30,4.38,4.21,4.21,54000,4.168277
2015-06-30,4.16,4.34,4.16,4.28,72200,4.237584
2015-06-29,4.25,4.30,4.25,4.25,15900,4.207881
2015-06-26,4.27,4.35,4.15,4.34,43700,4.296989
2015-06-25,4.28,4.36,4.18,4.26,64500,4.217782
2015-06-24,4.35,4.35,4.18,4.25,13000,4.207881
2015-06-23,4.29,4.30,4.24,4.27,5300,4.227683
2015-06-22,4.41,4.41,4.18,4.21,44700,4.168277
2015-06-19,4.15,4.47,4.15,4.47,66500,4.425701
2015-06-18,4.25,4.32,4.25,4.28,40300,4.237584
2015-06-17,4.23,4.39,4.18,4.37,46600,4.326692
2015-06-16,4.30,4.34,4.11,4.16,10700,4.118773
2015-06-15,4.30,4.30,4.10,4.27,8100,4.227683
2015-06-12,4.21,4.40,4.20,4.26,56000,4.217782
2015-06-11,4.21,4.40,4.18,4.20,8500,4.158376
2015-06-10,4.38,4.39,4.13,4.24,6800,4.19798
2015-06-09,4.16,4.39,4.16,4.20,2200,4.158376
2015-06-08,4.19,4.30,4.14,4.14,900,4.098971
2015-06-05,4.10,4.23,4.10,4.23,2400,4.188079
2015-06-04,4.10,4.25,4.09,4.11,30100,4.069269
2015-06-03,4.27,4.27,4.14,4.14,400,4.098971
2015-06-02,4.21,4.23,4.15,4.23,13400,4.188079
2015-06-01,4.12,4.24,4.12,4.20,47600,4.158376
2015-05-29,4.14,4.30,4.04,4.14,11600,4.098971
2015-05-28,4.02,4.19,4.00,4.11,22600,4.069269
2015-05-27,4.17,4.24,4.06,4.08,41700,4.039566
2015-05-26,4.17,4.42,4.15,4.15,28400,4.108872
2015-05-22,4.11,4.24,4.10,4.21,18200,4.168277
2015-05-21,4.12,4.26,4.12,4.20,4900,4.158376
2015-05-20,4.16,4.24,4.12,4.16,7500,4.118773
2015-05-19,4.12,4.21,4.11,4.13,8700,4.08907
2015-05-18,4.19,4.31,4.10,4.15,15300,4.108872
2015-05-15,4.40,4.40,4.24,4.26,27000,4.217782
2015-05-14,4.41,4.45,4.38,4.39,5900,4.346493
2015-05-13,4.40,4.49,4.38,4.42,9000,4.376196
2015-05-12,4.40,4.50,4.38,4.50,8900,4.455403
2015-05-11,4.40,4.49,4.38,4.47,5100,4.425701
2015-05-08,4.48,4.50,4.40,4.47,1400,4.425701
2015-05-07,4.42,4.50,4.38,4.50,14300,4.455403
2015-05-06,4.38,4.50,4.35,4.50,8300,4.455403
2015-05-05,4.40,4.48,4.33,4.41,3300,4.366295
2015-05-04,4.35,4.48,4.33,4.48,1500,4.435602
2015-05-01,4.34,4.41,4.30,4.37,40800,4.326692
2015-04-30,4.34,4.52,4.34,4.44,5500,4.395998
2015-04-29,4.20,4.40,4.20,4.32,12300,4.277187
2015-04-28,4.32,4.34,4.27,4.29,7400,4.247485
2015-04-27,4.26,4.43,4.26,4.31,5900,4.267286
2015-04-24,4.29,4.40,4.25,4.40,35000,4.356395
2015-04-23,4.44,4.44,4.05,4.30,40200,4.257386
2015-04-22,4.47,4.48,4.40,4.40,2800,4.356395
2015-04-21,4.44,4.46,4.35,4.46,23400,4.4158
2015-04-20,4.46,4.46,4.35,4.44,7200,4.395998
2015-04-17,4.37,4.48,4.34,4.48,3900,4.435602
2015-04-16,4.42,4.43,4.36,4.43,3900,4.386097
2015-04-15,4.40,4.42,4.35,4.42,4300,4.376196
2015-04-14,4.39,4.43,4.39,4.42,6400,4.376196
2015-04-13,4.40,4.47,4.34,4.41,7800,4.366295
2015-04-10,4.36,4.49,4.36,4.49,5200,4.445502
2015-04-09,4.45,4.47,4.45,4.47,3300,4.425701
2015-04-08,4.50,4.50,4.42,4.49,20000,4.434611
2015-04-07,4.47,4.54,4.46,4.52,18400,4.464241
2015-04-06,4.48,4.51,4.44,4.51,22400,4.454365
2015-04-02,4.37,4.55,4.37,4.48,32200,4.424735
2015-04-01,4.42,4.50,4.40,4.41,8000,4.344734
2015-03-31,4.50,4.55,4.46,4.50,9500,4.422565
2015-03-30,4.55,4.55,4.48,4.49,10700,4.412737
2015-03-27,4.64,4.64,4.50,4.55,7400,4.471705
2015-03-26,4.47,4.58,4.42,4.43,23000,4.35377
2015-03-25,4.46,4.53,4.46,4.46,17300,4.383254
2015-03-24,4.50,4.53,4.45,4.49,13100,4.412737
2015-03-23,4.50,4.57,4.50,4.50,12300,4.422565
2015-03-20,4.61,4.68,4.52,4.52,3400,4.442221
2015-03-19,4.60,4.69,4.52,4.69,3800,4.609296
2015-03-18,4.69,4.70,4.65,4.65,5700,4.569984
2015-03-17,4.67,4.68,4.64,4.67,9300,4.58964
2015-03-16,4.69,4.70,4.60,4.66,20100,4.579812
2015-03-13,4.70,4.70,4.64,4.67,7700,4.58964
2015-03-12,4.59,4.74,4.54,4.64,10000,4.560156
2015-03-11,4.70,4.70,4.48,4.57,19900,4.491361
2015-03-10,4.56,4.70,4.55,4.70,2000,4.619123
2015-03-09,4.70,4.70,4.66,4.68,5900,4.599468
2015-03-06,4.66,4.69,4.53,4.65,10500,4.569984
2015-03-05,4.54,4.75,4.54,4.74,8100,4.658435
2015-03-04,4.53,4.55,4.50,4.54,11800,4.461877
2015-03-03,4.50,4.50,4.48,4.48,800,4.402909
2015-03-02,4.52,4.76,4.38,4.51,22100,4.432393
2015-02-27,4.37,4.50,4.37,4.50,1900,4.422565
2015-02-26,4.36,4.49,4.36,4.49,12700,4.412737
2015-02-25,4.47,4.47,4.35,4.38,26100,4.30463
2015-02-24,4.38,4.47,4.38,4.47,5600,4.393081
2015-02-23,4.44,4.49,4.33,4.40,9600,4.324286
2015-02-20,4.43,4.49,4.32,4.41,21800,4.334114
2015-02-19,4.54,4.54,4.39,4.43,21300,4.35377
2015-02-18,4.48,4.55,4.30,4.51,35200,4.432393
2015-02-17,4.49,4.55,4.29,4.48,9000,4.402909
2015-02-13,4.44,4.54,4.38,4.48,8400,4.402909
2015-02-12,4.36,4.44,4.32,4.36,18400,4.284974
2015-02-11,4.33,4.47,4.27,4.36,18300,4.284974
2015-02-10,4.39,4.46,4.27,4.32,20100,4.245663
2015-02-09,4.34,4.48,4.32,4.40,9100,4.324286
2015-02-06,4.55,4.55,4.45,4.45,700,4.373425
2015-02-05,4.44,4.49,4.34,4.37,5500,4.294802
2015-02-04,4.55,4.55,4.40,4.43,9900,4.35377
2015-02-03,4.46,4.46,4.46,4.46,100,4.383254
2015-02-02,4.43,4.55,4.38,4.48,14200,4.402909
2015-01-30,4.35,4.55,4.33,4.40,13200,4.324286
2015-01-29,4.46,4.48,4.46,4.47,1700,4.393081
2015-01-28,4.33,4.48,4.33,4.43,6900,4.35377
2015-01-27,4.42,4.47,4.39,4.39,800,4.314458
2015-01-26,4.42,4.48,4.32,4.35,15900,4.275146
2015-01-23,4.44,4.52,4.35,4.35,4200,4.275146
2015-01-22,4.27,4.49,4.24,4.47,8900,4.393081
2015-01-21,4.26,4.41,4.26,4.40,14200,4.324286
2015-01-20,4.35,4.55,4.26,4.34,30800,4.265319
2015-01-16,4.35,4.44,4.31,4.38,5400,4.30463
2015-01-15,4.28,4.49,4.26,4.47,26600,4.393081
2015-01-14,4.35,4.48,4.32,4.32,24700,4.245663
2015-01-13,4.39,4.40,4.29,4.40,10100,4.324286
2015-01-12,4.38,4.42,4.35,4.35,25800,4.275146
2015-01-09,4.40,4.43,4.38,4.43,5100,4.35377
2015-01-08,4.43,4.43,4.35,4.40,10200,4.324286
2015-01-07,4.50,4.50,4.40,4.40,11300,4.324286
2015-01-06,4.37,4.50,4.36,4.49,4700,4.412737
2015-01-05,4.55,4.55,4.35,4.40,24300,4.324286
2015-01-02,4.53,4.53,4.17,4.42,114000,4.343942
2014-12-31,4.43,4.48,4.43,4.48,6700,4.402909
2014-12-30,4.43,4.50,4.43,4.47,11100,4.393081
2014-12-29,4.50,4.50,4.45,4.45,18200,4.373425
2014-12-26,4.50,4.50,4.47,4.49,8200,4.412737
2014-12-24,4.43,4.50,4.43,4.47,15100,4.393081
2014-12-23,4.45,4.50,4.37,4.49,27900,4.412737
2014-12-22,4.44,4.47,4.32,4.43,40200,4.35377
2014-12-19,4.50,4.50,4.32,4.48,20500,4.402909
2014-12-18,4.41,4.50,4.41,4.46,9700,4.383254
2014-12-17,4.33,4.39,4.33,4.35,7100,4.275146
2014-12-16,4.38,4.38,4.28,4.33,36600,4.25549
2014-12-15,4.33,4.45,4.25,4.36,27000,4.284974
2014-12-12,4.20,4.39,4.20,4.27,21600,4.196523
2014-12-11,4.21,4.35,4.17,4.26,8300,4.186695
2014-12-10,4.21,4.21,4.18,4.18,3700,4.108071
2014-12-09,4.08,4.25,4.08,4.19,4900,4.1179
2014-12-08,4.30,4.40,4.16,4.16,24100,4.088416
2014-12-05,4.32,4.33,4.21,4.28,66400,4.206351
2014-12-04,4.07,4.33,4.07,4.20,31500,4.127727
2014-12-03,4.13,4.32,4.13,4.15,23600,4.078588
2014-12-02,4.13,4.22,4.13,4.20,28900,4.127727
2014-12-01,4.16,4.20,4.06,4.17,24500,4.098244
2014-11-28,4.26,4.26,4.20,4.21,4800,4.137555
2014-11-26,4.18,4.25,4.10,4.20,36500,4.127727
2014-11-25,4.29,4.35,4.18,4.18,46300,4.108071
2014-11-24,4.10,4.34,4.10,4.26,93300,4.186695
2014-11-21,4.12,4.14,4.07,4.14,60100,4.06876
2014-11-20,4.16,4.20,4.06,4.06,24900,3.990137
2014-11-19,4.03,4.15,4.03,4.15,17800,4.078588
2014-11-18,4.13,4.13,4.02,4.11,12600,4.039276
2014-11-17,4.15,4.18,4.10,4.12,12500,4.049104
2014-11-14,4.19,4.19,4.08,4.14,11700,4.06876
2014-11-13,4.16,4.17,4.16,4.16,7600,4.088416
2014-11-12,4.15,4.18,4.15,4.18,19400,4.108071
2014-11-11,4.20,4.20,4.14,4.16,16900,4.088416
2014-11-10,4.15,4.20,4.13,4.15,28400,4.078588
2014-11-07,4.14,4.16,4.07,4.14,8300,4.06876
2014-11-06,4.17,4.17,4.13,4.13,10500,4.058932
2014-11-05,4.19,4.20,4.13,4.19,26300,4.1179
2014-11-04,4.20,4.20,4.12,4.15,34600,4.078588
2014-11-03,4.05,4.22,4.05,4.18,133800,4.108071
2014-10-31,4.02,4.08,4.00,4.07,48500,3.999965
2014-10-30,3.87,4.03,3.86,4.00,120500,3.931169
2014-10-29,3.75,3.92,3.30,3.84,169800,3.773922
2014-10-28,3.94,3.95,3.87,3.88,9200,3.813234
2014-10-27,3.95,4.00,3.87,3.91,64500,3.842718
2014-10-24,3.97,3.99,3.93,3.95,56300,3.882029
2014-10-23,3.97,3.99,3.94,3.96,5000,3.891857
2014-10-22,4.00,4.04,3.92,3.97,34000,3.901685
2014-10-21,3.97,4.05,3.96,3.97,83800,3.901685
2014-10-20,3.98,3.99,3.92,3.97,47800,3.901685
2014-10-17,3.90,4.04,3.90,3.97,245200,3.901685
2014-10-16,3.88,3.98,3.88,3.94,7800,3.872202
2014-10-15,3.96,4.00,3.90,3.95,86400,3.882029
2014-10-14,3.91,4.00,3.91,3.99,49500,3.921341
2014-10-13,3.96,4.02,3.91,3.94,84900,3.872202
2014-10-10,3.91,3.99,3.90,3.97,79300,3.901685
2014-10-09,4.05,4.07,3.99,3.99,202000,3.921341
2014-10-08,3.96,4.05,3.95,4.05,102700,3.980309
2014-10-07,3.95,4.04,3.95,4.00,49000,3.931169
2014-10-06,3.91,4.02,3.91,4.02,77300,3.950825
2014-10-03,3.92,3.98,3.92,3.97,18100,3.901685
2014-10-02,3.85,3.95,3.85,3.91,63000,3.842718
2014-10-01,3.95,3.96,3.88,3.88,15800,3.813234
2014-09-30,4.00,4.00,3.86,3.99,86100,3.921341
2014-09-29,3.96,4.09,3.85,3.98,81100,3.911513
2014-09-26,3.81,3.93,3.78,3.90,646100,3.83289
2014-09-25,3.88,3.88,3.83,3.88,3100,3.813234
2014-09-24,3.82,3.93,3.82,3.89,22100,3.823062
2014-09-23,3.89,3.90,3.81,3.85,19800,3.78375
2014-09-22,3.90,3.91,3.85,3.86,39700,3.793578
2014-09-19,3.86,3.91,3.81,3.87,80200,3.803406
2014-09-18,3.89,3.90,3.84,3.86,16400,3.793578
2014-09-17,3.86,3.89,3.77,3.88,11300,3.813234
2014-09-16,3.81,3.83,3.79,3.82,11600,3.754266
2014-09-15,3.87,3.87,3.77,3.78,29000,3.714955
2014-09-12,3.90,3.90,3.80,3.86,29900,3.793578
2014-09-11,3.90,3.91,3.85,3.85,73500,3.78375
2014-09-10,3.87,3.89,3.80,3.87,2900,3.803406
2014-09-09,3.83,3.90,3.78,3.85,17100,3.78375
2014-09-08,3.81,3.90,3.81,3.90,26200,3.83289
2014-09-05,3.83,3.84,3.82,3.84,2900,3.773922
2014-09-04,3.83,3.84,3.82,3.83,7500,3.764094
2014-09-03,3.84,3.84,3.80,3.83,4000,3.764094
2014-09-02,3.84,3.84,3.79,3.81,13700,3.744438
2014-08-29,3.79,3.84,3.77,3.84,31800,3.773922
2014-08-28,3.80,3.81,3.78,3.80,5300,3.734611
2014-08-27,3.77,3.79,3.75,3.77,22200,3.705127
2014-08-26,3.79,3.79,3.78,3.78,3900,3.714955
2014-08-25,3.73,3.76,3.72,3.75,11400,3.685471
2014-08-22,3.73,3.79,3.71,3.76,13600,3.695299
2014-08-21,3.67,3.76,3.66,3.76,23600,3.695299
2014-08-20,3.71,3.75,3.70,3.72,90300,3.655987
2014-08-19,3.70,3.76,3.70,3.74,25800,3.675643
2014-08-18,3.71,3.75,3.69,3.72,24100,3.655987
2014-08-15,3.71,3.74,3.69,3.74,18100,3.675643
2014-08-14,3.68,3.75,3.68,3.72,6700,3.655987
2014-08-13,3.75,3.75,3.73,3.73,400,3.665815
2014-08-12,3.78,3.78,3.71,3.75,8300,3.685471
2014-08-11,3.78,3.79,3.73,3.79,18800,3.724783
2014-08-08,3.66,3.82,3.66,3.78,30800,3.714955
2014-08-07,3.68,3.70,3.60,3.67,96000,3.606848
2014-08-06,3.63,3.75,3.63,3.72,24100,3.655987
2014-08-05,3.71,3.76,3.62,3.67,105200,3.606848
2014-08-04,3.80,3.83,3.68,3.74,58400,3.675643
2014-08-01,3.76,3.86,3.76,3.84,19700,3.773922
2014-07-31,3.79,3.89,3.79,3.82,11200,3.754266
2014-07-30,3.78,3.90,3.78,3.87,22800,3.803406
2014-07-29,3.81,3.86,3.78,3.81,42700,3.744438
2014-07-28,3.84,3.85,3.78,3.83,22300,3.764094
2014-07-25,3.86,3.88,3.77,3.84,20400,3.773922
2014-07-24,3.90,3.90,3.76,3.82,21600,3.754266
2014-07-23,3.85,3.86,3.76,3.81,36000,3.744438
2014-07-22,3.90,3.90,3.85,3.86,8500,3.793578
2014-07-21,3.87,3.90,3.80,3.83,58500,3.764094
