Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,32.75,32.75,31.67,31.700001,500,31.700001
2016-01-21,31.870001,31.870001,31.40,31.40,500,31.40
2016-01-20,32.639999,32.689999,31.360001,31.40,5800,31.40
2016-01-19,32.75,34.049999,31.43,33.790001,4300,33.790001
2016-01-15,32.959999,33.00,31.530001,31.549999,1300,31.549999
2016-01-14,33.41,33.41,33.00,33.349998,600,33.349998
2016-01-13,33.369999,33.860001,33.369999,33.860001,1400,33.860001
2016-01-12,34.00,34.00,34.00,34.00,000,34.00
2016-01-11,34.00,34.00,34.00,34.00,100,34.00
2016-01-08,33.139999,33.490002,32.59,32.59,1500,32.59
2016-01-07,33.00,33.869999,32.240002,33.869999,1000,33.869999
2016-01-06,32.919998,32.919998,32.919998,32.919998,000,32.919998
2016-01-05,32.389999,33.599998,32.389999,32.919998,700,32.919998
2016-01-04,33.450001,33.450001,32.240002,32.240002,900,32.240002
2015-12-31,34.049999,34.049999,33.48,33.48,500,33.48
2015-12-30,32.75,34.200001,32.75,33.700001,6900,33.700001
2015-12-29,32.43,32.50,32.209999,32.50,2600,32.50
2015-12-28,32.66,32.66,31.700001,31.77,600,31.77
2015-12-24,32.50,32.50,32.25,32.50,1500,32.50
2015-12-23,32.82,32.82,32.82,32.82,000,32.82
2015-12-22,32.040001,32.82,32.009998,32.82,900,32.82
2015-12-21,32.84,32.84,32.009998,32.099998,1300,32.099998
2015-12-18,31.74,32.310001,31.370001,32.310001,3200,32.310001
2015-12-17,31.42,31.700001,30.91,31.690001,3800,31.690001
2015-12-16,31.50,31.50,31.50,31.50,400,31.50
2015-12-15,31.50,31.50,31.450001,31.50,600,31.50
2015-12-14,31.00,31.299999,31.00,31.299999,200,31.299999
2015-12-11,31.42,31.42,30.50,31.040001,700,31.040001
2015-12-10,31.50,31.50,31.450001,31.450001,800,31.450001
2015-12-09,31.50,31.50,31.469999,31.469999,600,31.469999
2015-12-08,31.40,31.40,31.40,31.40,200,31.40
2015-12-07,31.35,31.360001,31.25,31.25,2600,31.25
2015-12-04,31.49,31.50,31.450001,31.50,600,31.50
2015-12-03,30.879999,31.50,30.75,30.75,800,30.75
2015-12-02,31.049999,31.459999,30.08,31.459999,700,31.459999
2015-12-01,30.60,30.790001,30.60,30.700001,1200,30.700001
2015-11-30,30.50,31.23,30.50,31.23,3400,31.23
2015-11-27,31.00,31.00,30.059999,30.059999,500,30.059999
2015-11-25,30.700001,30.959999,30.51,30.51,1000,30.51
2015-11-24,30.049999,30.049999,30.049999,30.049999,200,30.049999
2015-11-23,30.34,30.34,30.34,30.34,200,30.34
2015-11-20,29.85,29.85,29.85,29.85,000,29.85
2015-11-19,30.030001,30.16,29.85,29.85,1900,29.85
2015-11-18,30.01,30.219999,30.01,30.10,4500,30.10
2015-11-17,31.00,31.00,30.049999,30.27,1500,30.27
2015-11-16,31.200001,31.200001,31.200001,31.200001,000,31.200001
2015-11-13,31.290001,31.290001,31.200001,31.200001,300,31.200001
2015-11-12,30.65,31.74,30.65,31.709999,1600,31.709999
2015-11-11,31.139999,31.50,30.379999,31.48,2400,31.48
2015-11-10,30.00,31.620001,30.00,31.59,2300,31.59
2015-11-09,30.65,30.65,30.65,30.65,000,30.369999
2015-11-06,29.950001,30.76,29.68,30.65,5000,30.369999
2015-11-05,29.450001,29.450001,29.43,29.43,600,29.161145
2015-11-04,29.879999,30.00,29.35,30.00,4500,29.725937
2015-11-03,29.68,29.92,29.629999,29.879999,7500,29.607033
2015-11-02,28.77,29.00,28.77,29.00,300,28.735073
2015-10-30,29.68,29.68,29.50,29.50,700,29.230505
2015-10-29,29.00,29.00,29.00,29.00,000,28.735073
2015-10-28,29.120001,29.450001,29.00,29.00,2000,28.735073
2015-10-27,30.030001,30.09,29.049999,29.049999,6500,28.784615
2015-10-26,29.299999,29.65,29.299999,29.629999,300,29.359317
2015-10-23,30.10,30.10,30.10,30.10,000,29.825024
2015-10-22,30.10,30.10,30.10,30.10,300,29.825024
2015-10-21,29.75,29.75,29.75,29.75,200,29.478221
2015-10-20,29.50,29.65,29.50,29.610001,2100,29.339501
2015-10-19,29.200001,29.200001,29.200001,29.200001,000,28.933246
2015-10-16,29.200001,29.200001,29.200001,29.200001,500,28.933246
2015-10-15,30.10,30.10,29.02,29.799999,1700,29.527764
2015-10-14,30.10,30.10,30.10,30.10,000,29.825024
2015-10-13,30.10,30.10,30.10,30.10,000,29.825024
2015-10-12,30.10,30.10,30.10,30.10,200,29.825024
2015-10-09,29.379999,29.60,29.379999,29.40,400,29.131418
2015-10-08,29.65,29.700001,29.610001,29.700001,700,29.428679
2015-10-07,30.08,30.10,29.10,29.10,8000,28.83416
2015-10-06,28.860001,30.50,28.860001,29.77,15500,29.498039
2015-10-05,29.00,29.00,28.799999,28.799999,2700,28.536899
2015-10-02,29.41,29.41,28.91,28.91,2400,28.645895
2015-10-01,28.92,28.92,28.92,28.92,000,28.655804
2015-09-30,28.950001,28.950001,28.92,28.92,400,28.655804
2015-09-29,28.91,28.91,28.91,28.91,000,28.645895
2015-09-28,29.50,29.58,28.91,28.91,1800,28.645895
2015-09-25,29.299999,30.530001,29.219999,30.530001,1000,30.251096
2015-09-24,29.00,29.049999,29.00,29.00,900,28.735073
2015-09-23,29.50,29.76,29.01,29.110001,5000,28.844068
2015-09-22,29.24,30.01,29.209999,29.299999,5500,29.032331
2015-09-21,29.280001,31.700001,29.280001,29.93,1800,29.656577
2015-09-18,30.959999,31.709999,29.190001,29.190001,4300,28.923337
2015-09-17,30.50,30.50,30.290001,30.290001,2300,30.013289
2015-09-16,29.82,30.10,29.65,30.10,3500,29.825024
2015-09-15,30.00,30.719999,28.549999,29.790001,9400,29.517857
2015-09-14,30.950001,30.950001,29.950001,30.00,1700,29.725937
2015-09-11,30.73,31.00,30.73,31.00,1700,30.716802
2015-09-10,31.00,31.00,29.00,30.75,2600,30.469086
2015-09-09,30.879999,30.969999,30.129999,30.969999,1500,30.687075
2015-09-08,29.809999,30.969999,29.00,30.969999,3700,30.687075
