Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,12.68,12.78,12.18,12.63,294800,12.63
2016-01-21,12.24,12.70,12.09,12.33,266300,12.33
2016-01-20,11.76,12.41,11.70,12.26,417800,12.26
2016-01-19,12.21,12.39,11.77,12.12,408600,12.12
2016-01-15,12.31,12.42,11.75,11.96,337200,11.96
2016-01-14,12.48,13.06,12.30,12.77,380400,12.77
2016-01-13,12.59,12.72,12.18,12.31,355500,12.31
2016-01-12,12.79,13.01,12.11,12.45,464600,12.45
2016-01-11,12.84,13.14,12.32,12.57,388400,12.57
2016-01-08,13.30,13.40,12.40,12.66,633000,12.66
2016-01-07,13.53,14.02,12.98,13.20,616200,13.20
2016-01-06,13.85,14.34,13.75,13.83,412300,13.83
2016-01-05,14.18,14.35,13.98,14.21,287200,14.21
2016-01-04,14.20,14.40,13.90,14.14,436500,14.14
2015-12-31,14.94,15.23,14.21,14.37,502900,14.37
2015-12-30,14.42,15.22,14.42,14.96,464500,14.96
2015-12-29,14.85,15.00,14.12,14.63,238000,14.63
2015-12-28,15.11,15.20,14.76,14.85,172600,14.85
2015-12-24,15.15,15.34,15.07,15.26,60000,15.26
2015-12-23,15.37,15.60,15.01,15.22,164100,15.22
2015-12-22,14.72,15.12,14.46,15.08,194300,15.08
2015-12-21,14.45,14.89,14.24,14.76,308600,14.76
2015-12-18,14.62,14.62,13.97,14.18,876200,14.18
2015-12-17,14.86,14.91,14.51,14.60,231900,14.60
2015-12-16,15.38,15.43,14.75,14.94,282600,14.94
2015-12-15,15.32,15.47,14.97,15.44,348200,15.44
2015-12-14,14.98,15.33,14.82,15.13,320000,15.13
2015-12-11,15.28,15.35,14.89,14.93,263500,14.93
2015-12-10,15.45,15.77,15.31,15.65,277500,15.65
2015-12-09,15.35,15.81,15.35,15.47,232200,15.47
2015-12-08,15.23,15.69,15.15,15.27,245100,15.27
2015-12-07,16.030001,16.030001,15.36,15.52,277000,15.52
2015-12-04,16.32,16.379999,16.00,16.209999,190600,16.209999
2015-12-03,16.73,16.76,16.139999,16.370001,238400,16.370001
2015-12-02,16.73,16.93,16.530001,16.59,246800,16.59
2015-12-01,16.610001,16.91,16.469999,16.870001,262900,16.870001
