Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,23.559999,23.66,21.49,23.190001,106700,23.190001
2016-01-21,23.219999,23.459999,22.92,23.16,105500,23.16
2016-01-20,21.540001,23.32,20.98,23.08,158300,23.08
2016-01-19,22.219999,22.33,21.389999,21.799999,130700,21.799999
2016-01-15,21.719999,22.129999,21.18,22.07,104100,22.07
2016-01-14,22.309999,22.610001,21.950001,22.25,216300,22.25
2016-01-13,22.26,22.440001,21.83,22.120001,115900,22.120001
2016-01-12,22.200001,22.309999,21.50,22.15,98000,22.15
2016-01-11,22.00,22.959999,21.389999,21.82,169700,21.82
2016-01-08,23.110001,23.15,21.76,21.780001,126200,21.780001
2016-01-07,22.709999,23.540001,22.709999,23.17,121500,23.17
2016-01-06,23.27,23.93,23.27,23.35,139400,23.285001
2016-01-05,23.290001,23.99,23.01,23.68,105100,23.614082
2016-01-04,22.67,23.26,22.299999,23.18,121000,23.115474
2015-12-31,23.18,23.559999,22.82,23.200001,83100,23.135419
2015-12-30,24.040001,24.18,23.24,23.27,78700,23.205223
2015-12-29,24.07,24.440001,23.879999,24.030001,60200,23.963108
2015-12-28,24.50,24.50,23.74,24.07,116000,24.002996
2015-12-24,24.75,24.809999,23.809999,24.40,87200,24.332077
2015-12-23,24.200001,25.17,24.129999,24.82,162000,24.750908
2015-12-22,23.27,24.25,23.00,24.02,83100,23.953136
2015-12-21,23.42,23.549999,22.90,23.129999,155800,23.065612
2015-12-18,23.040001,23.51,22.92,23.299999,143300,23.235139
2015-12-17,23.459999,23.459999,22.83,23.209999,115100,23.145389
2015-12-16,22.98,23.540001,22.84,23.34,86400,23.275028
2015-12-15,23.00,23.309999,22.42,22.889999,159100,22.82628
2015-12-14,23.32,23.59,22.549999,22.870001,205900,22.806337
2015-12-11,22.73,24.43,22.73,23.379999,202300,23.314916
2015-12-10,22.26,22.940001,22.26,22.73,109200,22.666726
2015-12-09,21.93,22.92,21.93,22.459999,97500,22.397477
2015-12-08,22.290001,22.629999,21.469999,22.18,105200,22.118257
2015-12-07,22.32,22.84,21.77,22.57,147600,22.507171
2015-12-04,22.219999,22.74,22.10,22.40,125300,22.337644
2015-12-03,22.34,22.48,21.639999,22.129999,166500,22.068396
2015-12-02,22.07,22.73,21.309999,22.35,184900,22.287784
2015-12-01,20.00,21.92,19.60,21.780001,609800,21.719371
2015-11-30,20.530001,20.66,19.09,19.48,308600,19.425773
2015-11-27,19.85,20.110001,19.59,20.040001,177200,19.984215
2015-11-25,19.459999,20.280001,19.09,19.889999,164800,19.834631
2015-11-24,18.83,19.469999,18.299999,19.43,63800,19.375913
2015-11-23,19.23,19.35,18.90,19.00,145200,18.947109
2015-11-20,19.379999,19.90,19.00,19.23,172400,19.176469
2015-11-19,19.190001,19.389999,18.99,19.25,66400,19.196413
2015-11-18,18.84,19.780001,18.809999,19.299999,90200,19.246274
2015-11-17,18.120001,18.90,18.120001,18.84,174600,18.787555
2015-11-16,18.120001,18.60,17.90,18.49,94300,18.438529
2015-11-13,19.01,19.07,18.25,18.25,100600,18.199197
2015-11-12,19.120001,19.299999,17.360001,19.200001,203400,19.146553
2015-11-11,20.32,20.32,19.25,19.370001,56700,19.31608
2015-11-10,20.23,20.629999,19.780001,20.379999,98500,20.323267
2015-11-09,21.59,21.59,20.059999,20.209999,140900,20.15374
2015-11-06,22.139999,22.139999,21.16,21.790001,98000,21.729344
2015-11-05,22.16,22.67,21.84,22.25,34300,22.188062
2015-11-04,22.940001,22.940001,21.879999,22.27,105000,22.208007
2015-11-03,22.540001,23.459999,22.540001,23.09,41800,23.025724
2015-11-02,22.450001,22.75,22.00,22.629999,59400,22.567004
2015-10-30,22.48,22.85,22.16,22.469999,56300,22.407449
2015-10-29,22.870001,22.870001,22.25,22.540001,55900,22.477256
2015-10-28,22.23,23.50,22.190001,22.870001,101400,22.806337
2015-10-27,23.219999,23.34,22.26,22.389999,71600,22.327672
2015-10-26,22.889999,23.360001,22.74,23.280001,36800,23.215196
