Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,29.870001,30.17,29.40,29.98,260100,29.98
2016-01-21,30.42,30.75,29.700001,29.709999,163000,29.709999
2016-01-20,30.360001,30.84,29.66,30.459999,331100,30.459999
2016-01-19,30.629999,31.190001,30.110001,30.629999,291700,30.629999
2016-01-15,29.780001,30.469999,29.50,30.370001,246100,30.370001
2016-01-14,30.450001,31.969999,30.16,30.67,152100,30.67
2016-01-13,31.82,31.82,30.389999,30.48,225000,30.48
2016-01-12,31.540001,31.780001,31.139999,31.76,289400,31.76
2016-01-11,31.139999,31.52,30.66,31.26,207400,31.26
2016-01-08,31.950001,32.23,30.950001,31.02,255800,31.02
2016-01-07,32.139999,32.68,31.809999,31.809999,296100,31.809999
2016-01-06,32.470001,32.939999,32.470001,32.779999,181400,32.779999
2016-01-05,32.43,33.07,32.209999,32.91,195000,32.91
2016-01-04,32.919998,33.259998,32.009998,32.419998,295300,32.419998
2015-12-31,34.290001,34.639999,33.549999,33.580002,154800,33.580002
2015-12-30,34.830002,34.849998,34.330002,34.369999,82700,34.369999
2015-12-29,34.189999,34.880001,33.779999,34.779999,125500,34.779999
2015-12-28,34.02,34.279999,33.810001,34.209999,90500,34.209999
2015-12-24,33.759998,34.450001,33.759998,34.220001,51800,34.220001
2015-12-23,34.09,34.09,33.68,33.869999,101900,33.869999
2015-12-22,33.50,34.25,33.049999,33.869999,136300,33.869999
2015-12-21,33.540001,34.349998,33.049999,33.48,168500,33.48
2015-12-18,33.990002,34.09,33.16,33.169998,893500,33.169998
2015-12-17,35.02,35.189999,33.990002,33.990002,320700,33.990002
2015-12-16,34.82,35.040001,34.419998,34.950001,226200,34.950001
2015-12-15,34.360001,35.00,34.169998,34.580002,133200,34.580002
2015-12-14,33.130001,34.529999,33.00,34.080002,269800,34.080002
2015-12-11,33.32,33.84,33.060001,33.200001,208400,33.200001
2015-12-10,34.07,34.360001,33.880001,33.970001,145100,33.970001
2015-12-09,34.860001,35.09,34.150002,34.18,135300,34.18
2015-12-08,35.150002,35.48,34.77,34.939999,106300,34.939999
2015-12-07,35.580002,36.049999,35.18,35.369999,113800,35.369999
2015-12-04,35.09,35.740002,35.09,35.669998,112700,35.669998
2015-12-03,35.599998,35.73,35.009998,35.07,241700,35.07
2015-12-02,35.32,35.66,35.299999,35.52,218700,35.52
2015-12-01,34.18,35.299999,34.18,35.240002,263500,35.240002
2015-11-30,34.580002,34.799999,34.330002,34.509998,195800,34.509998
2015-11-27,34.32,34.630001,34.310001,34.560001,62600,34.560001
2015-11-25,34.799999,35.029999,34.119999,34.389999,114900,34.389999
2015-11-24,34.639999,34.889999,34.23,34.82,153800,34.82
2015-11-23,34.639999,35.009998,34.639999,34.73,186000,34.73
