Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,11.20,11.31,11.13,11.31,1800,11.31
2016-01-21,11.32,11.37,11.31,11.31,600,11.31
2016-01-20,11.40,11.40,11.30,11.34,5600,11.34
2016-01-19,11.48,11.50,11.36,11.46,1100,11.46
2016-01-15,11.54,11.59,11.31,11.32,5900,11.32
2016-01-14,11.25,11.61,11.25,11.59,15900,11.59
2016-01-13,11.33,11.41,11.28,11.41,14100,11.41
2016-01-12,11.67,11.75,11.36,11.40,2200,11.40
2016-01-11,11.60,11.60,11.60,11.60,100,11.60
2016-01-08,11.80,11.80,11.50,11.59,5400,11.59
2016-01-07,11.50,11.70,11.50,11.50,10000,11.50
2016-01-06,11.71,11.94,11.71,11.75,8500,11.75
2016-01-05,11.75,11.89,11.75,11.83,4200,11.83
2016-01-04,11.88,11.90,11.77,11.77,600,11.77
2015-12-31,11.81,11.90,11.64,11.88,4900,11.88
2015-12-30,11.62,11.90,11.62,11.90,4600,11.90
2015-12-29,11.74,11.77,11.55,11.55,2800,11.55
2015-12-28,11.47,11.49,11.30,11.32,1300,11.32
2015-12-24,11.37,11.37,11.37,11.37,000,11.37
2015-12-23,11.43,11.52,11.37,11.37,3800,11.37
2015-12-22,11.44,11.44,11.44,11.44,100,11.44
2015-12-21,11.42,11.45,11.30,11.44,7000,11.44
2015-12-18,11.34,11.38,11.30,11.38,6400,11.38
2015-12-17,11.35,11.35,11.30,11.30,4700,11.30
2015-12-16,11.40,11.40,11.03,11.30,12200,11.30
2015-12-15,11.35,11.35,11.35,11.35,000,11.35
2015-12-14,11.76,11.76,11.35,11.35,2200,11.35
2015-12-11,11.45,11.68,11.35,11.35,1300,11.35
2015-12-10,11.45,11.45,11.45,11.45,000,11.37
2015-12-09,11.48,11.48,11.45,11.45,3800,11.37
2015-12-08,11.56,11.57,11.45,11.45,3600,11.37
2015-12-07,11.68,11.69,11.58,11.58,5600,11.499091
2015-12-04,11.78,11.78,11.78,11.78,400,11.697694
2015-12-03,11.65,11.73,11.65,11.66,4200,11.578532
2015-12-02,11.71,11.78,11.71,11.77,3100,11.687764
2015-12-01,11.62,11.75,11.60,11.65,6600,11.568602
2015-11-30,11.60,11.73,11.60,11.73,700,11.648043
2015-11-27,11.62,11.62,11.62,11.62,000,11.538812
2015-11-25,11.60,11.62,11.60,11.62,1300,11.538812
2015-11-24,11.63,11.75,11.61,11.75,9600,11.667904
2015-11-23,11.67,11.74,11.67,11.69,1800,11.608323
2015-11-20,11.63,11.63,11.63,11.63,200,11.548742
