Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,5.35,5.45,5.25,5.34,56400,5.34
2016-01-21,5.47,5.61,5.04,5.25,50500,5.25
2016-01-20,5.18,5.44,4.59,5.34,76200,5.34
2016-01-19,5.69,5.69,5.26,5.29,49400,5.29
2016-01-15,5.54,5.57,5.36,5.54,24100,5.54
2016-01-14,5.28,5.91,5.14,5.62,42300,5.62
2016-01-13,5.85,5.92,5.34,5.39,37900,5.39
2016-01-12,6.05,6.05,5.66,5.80,53600,5.80
2016-01-11,6.15,6.41,5.87,5.96,44600,5.96
2016-01-08,6.01,6.29,6.01,6.10,19700,6.10
2016-01-07,6.24,6.24,5.99,6.08,20500,6.08
2016-01-06,6.23,6.25,6.10,6.18,12600,6.18
2016-01-05,6.08,6.34,6.08,6.21,22200,6.21
2016-01-04,6.16,6.59,5.91,6.10,32000,6.10
2015-12-31,6.32,6.33,6.01,6.16,45000,6.16
2015-12-30,6.28,6.38,6.14,6.28,40500,6.28
2015-12-29,6.03,6.30,5.92,6.12,75900,6.12
2015-12-28,6.20,6.34,5.95,6.05,37400,6.05
2015-12-24,6.40,6.40,6.20,6.28,12700,6.28
2015-12-23,6.41,6.50,6.27,6.40,12000,6.40
2015-12-22,6.46,6.55,6.30,6.33,34800,6.33
2015-12-21,6.28,6.65,6.08,6.38,48300,6.38
2015-12-18,6.51,6.70,6.24,6.33,55000,6.33
2015-12-17,6.35,6.56,6.35,6.53,17200,6.53
2015-12-16,6.02,6.47,6.02,6.30,20800,6.30
2015-12-15,6.16,6.40,5.98,6.30,46900,6.30
2015-12-14,5.90,6.26,5.78,6.07,90300,6.07
2015-12-11,6.13,6.23,6.04,6.09,41600,6.09
2015-12-10,6.09,6.40,6.02,6.22,31200,6.14
2015-12-09,5.95,6.21,5.95,6.13,30800,6.051158
2015-12-08,6.08,6.12,5.96,6.02,50000,5.942572
2015-12-07,5.94,6.02,5.79,6.02,33100,5.942572
2015-12-04,6.07,6.12,5.96,6.03,53300,5.952444
2015-12-03,6.04,6.15,5.92,6.01,32000,5.932701
2015-12-02,6.10,6.15,5.90,6.08,77000,6.001801
2015-12-01,6.23,6.36,6.02,6.13,71200,6.051158
2015-11-30,6.40,6.40,6.16,6.20,23600,6.120257
2015-11-27,6.32,6.47,6.32,6.40,8800,6.317685
2015-11-25,6.37,6.40,6.32,6.34,13100,6.258457
2015-11-24,6.35,6.40,6.30,6.32,43600,6.238714
2015-11-23,6.32,6.41,6.18,6.41,12400,6.327556
2015-11-20,6.20,6.40,6.20,6.32,19300,6.238714
2015-11-19,6.28,6.45,6.16,6.21,49800,6.130129
2015-11-18,6.10,6.28,6.03,6.21,75500,6.130129
2015-11-17,6.36,6.42,6.00,6.24,22600,6.159743
2015-11-16,6.47,6.48,5.99,6.31,27600,6.228842
2015-11-13,6.18,6.49,6.00,6.37,109700,6.288071
2015-11-12,6.01,6.49,6.00,6.21,36100,6.130129
2015-11-11,6.00,6.33,5.98,6.16,35400,6.080772
2015-11-10,5.00,5.85,4.50,5.77,79000,5.695788
2015-11-09,5.78,5.83,5.75,5.80,43300,5.725402
2015-11-06,5.93,5.96,5.81,5.84,14500,5.764888
2015-11-05,5.90,5.99,5.85,5.96,9800,5.883344
2015-11-04,5.99,6.00,5.85,5.95,67300,5.873473
2015-11-03,6.10,6.17,5.97,5.99,24500,5.912958
2015-11-02,5.93,6.14,5.92,6.06,34600,5.982058
2015-10-30,6.02,6.46,5.84,5.93,65600,5.85373
2015-10-29,6.11,6.11,5.93,6.06,26700,5.982058
2015-10-28,6.00,6.20,6.00,6.09,32000,6.011672
2015-10-27,6.28,6.28,6.00,6.00,42200,5.92283
2015-10-26,6.33,6.37,6.00,6.20,52800,6.120257
2015-10-23,6.54,6.54,6.29,6.31,33900,6.228842
2015-10-22,6.41,6.72,6.22,6.55,33400,6.465756
2015-10-21,6.56,6.57,6.35,6.44,28700,6.357171
