Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,12.93,12.93,12.86,12.88,3600,12.88
2016-01-21,12.96,13.00,12.72,12.94,7200,12.94
2016-01-20,12.92,13.04,12.13,12.86,13300,12.86
2016-01-19,12.90,13.10,12.65,12.91,8200,12.91
2016-01-15,13.09,13.15,12.68,12.69,11500,12.69
2016-01-14,13.04,13.19,13.01,13.17,6100,13.17
2016-01-13,13.16,13.19,13.00,13.05,11700,13.05
2016-01-12,13.09,13.20,12.96,13.18,19000,13.18
2016-01-11,13.14,13.19,12.96,13.19,9200,13.19
2016-01-08,13.09,13.15,13.02,13.02,11100,13.02
2016-01-07,13.10,13.23,13.03,13.23,11600,13.23
2016-01-06,13.26,13.29,13.03,13.22,6200,13.22
2016-01-05,13.18,13.40,12.95,13.34,18700,13.34
2016-01-04,13.14,13.23,12.98,13.21,26500,13.21
2015-12-31,13.00,13.36,12.90,13.06,7800,13.06
2015-12-30,13.30,13.33,12.22,13.14,12500,13.14
2015-12-29,13.17,13.34,12.99,13.21,125700,13.21
2015-12-28,12.56,13.30,12.56,12.95,14900,12.95
2015-12-24,12.26,12.69,12.24,12.69,1300,12.69
2015-12-23,12.90,12.95,12.12,12.91,10000,12.91
2015-12-22,12.61,12.95,12.17,12.95,10000,12.95
2015-12-21,12.45,12.88,12.45,12.74,5600,12.74
2015-12-18,12.84,12.84,12.12,12.55,226100,12.55
2015-12-17,12.90,13.10,12.41,12.69,32900,12.69
2015-12-16,12.59,13.54,12.50,12.88,26400,12.88
2015-12-15,13.07,13.20,12.64,12.67,16400,12.67
2015-12-14,12.90,13.08,12.85,12.99,14500,12.99
2015-12-11,12.91,13.05,12.86,12.89,24100,12.89
2015-12-10,12.99,13.03,12.97,12.98,14200,12.98
2015-12-09,12.85,13.11,12.85,13.00,15800,13.00
2015-12-08,12.96,13.02,12.87,13.00,34000,13.00
2015-12-07,12.30,13.27,12.25,12.88,68300,12.88
2015-12-04,12.17,12.35,12.16,12.30,64000,12.30
2015-12-03,12.15,12.21,12.15,12.21,5700,12.21
2015-12-02,12.11,12.17,12.11,12.15,2900,12.15
2015-12-01,12.25,12.25,12.08,12.18,7400,12.18
2015-11-30,12.11,12.44,12.11,12.35,10200,12.35
2015-11-27,12.00,12.26,12.00,12.26,3200,12.26
2015-11-25,11.99,12.10,11.98,12.05,2800,12.05
2015-11-24,11.93,12.00,11.93,12.00,2800,12.00
2015-11-23,11.92,12.00,11.92,11.94,5700,11.94
2015-11-20,11.87,11.99,11.73,11.89,8200,11.89
2015-11-19,11.87,11.87,11.74,11.80,3100,11.80
2015-11-18,11.72,11.88,11.72,11.74,5600,11.74
2015-11-17,11.69,11.84,11.51,11.78,16600,11.78
2015-11-16,11.61,11.88,11.60,11.68,27900,11.68
2015-11-13,11.70,11.70,11.60,11.63,8700,11.63
2015-11-12,11.52,11.62,11.52,11.62,1100,11.62
2015-11-11,11.53,11.73,11.53,11.65,3300,11.65
2015-11-10,11.40,11.63,11.40,11.50,90600,11.50
2015-11-09,11.45,11.45,11.41,11.44,16700,11.44
2015-11-06,11.36,11.48,11.36,11.43,6300,11.43
2015-11-05,11.36,11.50,11.34,11.45,8100,11.45
2015-11-04,11.45,11.51,11.43,11.45,8300,11.169999
2015-11-03,11.47,11.47,11.40,11.44,14800,11.160244
2015-11-02,11.42,11.50,11.40,11.45,18000,11.169999
2015-10-30,11.45,11.46,11.40,11.40,7100,11.121222
2015-10-29,11.45,11.45,11.40,11.42,3900,11.140733
2015-10-28,11.45,11.50,11.40,11.50,11700,11.218777
2015-10-27,11.45,11.45,11.36,11.36,7700,11.0822
2015-10-26,11.45,11.46,11.40,11.43,1700,11.150489
2015-10-23,11.24,11.55,11.24,11.28,8800,11.004157
2015-10-22,11.45,11.45,11.39,11.45,12900,11.169999
2015-10-21,11.51,11.51,11.33,11.44,4900,11.160244
2015-10-20,11.54,11.56,11.29,11.56,3000,11.27731
2015-10-19,11.55,11.58,11.48,11.48,2900,11.199266
2015-10-16,11.63,11.63,11.50,11.63,7900,11.345598
2015-10-15,11.50,11.63,11.50,11.60,9200,11.316332
2015-10-14,11.51,11.51,11.42,11.42,3700,11.140733
2015-10-13,11.23,11.49,11.19,11.46,7100,11.179755
2015-10-12,11.40,11.48,11.20,11.47,26200,11.189511
2015-10-09,11.26,11.51,11.17,11.29,7300,11.013912
2015-10-08,11.21,11.47,11.21,11.40,7400,11.121222
2015-10-07,11.60,11.61,11.30,11.42,13200,11.140733
2015-10-06,11.31,11.56,11.14,11.52,24200,11.238288
2015-10-05,11.55,11.55,11.17,11.54,25900,11.257799
2015-10-02,11.37,11.62,11.30,11.55,11400,11.267554
2015-10-01,11.32,11.78,11.32,11.36,17700,11.0822
2015-09-30,11.27,11.32,11.12,11.29,11200,11.013912
2015-09-29,10.98,11.18,10.98,11.18,7900,10.906603
2015-09-28,11.17,11.34,10.99,11.05,19000,10.779782
2015-09-25,11.19,11.43,11.17,11.20,19600,10.926113
2015-09-24,11.53,11.53,11.19,11.30,10700,11.023668
2015-09-23,11.36,11.58,11.30,11.44,10400,11.160244
2015-09-22,11.78,11.78,11.35,11.35,43100,11.072445
2015-09-21,11.74,11.75,11.41,11.41,3600,11.130978
2015-09-18,11.46,11.75,11.45,11.73,28700,11.443152
2015-09-17,11.41,11.53,11.40,11.46,6600,11.179755
2015-09-16,11.43,11.44,11.40,11.40,4100,11.121222
2015-09-15,11.42,11.48,11.42,11.48,6200,11.199266
2015-09-14,11.42,11.51,11.40,11.49,7700,11.209021
2015-09-11,11.44,11.57,11.41,11.57,19600,11.287065
2015-09-10,11.54,11.58,11.40,11.47,4300,11.189511
2015-09-09,11.55,11.55,11.41,11.42,4600,11.140733
2015-09-08,11.59,11.59,11.36,11.45,951800,11.169999
2015-09-04,11.47,11.48,11.34,11.47,7300,11.189511
2015-09-03,11.40,11.46,11.26,11.46,2200,11.179755
2015-09-02,11.27,11.53,11.27,11.42,8500,11.140733
2015-09-01,11.15,11.43,11.15,11.43,37600,11.150489
2015-08-31,11.40,11.40,11.35,11.40,8300,11.121222
2015-08-28,11.26,11.58,11.26,11.43,3200,11.150489
2015-08-27,11.25,11.40,11.20,11.28,58700,11.004157
2015-08-26,11.32,11.32,11.09,11.13,10900,10.857825
2015-08-25,11.35,11.36,11.15,11.36,39300,11.0822
2015-08-24,11.43,11.43,11.40,11.40,8800,11.121222
2015-08-21,11.43,11.48,11.43,11.48,1800,11.199266
2015-08-20,11.37,11.47,11.37,11.40,4900,11.121222
2015-08-19,11.50,11.51,11.48,11.50,4000,11.218777
2015-08-18,11.48,11.57,11.48,11.57,1700,11.287065
2015-08-17,11.25,11.57,11.25,11.39,2200,11.111467
2015-08-14,11.60,11.61,11.26,11.49,3900,11.209021
2015-08-13,11.60,11.60,11.50,11.59,1300,11.306576
2015-08-12,11.26,11.50,11.26,11.50,9400,11.218777
2015-08-11,11.56,11.56,11.36,11.36,9000,11.0822
2015-08-10,11.50,11.68,11.50,11.55,3600,11.267554
2015-08-07,11.54,11.68,11.45,11.64,3400,11.355354
2015-08-06,11.42,11.68,11.37,11.62,7500,11.335842
2015-08-05,11.67,11.68,11.32,11.43,12400,11.072446
2015-08-04,11.47,11.69,11.38,11.53,4800,11.169317
2015-08-03,11.51,11.65,11.50,11.53,7000,11.169317
2015-07-31,11.56,11.62,11.50,11.52,31200,11.15963
2015-07-30,11.54,11.59,11.44,11.59,2600,11.22744
2015-07-29,11.44,11.63,11.43,11.46,64200,11.101507
2015-07-28,11.39,11.50,11.39,11.41,14800,11.053071
2015-07-27,11.46,11.69,11.39,11.45,39400,11.091819
2015-07-24,11.42,11.44,11.41,11.41,1100,11.053071
2015-07-23,11.45,11.75,11.42,11.60,6800,11.237128
2015-07-22,11.45,11.50,11.45,11.50,11100,11.140256
2015-07-21,11.74,11.84,11.52,11.59,10000,11.22744
2015-07-20,11.58,12.00,11.48,11.90,1300,11.527742
2015-07-17,11.45,11.49,11.45,11.49,500,11.130568
2015-07-16,11.61,11.89,11.35,11.42,10200,11.062758
2015-07-15,11.53,11.60,11.53,11.60,5600,11.237128
2015-07-14,11.32,11.50,11.30,11.50,23400,11.140256
2015-07-13,11.25,11.43,11.25,11.33,12800,10.975573
2015-07-10,11.56,11.56,11.30,11.30,8600,10.946512
2015-07-09,11.27,11.35,11.25,11.25,18600,10.898076
2015-07-08,11.43,11.46,11.24,11.24,7800,10.888389
2015-07-07,11.48,11.52,11.41,11.52,1000,11.15963
2015-07-06,11.52,11.52,11.52,11.52,300,11.15963
2015-07-02,11.38,11.38,11.28,11.30,22500,10.946512
2015-07-01,11.25,11.39,11.24,11.24,1300,10.888389
2015-06-30,11.43,11.43,11.08,11.08,4800,10.733394
2015-06-29,11.44,11.44,11.03,11.33,7100,10.975573
2015-06-26,11.48,11.54,11.47,11.50,3100,11.140256
2015-06-25,11.51,11.98,11.42,11.51,6800,11.149943
2015-06-24,11.51,11.56,11.49,11.53,14700,11.169317
2015-06-23,11.66,11.81,11.61,11.61,5100,11.246814
2015-06-22,11.50,11.61,11.48,11.61,7700,11.246814
2015-06-19,11.43,11.63,11.43,11.45,4300,11.091819
2015-06-18,11.55,11.55,11.43,11.43,20100,11.072446
2015-06-17,11.60,11.62,11.55,11.55,2400,11.188692
2015-06-16,11.61,11.62,11.61,11.62,2600,11.256502
2015-06-15,11.78,11.78,11.54,11.65,1600,11.285563
2015-06-12,11.75,11.75,11.74,11.74,800,11.372748
2015-06-11,11.78,11.78,11.61,11.61,900,11.246814
2015-06-10,11.74,11.79,11.74,11.75,900,11.382435
2015-06-09,11.70,11.71,11.58,11.58,1700,11.217753
2015-06-08,11.59,11.69,11.50,11.69,1600,11.324312
2015-06-05,11.60,11.63,11.44,11.63,1400,11.266189
2015-06-04,11.58,11.72,11.46,11.72,10500,11.353374
2015-06-03,11.66,11.66,11.61,11.61,3200,11.246814
2015-06-02,11.78,11.78,11.56,11.56,4900,11.198379
2015-06-01,11.90,11.90,11.80,11.80,5100,11.430871
2015-05-29,11.92,11.92,11.62,11.76,10600,11.392122
2015-05-28,12.20,12.20,11.66,11.79,29200,11.421184
2015-05-27,11.91,12.20,11.91,12.11,4100,11.731173
2015-05-26,11.94,11.94,11.79,11.79,600,11.421184
2015-05-22,12.07,12.07,11.80,12.04,4200,11.663363
2015-05-21,11.88,11.88,11.88,11.88,000,11.508368
2015-05-20,11.96,11.98,11.88,11.88,1300,11.508368
2015-05-19,11.97,12.00,11.85,11.93,52100,11.556805
2015-05-18,12.08,12.10,11.86,12.00,2400,11.624614
2015-05-15,11.79,12.12,11.79,12.12,2100,11.740861
2015-05-14,11.95,12.00,11.76,11.94,11400,11.566491
2015-05-13,12.14,12.14,11.84,12.00,4600,11.624614
2015-05-12,12.00,12.00,11.88,11.96,6700,11.585866
2015-05-11,11.90,11.97,11.90,11.94,4400,11.566491
2015-05-08,11.84,11.84,11.67,11.79,3100,11.421184
2015-05-07,11.68,11.96,11.67,11.94,2200,11.566491
2015-05-06,11.96,11.96,11.86,11.90,3700,11.450245
2015-05-05,11.56,11.94,11.56,11.94,1200,11.488733
2015-05-04,11.84,11.95,11.84,11.95,1800,11.498355
2015-05-01,11.75,11.77,11.53,11.77,13900,11.325159
2015-04-30,11.81,12.00,11.40,11.51,8900,11.074985
2015-04-29,11.65,11.89,11.45,11.85,35400,11.402135
2015-04-28,11.65,11.65,11.35,11.46,23500,11.026875
2015-04-27,11.95,11.95,11.69,11.69,6500,11.248182
2015-04-24,11.97,11.97,11.80,11.94,9000,11.488733
2015-04-23,12.03,12.03,11.80,11.82,6600,11.373268
2015-04-22,11.86,12.00,11.86,11.90,1800,11.450245
2015-04-21,12.00,12.00,11.92,11.92,1700,11.469489
