Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,20.01,23.988001,20.01,23.969999,189800,23.969999
2016-01-21,19.82,19.959999,19.370001,19.860001,24400,19.860001
2016-01-20,20.43,20.51,18.610001,19.84,59800,19.84
2016-01-19,20.82,20.90,20.40,20.58,55300,20.58
2016-01-15,19.969999,20.90,18.530001,20.870001,48600,20.870001
2016-01-14,20.82,20.969999,20.219999,20.459999,34300,20.459999
2016-01-13,20.780001,20.969999,20.549999,20.879999,30300,20.879999
2016-01-12,21.09,21.09,20.110001,20.889999,35700,20.889999
2016-01-11,19.76,21.00,19.76,20.620001,33900,20.620001
2016-01-08,20.190001,20.83,19.91,20.01,24000,20.01
2016-01-07,20.809999,21.674999,20.120001,20.23,28000,20.23
2016-01-06,21.00,21.76,20.969999,20.969999,37300,20.969999
2016-01-05,20.809999,21.120001,19.92,20.99,43900,20.99
2016-01-04,20.309999,20.73,19.950001,20.68,44700,20.68
2015-12-31,20.610001,21.555,20.50,20.719999,31700,20.719999
2015-12-30,21.73,22.290001,20.49,20.629999,42200,20.629999
2015-12-29,21.280001,22.532,21.280001,21.58,74500,21.58
2015-12-28,20.209999,22.00,20.209999,21.34,116800,21.34
2015-12-24,19.23,20.00,19.16,19.969999,26300,19.969999
2015-12-23,19.25,19.77,19.120001,19.73,101100,19.73
2015-12-22,18.57,19.52,18.360001,19.41,35100,19.41
2015-12-21,18.799999,18.799999,17.99,18.42,60500,18.42
2015-12-18,18.35,18.440001,17.709999,18.41,53800,18.41
2015-12-17,18.73,18.764999,18.200001,18.440001,40400,18.440001
2015-12-16,19.450001,19.528,18.559999,18.82,38000,18.82
2015-12-15,18.549999,19.440001,18.549999,19.41,38900,19.41
2015-12-14,18.209999,18.67,18.200001,18.49,43100,18.49
2015-12-11,18.67,18.92,18.219999,18.299999,33000,18.299999
2015-12-10,18.68,18.809999,18.57,18.799999,20100,18.799999
2015-12-09,18.33,18.67,18.23,18.65,15300,18.65
2015-12-08,18.48,18.639999,17.950001,18.32,26500,18.32
2015-12-07,18.51,18.77,18.17,18.540001,46000,18.540001
2015-12-04,18.18,18.440001,18.049999,18.360001,18300,18.360001
2015-12-03,18.219999,18.459999,17.82,18.18,21100,18.18
2015-12-02,18.00,18.50,17.66,18.280001,28700,18.280001
2015-12-01,17.48,18.459999,17.049999,18.10,112500,18.10
2015-11-30,19.219999,19.955,17.83,18.059999,92700,18.059999
2015-11-27,18.540001,18.889999,18.225,18.870001,32400,18.870001
2015-11-25,18.85,18.860001,18.049999,18.43,44500,18.43
2015-11-24,18.889999,19.25,18.42,19.07,52300,18.706999
2015-11-23,18.370001,18.99,18.27,18.76,109400,18.402901
2015-11-20,18.200001,18.34,18.15,18.27,33700,17.922228
2015-11-19,18.049999,18.15,17.83,18.139999,38200,17.794702
2015-11-18,17.790001,18.00,17.700001,18.00,26000,17.657367
2015-11-17,17.879999,17.879999,17.59,17.68,20200,17.343459
2015-11-16,17.40,17.84,17.24,17.799999,37300,17.461173
2015-11-13,17.23,17.77,16.90,17.67,42000,17.333649
2015-11-12,17.700001,17.700001,17.00,17.299999,28500,16.970691
2015-11-11,17.514,17.559999,17.16,17.16,22500,16.833356
2015-11-10,17.219999,17.60,17.08,17.42,26300,17.088408
2015-11-09,17.17,17.309999,17.059999,17.16,13200,16.833356
2015-11-06,16.73,17.23,16.67,17.200001,17700,16.872596
2015-11-05,17.51,17.60,16.74,16.860001,23900,16.539068
2015-11-04,17.50,17.50,17.08,17.309999,18800,16.980501
2015-11-03,17.299999,17.50,17.110001,17.139999,25800,16.813737
2015-11-02,16.940001,17.40,16.790001,17.09,36400,16.764689
2015-10-30,17.08,17.291,16.629999,16.959999,34200,16.637163
2015-10-29,16.625,17.15,16.59,16.92,22000,16.597925
2015-10-28,16.540001,17.10,16.540001,17.10,19900,16.774499
2015-10-27,16.16,16.84,16.16,16.59,22300,16.274207
