Date,Open,High,Low,Close,Volume,Adj Close
2015-12-22,3.53,3.58,3.53,3.56,75500,3.56
2015-12-21,3.53,3.53,3.53,3.53,10900,3.53
2015-12-18,3.54,3.57,3.53,3.56,37100,3.56
2015-12-17,3.51,3.54,3.51,3.54,14300,3.54
2015-12-16,3.51,3.54,3.51,3.52,12100,3.52
2015-12-15,3.50,3.54,3.50,3.51,85800,3.51
2015-12-14,3.50,3.55,3.50,3.50,6900,3.50
2015-12-11,3.50,3.51,3.49,3.50,39800,3.50
2015-12-10,3.50,3.51,3.49,3.50,39700,3.50
2015-12-09,3.50,3.52,3.50,3.52,4500,3.52
2015-12-08,3.49,3.49,3.49,3.49,100,3.49
2015-12-07,3.50,3.51,3.49,3.50,19800,3.50
2015-12-04,3.48,3.50,3.48,3.50,1500,3.50
2015-12-03,3.56,3.56,3.47,3.48,10000,3.48
2015-12-02,3.45,3.50,3.45,3.50,3400,3.50
2015-12-01,3.42,3.55,3.42,3.55,900,3.55
2015-11-30,3.49,3.51,3.26,3.51,44200,3.51
2015-11-27,3.54,3.54,3.53,3.53,500,3.53
2015-11-25,3.49,3.54,3.49,3.54,1000,3.54
2015-11-24,3.50,3.50,3.49,3.50,41200,3.50
2015-11-23,3.55,3.55,3.50,3.50,700,3.50
2015-11-20,3.51,3.52,3.50,3.50,30400,3.50
2015-11-19,3.56,3.56,3.51,3.51,500,3.51
2015-11-18,3.51,3.54,3.51,3.51,25900,3.51
2015-11-17,3.51,3.54,3.51,3.52,6000,3.52
2015-11-16,3.10,3.52,3.04,3.49,33600,3.49
2015-11-13,3.40,3.51,3.38,3.51,2300,3.51
2015-11-12,3.55,3.55,3.32,3.53,119000,3.53
2015-11-11,3.57,3.60,3.49,3.53,2800,3.53
2015-11-10,3.50,3.50,3.47,3.49,28800,3.49
2015-11-09,3.51,3.52,3.49,3.50,73800,3.50
2015-11-06,3.50,3.50,3.48,3.49,5800,3.49
2015-11-05,3.57,3.57,3.48,3.49,9800,3.49
2015-11-04,3.49,3.49,3.48,3.49,25900,3.49
2015-11-03,3.49,3.51,3.49,3.50,23600,3.50
2015-11-02,3.48,3.51,3.48,3.49,21500,3.49
2015-10-30,3.52,3.54,3.48,3.53,70900,3.53
2015-10-29,3.52,3.53,3.52,3.53,17800,3.53
2015-10-28,3.52,3.55,3.52,3.52,141400,3.52
2015-10-27,3.57,3.57,3.51,3.52,5400,3.52
2015-10-26,3.51,3.85,3.51,3.52,90400,3.52
2015-10-23,3.51,3.52,3.51,3.51,127100,3.51
2015-10-22,3.47,3.54,3.47,3.52,587100,3.52
2015-10-21,2.55,2.55,2.55,2.55,200,2.55
2015-10-20,2.57,2.57,2.56,2.56,600,2.56
2015-10-19,2.71,2.71,2.55,2.68,3000,2.68
2015-10-16,2.66,2.67,2.57,2.67,1500,2.67
2015-10-15,2.68,2.70,2.64,2.64,2500,2.64
2015-10-14,2.55,2.55,2.55,2.55,000,2.55
2015-10-13,2.71,2.71,2.32,2.55,9200,2.55
2015-10-12,2.40,2.63,2.40,2.60,5800,2.60
2015-10-09,2.60,2.60,2.40,2.40,900,2.40
2015-10-08,2.61,2.61,2.52,2.52,800,2.52
2015-10-07,2.63,2.73,2.50,2.52,5700,2.52
2015-10-06,2.78,2.78,2.30,2.70,8000,2.70
2015-10-05,2.45,2.57,2.33,2.33,3300,2.33
2015-10-02,2.24,2.69,2.24,2.55,3300,2.55
2015-10-01,2.47,2.63,2.44,2.54,4300,2.54
2015-09-30,2.78,2.78,2.59,2.66,700,2.66
2015-09-29,2.36,2.50,2.34,2.50,1200,2.50
2015-09-28,2.50,2.50,2.28,2.34,2400,2.34
2015-09-25,2.62,2.62,2.49,2.62,3300,2.62
2015-09-24,2.53,2.53,2.50,2.50,1500,2.50
2015-09-23,2.70,2.75,2.50,2.52,6300,2.52
2015-09-22,2.60,2.80,2.53,2.80,8300,2.80
2015-09-21,2.72,2.72,2.44,2.47,5000,2.47
2015-09-18,2.84,2.90,2.40,2.40,18400,2.40
2015-09-17,2.70,2.89,2.70,2.80,15200,2.80
2015-09-16,2.68,2.85,2.68,2.78,11000,2.78
2015-09-15,2.72,2.75,2.65,2.75,13000,2.735
2015-09-14,2.63,2.90,2.58,2.70,24800,2.685273
2015-09-11,2.45,2.65,2.37,2.65,13000,2.635546
2015-09-10,2.40,2.45,2.40,2.45,7500,2.436636
2015-09-09,2.35,2.45,2.35,2.45,11700,2.436636
2015-09-08,2.45,2.45,2.42,2.44,3800,2.426691
2015-09-04,2.45,2.46,2.40,2.40,2000,2.386909
2015-09-03,2.45,2.45,2.45,2.45,6700,2.436636
2015-09-02,2.46,2.46,2.45,2.45,17600,2.436636
2015-09-01,2.46,2.46,2.42,2.45,3000,2.436636
2015-08-31,2.40,2.40,2.37,2.40,900,2.386909
2015-08-28,2.45,2.46,2.37,2.37,5800,2.357073
2015-08-27,2.49,2.49,2.27,2.48,3300,2.466473
2015-08-26,2.49,2.50,2.44,2.47,8500,2.456527
2015-08-25,2.42,2.50,2.39,2.39,6300,2.376964
2015-08-24,2.50,2.53,2.20,2.38,11500,2.367018
2015-08-21,2.34,2.50,2.34,2.48,1500,2.466473
2015-08-20,2.47,2.50,2.34,2.36,15900,2.347127
2015-08-19,2.40,2.57,2.34,2.47,26900,2.456527
2015-08-18,2.21,2.40,2.21,2.34,11900,2.327236
2015-08-17,2.17,2.21,2.14,2.17,6600,2.158164
2015-08-14,1.85,2.12,1.85,2.12,6600,2.108436
2015-08-13,1.98,1.98,1.98,1.98,000,1.9692
2015-08-12,2.00,2.05,1.98,1.98,2200,1.9692
2015-08-11,2.02,2.02,2.02,2.02,000,2.008982
2015-08-10,2.05,2.05,2.02,2.02,2000,2.008982
2015-08-07,2.01,2.05,2.00,2.02,13200,2.008982
2015-08-06,1.90,1.90,1.90,1.90,000,1.889636
2015-08-05,1.86,1.90,1.86,1.90,1100,1.889636
2015-08-04,1.85,1.90,1.63,1.90,2700,1.889636
2015-08-03,1.89,1.95,1.87,1.95,6600,1.939364
2015-07-31,2.00,2.05,1.98,1.98,1200,1.9692
2015-07-30,2.05,2.05,1.97,1.97,400,1.959255
2015-07-29,1.84,2.04,1.84,1.97,1300,1.959255
2015-07-28,1.94,2.04,1.93,1.94,10800,1.929418
2015-07-27,1.75,2.01,1.75,1.94,6200,1.929418
2015-07-24,1.67,2.00,1.67,1.78,1500,1.770291
2015-07-23,1.45,1.67,1.44,1.67,5500,1.660891
2015-07-22,1.63,1.65,1.60,1.60,3000,1.591273
2015-07-21,1.57,1.63,1.57,1.63,2500,1.621109
2015-07-20,1.43,1.43,1.43,1.43,600,1.4222
2015-07-17,1.42,1.61,1.42,1.61,8200,1.601218
2015-07-16,1.43,1.57,1.43,1.57,1300,1.561436
2015-07-15,1.51,1.51,1.51,1.51,000,1.501764
2015-07-14,1.61,1.61,1.51,1.51,2900,1.501764
2015-07-13,1.61,1.61,1.61,1.61,000,1.601218
2015-07-10,1.61,1.61,1.61,1.61,600,1.601218
2015-07-09,1.60,1.61,1.60,1.60,6300,1.591273
2015-07-08,1.55,1.60,1.50,1.50,1400,1.491818
2015-07-07,1.61,1.61,1.61,1.61,000,1.601218
2015-07-06,1.68,1.68,1.59,1.61,15900,1.601218
2015-07-02,1.74,1.74,1.74,1.74,000,1.730509
2015-07-01,1.74,1.74,1.74,1.74,300,1.730509
2015-06-30,1.75,1.75,1.75,1.75,700,1.740455
2015-06-29,2.25,2.25,1.68,1.70,8600,1.690727
2015-06-26,1.81,1.81,1.81,1.81,000,1.800127
2015-06-25,1.76,1.82,1.58,1.81,9500,1.800127
2015-06-24,1.63,1.78,1.63,1.75,2100,1.740455
2015-06-23,1.76,1.78,1.74,1.74,1600,1.730509
2015-06-22,1.78,1.78,1.78,1.78,000,1.770291
2015-06-19,1.60,1.78,1.58,1.78,1200,1.770291
2015-06-18,1.63,1.76,1.61,1.76,600,1.7504
2015-06-17,1.80,1.80,1.80,1.80,300,1.790182
2015-06-16,1.80,1.80,1.80,1.80,100,1.775264
2015-06-15,1.74,1.80,1.52,1.67,3800,1.64705
2015-06-12,1.53,1.56,1.53,1.56,200,1.538562
2015-06-11,1.63,1.63,1.63,1.63,300,1.6076
2015-06-10,1.62,1.62,1.62,1.62,000,1.597737
2015-06-09,1.72,1.85,1.59,1.62,30800,1.597737
2015-06-08,1.68,1.69,1.68,1.69,2200,1.666775
2015-06-05,1.65,1.65,1.65,1.65,000,1.627325
2015-06-04,1.58,1.65,1.58,1.65,1800,1.627325
2015-06-03,1.61,1.65,1.61,1.64,300,1.617462
2015-06-02,1.65,1.71,1.59,1.71,1600,1.6865
2015-06-01,1.57,1.68,1.57,1.68,2200,1.656913
2015-05-29,1.63,1.71,1.57,1.57,2900,1.548424
2015-05-28,1.65,1.68,1.62,1.62,2700,1.597737
2015-05-27,1.72,1.72,1.72,1.72,200,1.696363
2015-05-26,1.73,1.73,1.73,1.73,100,1.706226
2015-05-22,1.73,1.73,1.73,1.73,000,1.706226
2015-05-21,1.73,1.75,1.73,1.73,2500,1.706226
2015-05-20,1.73,1.73,1.73,1.73,000,1.706226
2015-05-19,1.73,1.73,1.73,1.73,000,1.706226
2015-05-18,1.73,1.73,1.73,1.73,300,1.706226
