Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,13.66,13.66,13.66,13.66,000,13.66
2016-01-21,13.80,13.80,13.66,13.66,1200,13.66
2016-01-20,13.63,13.80,13.60,13.80,3500,13.80
2016-01-19,13.78,13.88,13.78,13.88,4800,13.88
2016-01-15,13.80,13.80,13.50,13.60,3100,13.60
2016-01-14,13.68,13.75,13.60,13.73,5100,13.73
2016-01-13,13.68,13.68,13.68,13.68,700,13.68
2016-01-12,13.82,13.82,13.68,13.68,1800,13.68
2016-01-11,13.79,13.94,13.73,13.73,1400,13.73
2016-01-08,13.78,13.79,13.78,13.79,200,13.79
2016-01-07,13.57,13.84,13.57,13.84,3600,13.84
2016-01-06,13.93,13.93,13.67,13.93,4200,13.93
2016-01-05,13.82,13.94,13.82,13.94,8600,13.94
2016-01-04,13.57,13.86,13.57,13.85,8500,13.85
2015-12-31,13.77,13.77,13.76,13.76,400,13.76
2015-12-30,13.85,13.85,13.85,13.85,700,13.85
2015-12-29,13.65,13.79,13.65,13.65,13100,13.65
2015-12-28,13.60,13.70,13.57,13.58,2600,13.58
2015-12-24,13.60,13.60,13.60,13.60,200,13.60
2015-12-23,13.52,13.70,13.52,13.70,1200,13.70
2015-12-22,13.86,13.86,13.55,13.55,4300,13.55
2015-12-21,13.65,13.86,13.65,13.79,11900,13.79
2015-12-18,13.68,13.98,13.52,13.98,3400,13.98
2015-12-17,13.53,13.62,13.40,13.60,8400,13.60
2015-12-16,13.64,13.64,13.64,13.64,400,13.64
2015-12-15,13.52,13.52,13.52,13.52,000,13.52
2015-12-14,13.55,13.55,13.50,13.52,6200,13.52
2015-12-11,13.67,13.67,13.50,13.51,1700,13.51
2015-12-10,13.55,13.79,13.25,13.50,10500,13.50
2015-12-09,13.53,13.56,13.53,13.56,2400,13.56
2015-12-08,13.54,13.54,13.50,13.53,2000,13.53
2015-12-07,13.44,13.44,13.44,13.44,1000,13.44
2015-12-04,13.53,13.53,13.50,13.53,2100,13.53
2015-12-03,13.49,13.50,13.32,13.35,3600,13.35
2015-12-02,13.60,13.60,13.60,13.60,000,13.60
2015-12-01,13.31,13.60,13.31,13.60,900,13.60
2015-11-30,13.62,13.74,13.60,13.60,6900,13.60
2015-11-27,13.65,13.65,13.61,13.61,600,13.61
2015-11-25,13.63,13.63,13.63,13.63,400,13.63
2015-11-24,13.55,13.55,13.55,13.55,200,13.55
2015-11-23,13.55,13.55,13.55,13.55,100,13.55
2015-11-20,13.68,13.69,13.45,13.63,2000,13.63
2015-11-19,13.34,13.78,13.33,13.78,600,13.78
2015-11-18,13.24,13.36,13.14,13.15,3900,13.15
2015-11-17,13.58,13.58,13.24,13.24,1200,13.24
2015-11-16,13.87,13.87,13.13,13.21,7200,13.21
2015-11-13,13.88,13.88,13.88,13.88,1100,13.88
2015-11-12,13.75,13.75,13.75,13.75,2100,13.63
2015-11-11,13.75,13.75,13.46,13.75,5400,13.63
2015-11-10,13.41,13.41,13.41,13.41,400,13.292967
2015-11-09,13.90,13.90,13.90,13.90,000,13.778691
2015-11-06,13.45,13.90,13.45,13.90,900,13.778691
2015-11-05,13.63,13.63,13.60,13.60,500,13.48131
2015-11-04,13.90,13.90,13.90,13.90,1100,13.778691
2015-11-03,13.73,13.90,13.55,13.56,2800,13.441659
2015-11-02,13.90,13.90,13.74,13.76,6000,13.639913
2015-10-30,13.60,13.90,13.60,13.73,7100,13.610174
2015-10-29,13.88,13.89,13.38,13.53,5000,13.41192
2015-10-28,13.60,13.75,13.60,13.61,4700,13.491222
2015-10-27,13.60,13.60,13.60,13.60,1200,13.48131
2015-10-26,13.50,13.60,13.50,13.60,2300,13.48131
2015-10-23,13.60,13.60,13.60,13.60,500,13.48131
2015-10-22,13.49,13.60,13.49,13.60,11900,13.48131
2015-10-21,13.50,13.50,13.48,13.50,3400,13.382182
