Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,3.35,3.43,3.30,3.40,154600,3.40
2016-01-21,3.20,3.33,3.19,3.29,87900,3.29
2016-01-20,3.14,3.18,3.05,3.16,181200,3.16
2016-01-19,3.19,3.27,3.13,3.15,160700,3.15
2016-01-15,3.07,3.28,3.07,3.21,194600,3.21
2016-01-14,3.15,3.28,3.03,3.14,353200,3.14
2016-01-13,3.35,3.36,3.14,3.17,253100,3.17
2016-01-12,3.12,3.35,3.12,3.32,342300,3.32
2016-01-11,3.33,3.35,3.02,3.05,591700,3.05
2016-01-08,3.30,3.39,3.30,3.32,138300,3.32
2016-01-07,3.46,3.46,3.26,3.29,312000,3.29
2016-01-06,3.53,3.58,3.48,3.49,192800,3.49
2016-01-05,3.66,3.66,3.59,3.61,66400,3.61
2016-01-04,3.67,3.68,3.59,3.66,84600,3.66
2015-12-31,3.69,3.75,3.64,3.71,92600,3.71
2015-12-30,3.63,3.68,3.63,3.67,80900,3.67
2015-12-29,3.72,3.74,3.63,3.65,169800,3.65
2015-12-28,3.75,3.77,3.73,3.74,88300,3.703
2015-12-24,3.72,3.75,3.66,3.73,109500,3.693099
2015-12-23,3.63,3.70,3.61,3.70,164500,3.663396
2015-12-22,3.56,3.59,3.52,3.59,125900,3.554484
2015-12-21,3.53,3.54,3.50,3.52,108300,3.485176
2015-12-18,3.56,3.56,3.46,3.53,160700,3.495077
2015-12-17,3.70,3.70,3.56,3.58,133100,3.544583
2015-12-16,3.50,3.69,3.50,3.68,170900,3.643594
2015-12-15,3.53,3.58,3.47,3.50,167500,3.465374
2015-12-14,3.56,3.57,3.49,3.53,214200,3.495077
2015-12-11,3.70,3.70,3.53,3.55,243800,3.51488
2015-12-10,3.53,3.75,3.53,3.71,375300,3.673297
2015-12-09,3.60,3.62,3.52,3.53,243900,3.495077
2015-12-08,3.66,3.71,3.59,3.61,314700,3.574286
2015-12-07,3.85,3.85,3.71,3.72,297900,3.683198
2015-12-04,3.98,3.98,3.88,3.89,203800,3.851516
2015-12-03,4.12,4.12,3.94,3.98,316300,3.940626
2015-12-02,4.11,4.12,4.06,4.08,81400,4.039636
2015-12-01,4.14,4.14,4.08,4.12,121300,4.07924
2015-11-30,4.09,4.16,4.09,4.11,125200,4.06934
2015-11-27,4.09,4.12,4.08,4.12,42200,4.07924
2015-11-25,4.04,4.12,4.02,4.12,224000,4.07924
2015-11-24,4.12,4.16,4.09,4.10,132900,4.022804
2015-11-23,4.10,4.13,4.07,4.12,138800,4.042428
2015-11-20,4.22,4.22,4.13,4.13,80000,4.05224
2015-11-19,4.23,4.23,4.15,4.23,113200,4.150357
2015-11-18,4.16,4.22,4.14,4.21,140400,4.130734
2015-11-17,4.12,4.19,4.11,4.15,144700,4.071863
2015-11-16,4.08,4.12,4.05,4.10,67400,4.022804
2015-11-13,4.09,4.16,4.04,4.12,189000,4.042428
2015-11-12,4.11,4.14,4.08,4.09,72900,4.012993
2015-11-11,4.17,4.19,4.07,4.16,139200,4.081675
2015-11-10,4.05,4.20,4.05,4.17,107600,4.091487
2015-11-09,4.08,4.13,4.05,4.07,78800,3.99337
2015-11-06,4.10,4.13,4.06,4.10,72500,4.022804
2015-11-05,4.13,4.18,4.10,4.12,69100,4.042428
2015-11-04,4.15,4.19,4.12,4.14,104000,4.062051
2015-11-03,4.10,4.21,4.10,4.18,37200,4.101298
2015-11-02,4.15,4.17,4.11,4.13,90800,4.05224
2015-10-30,4.17,4.21,4.14,4.17,47400,4.091487
2015-10-29,4.19,4.21,4.17,4.19,57100,4.11111
2015-10-28,4.18,4.23,4.16,4.18,71100,4.101298
2015-10-27,4.28,4.28,4.19,4.21,94100,4.09443
2015-10-26,4.26,4.31,4.26,4.28,116500,4.162509
2015-10-23,4.35,4.35,4.25,4.26,52600,4.143058
2015-10-22,4.25,4.38,4.25,4.30,75100,4.18196
2015-10-21,4.28,4.36,4.24,4.25,54300,4.133332
2015-10-20,4.21,4.33,4.21,4.30,84100,4.18196
2015-10-19,4.22,4.27,4.20,4.22,130600,4.104155
2015-10-16,4.29,4.34,4.23,4.28,65300,4.162509
2015-10-15,4.25,4.35,4.24,4.33,73100,4.211136
2015-10-14,4.25,4.32,4.19,4.27,125900,4.152783
2015-10-13,4.42,4.45,4.23,4.26,97500,4.143058
2015-10-12,4.55,4.55,4.41,4.42,59200,4.298665
2015-10-09,4.43,4.53,4.38,4.53,159500,4.405646
2015-10-08,4.34,4.42,4.32,4.42,152900,4.298665
2015-10-07,4.25,4.31,4.23,4.31,125100,4.191685
2015-10-06,4.15,4.25,4.15,4.24,89600,4.123606
2015-10-05,4.11,4.19,4.11,4.19,85600,4.074979
2015-10-02,3.99,4.08,3.98,4.07,95100,3.958273
2015-10-01,4.05,4.09,3.97,4.03,102100,3.919372
2015-09-30,3.81,4.07,3.81,4.05,183600,3.938823
2015-09-29,3.92,3.92,3.77,3.80,121500,3.695685
2015-09-28,3.96,3.97,3.89,3.90,127000,3.79294
2015-09-25,4.02,4.03,3.98,4.00,90600,3.854211
2015-09-24,4.01,4.03,3.91,4.00,127300,3.854211
2015-09-23,4.11,4.14,4.03,4.05,98100,3.902388
2015-09-22,4.04,4.13,4.01,4.12,70900,3.969837
2015-09-21,4.06,4.13,4.03,4.08,69500,3.931295
2015-09-18,4.09,4.14,4.05,4.08,128400,3.931295
2015-09-17,4.21,4.21,4.05,4.09,74200,3.940931
2015-09-16,4.16,4.24,4.11,4.20,144800,4.046921
2015-09-15,3.86,4.24,3.84,4.12,215300,3.969837
2015-09-14,3.93,3.93,3.78,3.81,208700,3.671136
2015-09-11,3.96,3.97,3.89,3.91,68800,3.767491
2015-09-10,3.98,4.02,3.95,3.96,42400,3.815669
2015-09-09,4.04,4.06,3.98,3.98,61000,3.83494
2015-09-08,4.02,4.04,3.98,4.01,52900,3.863846
2015-09-04,4.02,4.06,3.98,3.99,65200,3.844575
2015-09-03,3.98,4.09,3.98,4.04,105200,3.892753
2015-09-02,4.07,4.07,3.95,3.99,105800,3.844575
2015-09-01,4.01,4.11,3.98,3.99,140600,3.844575
2015-08-31,4.01,4.13,3.98,4.12,88700,3.969837
2015-08-28,4.09,4.19,4.05,4.07,101700,3.921659
2015-08-27,4.00,4.11,3.99,4.07,103200,3.921659
