Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,36.119999,36.490002,34.610001,36.330002,39700,36.330002
2016-01-21,35.799999,36.380001,35.369999,35.77,50900,35.77
2016-01-20,34.919998,36.32,34.740002,36.060001,64700,36.060001
2016-01-19,35.450001,35.75,34.950001,35.400002,50300,35.400002
2016-01-15,34.34,35.130001,34.00,34.91,39500,34.91
2016-01-14,35.639999,36.009998,35.189999,35.439999,24100,35.439999
2016-01-13,36.759998,36.84,35.049999,35.34,29100,35.34
2016-01-12,37.09,37.150002,36.119999,36.709999,47700,36.709999
2016-01-11,36.290001,36.84,36.259998,36.669998,25600,36.669998
2016-01-08,36.900002,37.00,36.029999,36.18,43800,36.18
2016-01-07,37.580002,37.630001,36.700001,36.720001,24100,36.720001
2016-01-06,36.75,37.490002,36.75,37.360001,19300,37.360001
2016-01-05,36.990002,37.48,36.790001,37.09,15300,37.09
2016-01-04,37.25,37.779999,36.490002,36.779999,45600,36.779999
2015-12-31,38.279999,38.720001,37.740002,37.790001,30500,37.790001
2015-12-30,38.860001,38.860001,38.00,38.259998,22300,38.259998
2015-12-29,38.599998,38.900002,38.50,38.869999,12300,38.869999
2015-12-28,38.040001,38.369999,37.650002,38.330002,18700,38.330002
2015-12-24,37.990002,38.380001,37.880001,38.119999,9200,38.119999
2015-12-23,38.060001,38.080002,37.669998,37.950001,11000,37.950001
2015-12-22,37.369999,38.00,37.23,37.990002,17400,37.990002
2015-12-21,37.549999,37.759998,37.240002,37.549999,19800,37.549999
2015-12-18,37.810001,37.919998,37.02,37.380001,75500,37.380001
2015-12-17,38.700001,38.700001,37.830002,38.040001,24200,38.040001
2015-12-16,38.43,38.82,37.869999,38.740002,17000,38.740002
2015-12-15,37.220001,38.740002,37.220001,38.32,33000,38.32
2015-12-14,36.849998,37.790001,36.689999,37.32,20600,37.32
2015-12-11,37.43,37.939999,36.77,36.950001,40500,36.950001
2015-12-10,38.139999,38.82,38.09,38.130001,21400,38.130001
2015-12-09,39.07,39.740002,38.349998,38.43,14400,38.180001
2015-12-08,39.630001,39.75,39.110001,39.310001,22300,39.054278
2015-12-07,40.700001,40.700001,39.610001,39.849998,46300,39.590762
2015-12-04,39.720001,40.66,39.459999,40.610001,37000,40.34582
2015-12-03,40.169998,40.720001,39.52,39.619999,28300,39.362259
2015-12-02,40.470001,40.470001,39.77,40.209999,34300,39.948421
2015-12-01,40.080002,40.610001,40.049999,40.57,20000,40.306079
2015-11-30,40.59,40.599998,40.139999,40.27,43500,40.008032
2015-11-27,40.18,40.689999,40.060001,40.650002,10500,40.385561
2015-11-25,39.540001,40.279999,39.540001,40.209999,15100,39.948421
2015-11-24,39.349998,40.25,39.330002,39.939999,70200,39.680177
2015-11-23,40.200001,40.549999,40.07,40.32,16100,40.057706
2015-11-20,40.240002,40.779999,39.93,40.299999,19300,40.037835
2015-11-19,39.970001,40.040001,39.41,39.98,33800,39.719917
2015-11-18,38.32,40.220001,38.32,40.18,44300,39.918617
2015-11-17,39.380001,39.709999,39.029999,39.369999,26300,39.113885
2015-11-16,38.84,39.450001,38.240002,39.32,37700,39.064211
2015-11-13,38.560001,39.450001,38.279999,38.84,28700,38.587334
2015-11-12,39.16,39.450001,38.799999,38.91,15600,38.656878
2015-11-11,40.110001,40.18,39.41,39.630001,24600,39.372196
2015-11-10,39.50,40.389999,39.400002,40.23,22600,39.968291
2015-11-09,39.830002,40.599998,39.23,39.599998,26400,39.342388
2015-11-06,39.490002,40.610001,39.439999,40.50,27500,40.236535
2015-11-05,38.619999,39.50,38.540001,39.32,17600,39.064211
2015-11-04,38.52,39.009998,38.41,38.66,58600,38.408505
2015-11-03,38.369999,39.00,38.029999,38.470001,23500,38.219742
2015-11-02,37.860001,38.400002,37.68,38.209999,24600,37.961431
2015-10-30,39.529999,39.529999,37.57,37.68,61800,37.43488
2015-10-29,39.810001,40.169998,39.259998,39.709999,33100,39.451673
2015-10-28,39.490002,41.970001,38.900002,39.93,67600,39.670243
2015-10-27,38.119999,39.049999,38.080002,38.34,39600,38.090587
2015-10-26,37.93,38.790001,37.400002,38.490002,28800,38.239612
2015-10-23,37.580002,38.490002,37.279999,38.150002,34700,37.901824
2015-10-22,37.43,37.84,37.00,37.52,26400,37.275921
2015-10-21,37.439999,37.869999,36.790001,36.91,26600,36.669889
2015-10-20,36.919998,37.639999,36.900002,37.509998,13400,37.265984
2015-10-19,36.970001,37.75,36.900002,36.990002,57500,36.74937
2015-10-16,37.259998,37.48,36.77,37.330002,38700,37.087159
2015-10-15,36.32,37.380001,36.049999,37.16,86300,36.918263
2015-10-14,37.029999,37.450001,36.07,36.110001,27700,35.875094
2015-10-13,37.25,37.75,37.009998,37.049999,23800,36.808977
2015-10-12,37.060001,37.639999,36.939999,37.459999,29600,37.21631
2015-10-09,37.560001,37.75,37.119999,37.25,22000,37.007677
2015-10-08,36.759998,37.509998,36.279999,37.419998,32000,37.176569
2015-10-07,35.990002,36.950001,35.990002,36.84,40800,36.600345
2015-10-06,35.939999,36.43,35.709999,35.759998,31200,35.527368
2015-10-05,36.110001,36.509998,35.810001,36.240002,28400,36.004249
2015-10-02,35.740002,35.970001,34.709999,35.75,52300,35.517435
2015-10-01,36.529999,36.66,35.560001,36.119999,53100,35.885027
2015-09-30,36.400002,36.73,35.939999,36.349998,38800,36.11353
2015-09-29,36.209999,36.27,35.310001,35.959999,35200,35.726068
2015-09-28,36.00,36.400002,34.830002,36.009998,50900,35.775742
2015-09-25,36.610001,36.830002,36.040001,36.07,40600,35.835353
2015-09-24,35.709999,36.369999,35.669998,36.27,37300,36.034053
2015-09-23,35.549999,36.169998,35.279999,35.919998,37400,35.686327
2015-09-22,35.66,36.110001,35.57,35.669998,52500,35.437954
2015-09-21,35.869999,36.23,34.860001,35.970001,47900,35.736005
2015-09-18,35.77,35.869999,35.32,35.490002,95200,35.259128
2015-09-17,35.860001,36.560001,35.290001,35.900002,107200,35.666461
2015-09-16,35.93,36.09,35.060001,35.630001,35700,35.398217
2015-09-15,35.139999,36.07,35.139999,35.889999,46100,35.656524
2015-09-14,35.18,35.549999,34.810001,35.25,29100,35.020688
2015-09-11,34.73,35.52,34.619999,35.169998,36800,34.941206
2015-09-10,34.59,35.189999,34.240002,35.029999,42600,34.802118
2015-09-09,35.400002,35.549999,34.669998,34.75,35600,34.285501
2015-09-08,34.689999,35.400002,34.43,34.959999,37700,34.492693
2015-09-04,34.00,34.490002,33.93,34.25,18500,33.792184
2015-09-03,34.150002,35.060001,34.150002,34.310001,47600,33.851384
2015-09-02,34.279999,34.689999,34.16,34.560001,25600,34.098042
2015-09-01,34.700001,35.080002,33.830002,33.950001,23600,33.496195
2015-08-31,34.759998,35.439999,34.43,35.240002,30800,34.768953
2015-08-28,34.720001,35.16,33.66,35.09,27100,34.620956
2015-08-27,35.189999,35.189999,34.380001,34.919998,41000,34.453227
2015-08-26,34.950001,35.130001,33.52,35.049999,31600,34.58149
2015-08-25,35.59,35.59,33.889999,34.150002,51300,33.693523
2015-08-24,34.189999,35.459999,34.07,34.27,35700,33.811918
2015-08-21,35.34,36.040001,35.34,35.740002,120900,35.262269
2015-08-20,36.139999,36.259998,35.720001,35.900002,36300,35.420131
2015-08-19,36.98,37.07,36.259998,36.599998,22800,36.110771
2015-08-18,37.18,37.450001,36.599998,36.830002,23300,36.3377
2015-08-17,37.040001,37.549999,36.580002,37.259998,28700,36.761948
2015-08-14,36.23,37.240002,36.049999,37.049999,49000,36.554756
2015-08-13,35.900002,36.619999,35.900002,36.400002,81500,35.913447
2015-08-12,36.50,36.52,35.509998,36.040001,36800,35.558259
2015-08-11,36.57,37.110001,36.459999,36.799999,31400,36.308098
2015-08-10,37.080002,37.200001,36.639999,36.93,48700,36.436361
2015-08-07,36.630001,36.889999,36.380001,36.709999,23200,36.219301
2015-08-06,36.900002,37.299999,36.700001,36.849998,31400,36.357429
2015-08-05,36.990002,37.349998,36.639999,36.990002,31100,36.495561
2015-08-04,36.75,37.529999,36.560001,36.939999,31800,36.446226
2015-08-03,36.759998,37.25,36.41,36.869999,30200,36.377162
2015-07-31,36.939999,37.400002,36.470001,36.860001,42400,36.367297
2015-07-30,36.849998,37.220001,36.77,37.049999,43500,36.554756
2015-07-29,36.57,37.240002,36.25,36.880001,40600,36.387031
2015-07-28,36.560001,36.880001,36.150002,36.709999,33800,36.219301
2015-07-27,36.150002,36.810001,36.150002,36.540001,22300,36.051575
2015-07-24,37.07,37.240002,36.509998,36.77,33500,36.2785
2015-07-23,38.32,38.32,36.650002,37.200001,47400,36.702753
2015-07-22,38.040001,38.490002,37.93,38.099998,18900,37.59072
2015-07-21,38.439999,38.75,37.970001,38.00,16300,37.492059
2015-07-20,38.330002,38.700001,38.029999,38.419998,26000,37.906443
2015-07-17,38.529999,38.560001,38.080002,38.349998,28900,37.837379
2015-07-16,38.41,38.700001,38.09,38.43,27600,37.916311
2015-07-15,38.610001,38.66,38.169998,38.290001,22200,37.778183
2015-07-14,38.240002,38.529999,37.950001,38.380001,21500,37.86698
2015-07-13,38.450001,38.950001,38.150002,38.299999,29800,37.788048
2015-07-10,37.830002,38.240002,37.740002,38.16,23000,37.64992
2015-07-09,37.610001,37.810001,37.00,37.43,27400,36.929678
2015-07-08,37.110001,37.41,37.00,37.060001,35300,36.564625
2015-07-07,37.130001,37.560001,36.950001,37.400002,46800,36.90008
2015-07-06,36.669998,37.700001,36.099998,37.43,89400,36.929678
2015-07-02,38.080002,38.369999,37.139999,37.16,27300,36.663287
2015-07-01,38.27,38.700001,37.560001,38.00,39000,37.492059
2015-06-30,37.580002,37.869999,37.279999,37.790001,30000,37.284867
2015-06-29,37.700001,38.68,37.119999,37.290001,30200,36.79155
2015-06-26,37.810001,38.279999,37.669998,38.099998,105400,37.59072
2015-06-25,38.09,38.09,37.68,37.810001,33000,37.3046
2015-06-24,37.919998,38.310001,37.34,37.790001,32500,37.284867
2015-06-23,37.779999,38.099998,37.68,37.959999,28400,37.452592
2015-06-22,37.740002,38.450001,37.700001,37.959999,42500,37.452592
2015-06-19,37.080002,37.650002,36.48,37.549999,85000,37.048073
2015-06-18,36.880001,37.330002,36.799999,37.189999,42700,36.692884
2015-06-17,36.889999,37.119999,36.450001,36.540001,32000,36.051575
2015-06-16,36.099998,36.939999,36.02,36.75,24400,36.258767
2015-06-15,36.07,36.900002,35.880001,36.330002,32200,35.844383
