Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,6.34,6.88,6.18,6.80,262800,6.80
2016-01-21,6.06,6.32,6.00,6.20,300900,6.20
2016-01-20,6.18,6.18,5.90,6.11,533600,6.11
2016-01-19,6.58,6.67,6.07,6.20,227300,6.20
2016-01-15,6.59,6.64,6.50,6.64,130200,6.64
2016-01-14,6.63,6.76,6.61,6.68,104200,6.68
2016-01-13,6.77,6.85,6.67,6.67,107600,6.67
2016-01-12,6.83,6.88,6.75,6.75,125400,6.75
2016-01-11,7.11,7.11,6.81,6.84,165400,6.84
2016-01-08,7.27,7.28,7.06,7.13,93400,7.13
2016-01-07,7.35,7.35,7.22,7.22,129100,7.22
2016-01-06,7.26,7.42,7.21,7.40,96400,7.40
2016-01-05,6.90,7.29,6.82,7.29,176500,7.29
2016-01-04,7.00,7.05,6.80,6.90,196500,6.90
2015-12-31,7.00,7.09,7.00,7.04,215300,7.04
2015-12-30,6.94,7.11,6.89,7.02,128900,7.02
2015-12-29,7.16,7.25,6.86,7.03,199600,7.03
2015-12-28,7.16,7.29,7.10,7.21,150000,7.21
2015-12-24,7.05,7.29,7.05,7.25,83600,7.25
2015-12-23,6.99,7.10,6.91,7.10,127300,7.10
2015-12-22,6.91,7.04,6.90,6.95,110400,6.95
2015-12-21,6.83,7.04,6.83,6.86,104200,6.86
2015-12-18,6.81,7.00,6.73,6.80,108500,6.80
2015-12-17,6.85,7.10,6.80,6.80,117800,6.80
2015-12-16,6.73,7.05,6.65,6.89,140600,6.89
2015-12-15,6.47,6.79,6.46,6.70,132900,6.70
2015-12-14,6.52,6.69,6.36,6.41,221600,6.41
2015-12-11,6.70,6.83,6.51,6.55,207200,6.55
2015-12-10,6.64,6.82,6.62,6.77,117800,6.77
2015-12-09,6.71,6.82,6.62,6.72,196000,6.72
2015-12-08,6.39,6.96,6.39,6.81,264500,6.81
2015-12-07,7.12,7.25,6.30,6.36,481900,6.36
2015-12-04,7.35,7.45,7.00,7.27,354100,7.27
2015-12-03,7.63,7.82,7.30,7.37,311900,7.37
2015-12-02,7.63,7.84,7.62,7.67,135400,7.67
2015-12-01,8.01,8.02,7.67,7.69,230500,7.69
2015-11-30,7.96,8.01,7.78,7.96,174000,7.96
2015-11-27,7.85,7.98,7.85,7.92,37600,7.92
2015-11-25,7.95,7.97,7.77,7.87,112900,7.87
2015-11-24,8.01,8.14,7.85,7.91,215500,7.91
2015-11-23,8.10,8.29,7.98,8.09,205800,8.09
2015-11-20,8.14,8.40,8.00,8.11,180100,8.11
2015-11-19,8.04,8.25,8.01,8.05,168100,8.05
2015-11-18,8.17,8.19,8.01,8.11,106900,8.11
2015-11-17,8.09,8.25,7.97,8.19,139800,8.19
2015-11-16,8.18,8.21,7.91,7.96,246700,7.96
2015-11-13,8.25,8.30,8.11,8.21,111800,8.21
2015-11-12,8.40,8.50,8.26,8.30,181800,8.30
2015-11-11,8.50,8.59,8.35,8.42,152200,8.42
2015-11-10,8.38,8.64,8.38,8.51,154200,8.51
2015-11-09,8.70,8.80,8.64,8.76,407200,8.51
2015-11-06,8.56,8.68,8.46,8.67,221900,8.422568
2015-11-05,8.53,8.67,8.25,8.43,330600,8.189418
2015-11-04,8.70,8.92,8.45,8.48,358300,8.23799
2015-11-03,8.50,8.70,8.50,8.65,268600,8.403139
2015-11-02,8.36,8.60,8.36,8.53,153000,8.286564
2015-10-30,8.25,8.48,8.25,8.36,129600,8.121415
2015-10-29,8.25,8.35,8.20,8.25,113500,8.014555
2015-10-28,8.02,8.28,8.01,8.21,92900,7.975696
2015-10-27,8.56,8.57,7.96,8.02,203800,7.791119
2015-10-26,8.43,8.55,8.30,8.51,179300,8.267135
2015-10-23,8.50,8.61,8.35,8.47,127100,8.228276
2015-10-22,8.32,8.53,8.28,8.39,198000,8.15056
2015-10-21,8.58,8.66,8.29,8.33,370000,8.092272
2015-10-20,8.65,8.70,8.53,8.59,218700,8.344852
2015-10-19,8.55,8.70,8.55,8.63,274000,8.38371
2015-10-16,8.60,8.70,8.35,8.55,303000,8.305993
2015-10-15,8.36,8.60,8.36,8.54,152700,8.296278
2015-10-14,8.33,8.46,8.27,8.32,96200,8.082557
2015-10-13,8.55,8.61,8.27,8.28,206700,8.043698
2015-10-12,8.55,8.72,8.51,8.55,155800,8.305993
2015-10-09,8.27,8.62,8.25,8.49,406000,8.247705
2015-10-08,8.14,8.29,8.12,8.23,164900,7.995125
2015-10-07,7.84,8.29,7.80,8.25,292400,8.014555
2015-10-06,7.87,7.87,7.67,7.78,202800,7.557968
2015-10-05,7.82,8.04,7.79,7.86,329700,7.635685
2015-10-02,7.53,7.82,7.50,7.67,186500,7.451107
2015-10-01,7.54,7.67,7.37,7.55,240000,7.334532
2015-09-30,7.50,7.74,7.45,7.58,361200,7.363676
2015-09-29,7.70,7.78,7.31,7.40,303400,7.188813
2015-09-28,7.62,7.70,7.31,7.63,342000,7.412249
2015-09-25,8.32,8.35,7.67,7.70,507600,7.480251
2015-09-24,8.20,8.40,7.78,8.32,599600,8.082557
2015-09-23,8.12,8.63,8.07,8.43,1064600,8.189418
2015-09-22,7.24,8.10,7.10,8.07,1422700,7.839691
2015-09-21,7.37,7.62,7.01,7.27,3379400,7.062523
2015-09-18,6.29,6.30,6.15,6.17,316200,5.993916
2015-09-17,6.36,6.58,6.31,6.36,330900,6.178493
2015-09-16,6.41,6.56,6.30,6.39,242500,6.207637
2015-09-15,6.45,6.49,6.21,6.40,475100,6.217352
2015-09-14,6.81,6.83,6.45,6.48,253100,6.295068
2015-09-11,6.87,6.99,6.41,6.76,410800,6.567078
2015-09-10,7.03,7.08,6.86,6.94,237100,6.741941
2015-09-09,7.10,7.16,7.00,7.08,159900,6.877945
2015-09-08,7.01,7.25,7.01,7.07,209100,6.868231
2015-09-04,6.85,7.12,6.85,6.99,220500,6.790513
2015-09-03,6.92,6.95,6.80,6.89,233500,6.693367
2015-09-02,7.00,7.02,6.76,6.87,318900,6.673938
2015-09-01,7.00,7.14,6.80,6.93,568400,6.732226
2015-08-31,7.34,7.38,7.09,7.11,216600,6.907089
2015-08-28,7.26,7.43,7.22,7.29,120000,7.081952
2015-08-27,7.46,7.50,7.21,7.30,363800,7.091667
2015-08-26,7.28,7.52,7.28,7.43,161400,7.217956
2015-08-25,7.65,7.65,7.26,7.27,297200,7.062523
2015-08-24,7.68,7.70,7.06,7.49,286600,7.276244
2015-08-21,8.04,8.20,7.78,7.79,270600,7.567683
2015-08-20,8.06,8.25,8.02,8.04,133200,7.810548
2015-08-19,8.21,8.28,8.06,8.14,154200,7.907694
2015-08-18,8.28,8.40,8.12,8.18,177600,7.946553
2015-08-17,8.15,8.36,8.12,8.36,221400,8.121415
2015-08-14,8.25,8.26,8.12,8.16,86000,7.927123
2015-08-13,8.39,8.39,8.09,8.29,170600,8.053413
2015-08-12,8.48,8.65,8.36,8.64,272500,8.15056
2015-08-11,8.56,8.57,8.35,8.51,194100,8.027924
2015-08-10,8.57,8.59,8.38,8.56,181700,8.075092
2015-08-07,8.46,8.51,8.38,8.50,157800,8.01849
2015-08-06,8.70,8.70,8.27,8.47,316500,7.99019
2015-08-05,8.37,8.91,8.37,8.67,257000,8.17886
2015-08-04,8.09,9.09,8.05,8.38,625800,7.905288
2015-08-03,7.88,8.01,7.60,7.80,279400,7.358144
2015-07-31,7.80,8.22,7.80,7.88,336400,7.433612
2015-07-30,8.17,8.17,7.76,7.78,248900,7.339277
2015-07-29,7.75,8.14,7.70,8.12,172600,7.660017
2015-07-28,7.80,7.88,7.61,7.74,299900,7.301543
2015-07-27,8.09,8.27,7.76,7.80,391900,7.358144
2015-07-24,8.42,8.58,8.00,8.09,619300,7.631716
2015-07-23,8.80,8.87,8.45,8.46,428600,7.980756
2015-07-22,8.93,8.98,8.75,8.88,273200,8.376964
2015-07-21,9.10,9.25,8.92,8.97,480300,8.461866
2015-07-20,9.07,9.17,9.02,9.11,213700,8.593935
2015-07-17,9.15,9.18,8.90,9.11,318200,8.593935
2015-07-16,9.04,9.21,9.04,9.15,108100,8.631669
2015-07-15,9.28,9.28,9.03,9.06,256900,8.546768
2015-07-14,8.94,9.39,8.92,9.23,167100,8.707137
2015-07-13,8.87,9.02,8.80,8.98,184200,8.471299
2015-07-10,8.76,8.87,8.76,8.82,144400,8.320363
2015-07-09,8.79,8.91,8.76,8.81,206200,8.31093
2015-07-08,8.81,8.81,8.62,8.76,134500,8.263762
2015-07-07,8.73,8.88,8.58,8.80,215400,8.301496
2015-07-06,8.54,8.92,8.54,8.73,160000,8.235461
2015-07-02,8.91,8.91,8.65,8.69,194400,8.197727
2015-07-01,8.42,8.89,8.33,8.88,264700,8.376964
2015-06-30,8.52,8.69,8.35,8.35,355300,7.876988
2015-06-29,8.72,8.72,8.52,8.58,178300,8.093958
2015-06-26,8.61,8.77,8.59,8.73,161800,8.235461
2015-06-25,8.70,8.80,8.61,8.62,185900,8.131692
2015-06-24,8.89,8.96,8.70,8.72,163400,8.226028
2015-06-23,8.81,9.01,8.78,8.93,107200,8.424132
2015-06-22,8.97,9.07,8.83,8.86,178900,8.358097
2015-06-19,9.00,9.12,8.97,8.97,171400,8.461866
2015-06-18,9.20,9.30,8.96,9.04,151100,8.5279
2015-06-17,9.09,9.38,9.09,9.16,236600,8.641102
2015-06-16,8.67,9.12,8.67,9.08,314700,8.565634
2015-06-15,8.66,8.73,8.59,8.71,158000,8.216594
2015-06-12,9.00,9.00,8.65,8.76,665800,8.263762
2015-06-11,9.18,9.28,9.00,9.08,186100,8.565634
2015-06-10,9.11,9.25,9.00,9.18,156400,8.65997
2015-06-09,9.14,9.16,9.01,9.05,155700,8.537334
2015-06-08,9.35,9.38,8.86,9.11,512900,8.593935
2015-06-05,9.55,9.58,9.35,9.38,142500,8.84864
2015-06-04,9.58,9.60,9.45,9.59,346400,9.046744
2015-06-03,9.70,9.70,9.54,9.58,152500,9.03731
2015-06-02,9.56,9.68,9.54,9.68,194200,9.131646
2015-06-01,9.59,9.69,9.51,9.54,339700,8.999576
2015-05-29,9.75,9.80,9.55,9.69,381000,9.141079
2015-05-28,9.80,9.88,9.79,9.83,327500,9.273148
2015-05-27,9.88,9.96,9.63,9.89,675100,9.32975
2015-05-26,10.71,10.71,9.76,10.05,1276400,9.480686
2015-05-22,10.56,10.73,10.55,10.65,136500,10.046696
2015-05-21,10.73,10.73,10.51,10.54,141900,9.942928
2015-05-20,10.83,10.88,10.55,10.68,207900,10.074998
2015-05-19,10.92,10.99,10.75,10.89,191000,10.273101
2015-05-18,10.90,11.04,10.90,10.92,277100,10.301402
2015-05-15,10.97,11.00,10.77,10.85,190900,10.235367
2015-05-14,10.98,11.03,10.91,10.96,221400,10.339136
2015-05-13,10.87,10.92,10.80,10.88,197800,10.263668
2015-05-12,10.76,10.89,10.63,10.82,231700,10.207066
2015-05-11,10.61,11.05,10.61,11.01,636600,10.150465
2015-05-08,10.70,10.70,10.52,10.61,132000,9.781692
2015-05-07,10.51,10.72,10.45,10.51,147400,9.6895
2015-05-06,10.75,10.75,10.54,10.62,161100,9.790912
2015-05-05,10.67,10.73,10.60,10.69,155800,9.855447
2015-05-04,10.50,10.67,10.50,10.66,190100,9.827789
2015-05-01,10.60,10.60,10.41,10.51,150800,9.6895
2015-04-30,10.76,10.78,10.53,10.55,346400,9.726377
2015-04-29,10.50,10.78,10.36,10.76,337000,9.919983
2015-04-28,10.54,10.54,10.27,10.41,135700,9.597306
2015-04-27,10.62,10.62,10.35,10.52,270400,9.698719
2015-04-24,10.45,10.55,10.42,10.51,176200,9.6895
2015-04-23,10.11,10.49,10.10,10.46,331400,9.643403
2015-04-22,10.26,10.30,10.00,10.10,255000,9.311508
2015-04-21,10.11,10.23,10.11,10.18,122700,9.385262
2015-04-20,10.31,10.33,10.12,10.15,191100,9.357604
2015-04-17,10.30,10.30,10.15,10.18,210800,9.385262
2015-04-16,10.30,10.35,10.17,10.28,250000,9.477455
2015-04-15,10.18,10.38,10.18,10.30,203800,9.495894
2015-04-14,10.29,10.33,10.11,10.24,190200,9.440578
2015-04-13,10.35,10.37,10.12,10.22,338300,9.42214
2015-04-10,10.27,10.32,10.17,10.25,147800,9.449797
2015-04-09,10.33,10.42,10.10,10.20,246900,9.403701
2015-04-08,10.40,10.45,10.30,10.33,227500,9.523552
2015-04-07,10.35,10.43,10.26,10.35,205200,9.541991
2015-04-06,10.57,10.57,10.00,10.26,413700,9.459017
2015-04-02,9.51,10.38,9.39,10.34,884300,9.532771
2015-04-01,9.30,9.50,9.30,9.50,206900,8.758349
2015-03-31,9.55,9.59,9.23,9.26,308500,8.537085
2015-03-30,9.60,9.67,9.50,9.55,208600,8.804445
2015-03-27,9.67,9.80,9.56,9.58,105700,8.832103
2015-03-26,9.77,9.82,9.64,9.66,103800,8.905858
2015-03-25,9.70,9.82,9.65,9.77,99300,9.007271
2015-03-24,9.75,9.75,9.57,9.66,119700,8.905858
2015-03-23,9.65,9.74,9.51,9.67,172200,8.915077
2015-03-20,9.63,9.77,9.52,9.65,213100,8.896638
2015-03-19,9.93,9.93,9.55,9.59,254000,8.841323
2015-03-18,10.07,10.12,9.84,9.85,217400,9.081025
2015-03-17,10.00,10.19,9.97,10.11,173400,9.320727
2015-03-16,10.23,10.23,10.00,10.00,136100,9.219314
2015-03-13,10.17,10.18,10.01,10.12,159000,9.329946
