Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,25.049999,25.540001,24.719999,25.15,125300,25.15
2016-01-21,25.450001,25.549999,24.790001,24.809999,80000,24.809999
2016-01-20,25.209999,26.120001,24.780001,25.49,96500,25.49
2016-01-19,25.77,26.219999,25.23,25.540001,68700,25.540001
2016-01-15,24.98,25.639999,24.98,25.530001,110000,25.530001
2016-01-14,25.440001,26.07,25.26,25.719999,77800,25.719999
2016-01-13,26.469999,26.469999,25.16,25.33,79600,25.33
2016-01-12,26.74,26.74,25.93,26.370001,61100,26.370001
2016-01-11,26.09,26.58,26.00,26.51,61900,26.51
2016-01-08,26.76,26.77,25.66,25.709999,62000,25.709999
2016-01-07,26.639999,26.99,26.389999,26.639999,54900,26.639999
2016-01-06,26.59,27.139999,26.51,27.030001,70600,27.030001
2016-01-05,26.639999,27.02,26.59,26.870001,41900,26.870001
2016-01-04,27.27,27.27,26.23,26.639999,84500,26.639999
2015-12-31,28.059999,28.190001,27.379999,27.440001,86500,27.440001
2015-12-30,28.209999,28.370001,27.98,28.00,29200,28.00
2015-12-29,28.17,28.41,28.030001,28.280001,45400,28.280001
2015-12-28,27.969999,28.27,27.57,28.15,97900,28.15
2015-12-24,28.00,28.17,27.889999,27.950001,17500,27.950001
2015-12-23,27.940001,28.00,27.65,27.959999,37300,27.959999
2015-12-22,27.92,27.969999,27.360001,27.75,35100,27.75
2015-12-21,27.639999,29.290001,26.610001,27.83,118200,27.83
2015-12-18,27.82,27.950001,27.24,27.50,146900,27.50
2015-12-17,28.27,28.389999,27.73,27.940001,39100,27.940001
2015-12-16,28.049999,28.26,27.52,28.120001,66700,28.120001
2015-12-15,27.58,28.26,27.58,28.030001,56500,27.88
2015-12-14,26.98,27.68,26.92,27.42,78900,27.273264
2015-12-11,27.33,27.75,26.959999,26.969999,111600,26.825671
2015-12-10,27.76,28.120001,27.65,27.75,42100,27.601498
2015-12-09,28.15,28.379999,27.65,27.82,53600,27.671123
2015-12-08,28.450001,28.68,28.08,28.18,77500,28.029197
2015-12-07,29.24,29.24,28.469999,28.620001,56900,28.466843
2015-12-04,28.700001,29.360001,28.60,29.23,54700,29.073577
2015-12-03,29.370001,29.530001,28.549999,28.690001,136100,28.536468
2015-12-02,29.459999,29.610001,29.040001,29.139999,85500,28.984059
2015-12-01,29.42,29.549999,28.92,29.32,110800,29.163096
2015-11-30,29.41,29.65,29.24,29.299999,121400,29.143203
2015-11-27,29.299999,29.60,29.24,29.389999,25100,29.232721
2015-11-25,29.129999,29.33,28.99,29.280001,37600,29.123311
2015-11-24,28.98,29.25,28.940001,29.120001,71000,28.964167
2015-11-23,29.00,29.200001,28.959999,29.139999,67800,28.984059
2015-11-20,28.27,29.129999,28.27,29.030001,137700,28.874649
2015-11-19,28.290001,28.49,27.99,28.200001,83200,28.049091
2015-11-18,28.25,28.49,27.719999,28.290001,107900,28.138609
2015-11-17,28.299999,28.620001,28.030001,28.08,69400,27.929732
2015-11-16,28.219999,28.33,27.950001,28.25,56600,28.098822
2015-11-13,28.18,28.719999,27.940001,28.209999,129500,28.059035
2015-11-12,28.35,28.48,28.01,28.17,67700,28.01925
2015-11-11,28.52,29.049999,28.52,28.57,64000,28.41711
2015-11-10,28.209999,28.99,28.200001,28.77,123400,28.61604
2015-11-09,27.950001,28.209999,27.66,28.18,85600,28.029197
2015-11-06,26.92,27.85,26.889999,27.82,120100,27.671123
