Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,19.76,19.879999,19.360001,19.790001,8900,19.790001
2016-01-21,19.66,19.790001,19.450001,19.549999,4600,19.549999
2016-01-20,19.200001,19.700001,18.940001,19.700001,11800,19.700001
2016-01-19,18.93,19.950001,18.530001,19.32,19100,19.32
2016-01-15,18.40,19.309999,18.33,18.860001,12700,18.860001
2016-01-14,19.18,19.24,18.43,18.690001,15600,18.690001
2016-01-13,18.959999,19.219999,18.50,18.50,8800,18.50
2016-01-12,18.68,19.25,18.540001,18.82,19800,18.82
2016-01-11,18.700001,18.90,18.35,18.59,15000,18.59
2016-01-08,18.700001,19.33,18.459999,18.57,10300,18.57
2016-01-07,19.50,19.50,18.26,18.700001,11900,18.700001
2016-01-06,20.459999,20.459999,19.700001,19.790001,105700,19.790001
2016-01-05,19.68,20.49,19.68,20.299999,12800,20.299999
2016-01-04,19.25,20.309999,19.00,19.98,10200,19.98
2015-12-31,19.90,19.90,19.40,19.469999,4600,19.469999
2015-12-30,19.879999,20.110001,19.57,19.889999,10000,19.889999
2015-12-29,19.690001,20.17,19.440001,19.969999,9700,19.969999
2015-12-28,19.370001,19.690001,19.27,19.370001,14600,19.370001
2015-12-24,19.700001,19.73,19.190001,19.26,6800,19.26
2015-12-23,19.40,19.73,19.26,19.709999,18900,19.709999
2015-12-22,19.290001,19.389999,19.25,19.33,2400,19.33
2015-12-21,19.469999,19.52,18.719999,19.32,11300,19.32
2015-12-18,18.870001,19.110001,18.790001,18.99,24500,18.99
2015-12-17,17.75,19.709999,17.75,19.00,13600,19.00
2015-12-16,19.25,19.41,19.17,19.379999,11100,19.379999
2015-12-15,19.91,19.91,19.25,19.379999,9300,19.379999
2015-12-14,19.879999,19.879999,19.459999,19.52,13900,19.52
2015-12-11,19.809999,20.33,19.66,19.66,51600,19.66
2015-12-10,19.870001,20.200001,19.84,20.01,11900,20.01
2015-12-09,20.92,21.379999,20.16,20.27,37000,20.27
2015-12-08,21.450001,21.73,20.83,20.90,10700,20.90
2015-12-07,21.65,22.129999,21.08,21.08,8200,21.08
2015-12-04,20.90,21.860001,20.90,21.860001,9100,21.860001
2015-12-03,21.51,21.700001,20.860001,21.190001,11000,21.190001
2015-12-02,20.84,21.389999,20.84,21.209999,11100,21.209999
2015-12-01,21.25,21.50,21.10,21.10,16300,21.10
2015-11-30,21.540001,21.790001,20.879999,21.24,9700,21.24
2015-11-27,21.379999,21.76,21.34,21.34,2900,21.34
2015-11-25,21.059999,21.57,21.059999,21.48,6600,21.48
2015-11-24,21.16,21.200001,20.82,21.059999,7900,21.059999
2015-11-23,21.07,21.40,20.959999,21.389999,19300,21.389999
2015-11-20,21.08,21.34,21.08,21.32,8000,21.32
2015-11-19,21.200001,21.719999,21.10,21.110001,11300,21.110001
