Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,6.00,6.11,5.80,6.09,40600,6.09
2016-01-21,5.62,6.13,5.62,5.89,45700,5.89
2016-01-20,5.52,5.75,5.36,5.65,50900,5.65
2016-01-19,5.79,5.82,5.52,5.61,21100,5.61
2016-01-15,5.63,5.80,5.47,5.74,48300,5.74
2016-01-14,5.51,5.89,5.51,5.81,31500,5.81
2016-01-13,5.87,5.87,5.33,5.39,44600,5.39
2016-01-12,5.95,5.95,5.59,5.65,37100,5.65
2016-01-11,5.61,6.05,5.61,5.88,33100,5.88
2016-01-08,5.71,5.73,5.57,5.58,25000,5.58
2016-01-07,5.80,5.91,5.67,5.76,26000,5.76
2016-01-06,5.97,6.01,5.81,5.92,21500,5.92
2016-01-05,5.87,6.05,5.79,5.87,18200,5.87
2016-01-04,6.01,6.31,5.61,5.67,49000,5.67
2015-12-31,6.13,6.45,6.13,6.14,23000,6.14
2015-12-30,6.49,6.61,6.33,6.48,25400,6.48
2015-12-29,6.83,6.83,6.35,6.47,36500,6.47
2015-12-28,6.32,6.63,5.99,6.49,40700,6.49
2015-12-24,6.46,6.75,6.46,6.51,20400,6.51
2015-12-23,6.52,6.52,6.40,6.49,13300,6.49
2015-12-22,6.50,6.70,6.49,6.50,30400,6.50
2015-12-21,6.53,6.80,6.39,6.52,27300,6.52
2015-12-18,6.82,6.89,6.40,6.50,113800,6.50
2015-12-17,6.78,6.97,6.40,6.54,40200,6.54
2015-12-16,6.56,6.82,6.50,6.71,27900,6.71
2015-12-15,6.23,6.51,6.23,6.50,20800,6.50
2015-12-14,5.87,6.53,5.87,6.44,25700,6.44
2015-12-11,6.01,6.30,5.91,5.93,33500,5.93
2015-12-10,6.23,6.45,6.23,6.25,19200,6.25
2015-12-09,6.13,6.30,6.13,6.20,20900,6.20
2015-12-08,6.47,6.54,6.37,6.39,21900,6.39
2015-12-07,6.59,6.71,6.41,6.53,23600,6.53
2015-12-04,6.41,6.67,6.41,6.62,20800,6.62
2015-12-03,6.63,6.63,6.40,6.40,26800,6.40
2015-12-02,6.97,7.00,6.62,6.62,20100,6.62
2015-12-01,6.87,7.02,6.87,7.00,26200,7.00
2015-11-30,6.97,7.02,6.69,6.87,48900,6.87
2015-11-27,6.94,7.05,6.94,6.99,16300,6.99
2015-11-25,7.05,7.05,6.59,6.98,38200,6.98
2015-11-24,6.59,7.05,6.59,7.02,31400,7.02
2015-11-23,6.71,6.99,6.71,6.98,19700,6.98
2015-11-20,6.83,6.97,6.74,6.78,24000,6.78
2015-11-19,6.89,6.95,6.61,6.75,18400,6.75
2015-11-18,6.63,7.05,6.63,6.78,36800,6.755
2015-11-17,6.97,7.00,6.83,6.86,23200,6.834705
2015-11-16,7.05,7.05,6.26,7.00,29400,6.974189
2015-11-13,6.33,6.61,6.32,6.48,27700,6.456106
2015-11-12,6.64,6.76,6.49,6.57,16500,6.545774
2015-11-11,6.81,6.87,6.81,6.81,5600,6.784889
2015-11-10,7.00,7.26,6.73,6.96,27000,6.934336
2015-11-09,7.12,7.26,6.72,6.82,25800,6.794853
2015-11-06,6.85,7.26,6.85,7.00,34000,6.974189
2015-11-05,7.09,7.10,6.91,6.95,20200,6.924373
2015-11-04,7.02,7.05,6.82,7.00,27000,6.974189
2015-11-03,6.90,7.39,6.61,6.87,26000,6.844668
