Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,5.64,5.64,5.35,5.55,483500,5.55
2016-01-21,5.37,5.42,5.28,5.29,566100,5.29
2016-01-20,5.31,5.42,5.23,5.36,461500,5.36
2016-01-19,5.43,5.44,5.32,5.38,455700,5.38
2016-01-15,5.47,5.49,5.30,5.35,754900,5.35
2016-01-14,5.60,5.66,5.55,5.57,502000,5.57
2016-01-13,5.73,5.75,5.54,5.56,469300,5.56
2016-01-12,5.84,5.84,5.64,5.69,447400,5.69
2016-01-11,5.80,5.89,5.74,5.75,263500,5.75
2016-01-08,5.97,5.97,5.73,5.74,470200,5.74
2016-01-07,5.95,6.05,5.94,5.94,319600,5.94
2016-01-06,6.05,6.11,6.01,6.04,386100,6.04
2016-01-05,6.01,6.11,5.96,6.11,384200,6.11
2016-01-04,6.08,6.37,5.95,5.96,343700,5.96
2015-12-31,6.32,6.36,6.13,6.14,310500,6.14
2015-12-30,6.35,6.42,6.27,6.38,259200,6.38
2015-12-29,6.32,6.38,6.25,6.35,194800,6.35
2015-12-28,6.30,6.30,6.17,6.27,233600,6.27
2015-12-24,6.28,6.37,6.10,6.31,153500,6.31
2015-12-23,6.23,6.28,6.20,6.26,115700,6.26
2015-12-22,6.22,6.22,6.11,6.21,130100,6.21
2015-12-21,6.19,6.28,6.12,6.19,231000,6.19
2015-12-18,6.23,6.32,6.11,6.17,1512300,6.17
2015-12-17,6.42,6.42,6.24,6.25,271000,6.25
2015-12-16,6.30,6.38,6.23,6.35,453900,6.35
2015-12-15,6.07,6.29,6.04,6.28,408500,6.28
2015-12-14,5.89,6.01,5.85,6.00,338800,6.00
2015-12-11,5.85,5.98,5.85,5.90,289200,5.90
2015-12-10,6.00,6.16,5.96,5.97,159800,5.97
2015-12-09,6.06,6.24,5.94,5.97,228400,5.97
2015-12-08,6.17,6.20,6.05,6.06,177700,6.06
2015-12-07,6.30,6.46,6.17,6.20,200500,6.20
2015-12-04,6.25,6.39,6.25,6.34,212500,6.34
2015-12-03,6.42,6.48,6.27,6.28,300300,6.28
2015-12-02,6.49,6.52,6.38,6.39,190200,6.39
2015-12-01,6.55,6.63,6.48,6.52,179700,6.454
2015-11-30,6.56,6.61,6.51,6.56,214800,6.493595
2015-11-27,6.58,6.60,6.52,6.57,82200,6.503494
2015-11-25,6.52,6.60,6.47,6.60,162200,6.53319
2015-11-24,6.46,6.54,6.42,6.53,123200,6.463899
2015-11-23,6.48,6.54,6.45,6.48,128500,6.414405
2015-11-20,6.48,6.52,6.42,6.47,216800,6.404506
2015-11-19,6.47,6.53,6.43,6.48,161600,6.414405
2015-11-18,6.43,6.52,6.41,6.49,300000,6.424303
2015-11-17,6.43,6.51,6.39,6.43,354100,6.364911
2015-11-16,6.33,6.39,6.28,6.38,253800,6.315417
2015-11-13,6.27,6.38,6.27,6.31,208100,6.246126
2015-11-12,6.39,6.41,6.32,6.32,182700,6.256025
2015-11-11,6.46,6.49,6.39,6.40,191500,6.335215
2015-11-10,6.43,6.46,6.33,6.42,313700,6.355012
2015-11-09,6.41,6.49,6.38,6.43,277600,6.364911
2015-11-06,6.38,6.44,6.31,6.44,1711200,6.37481
2015-11-05,6.30,6.48,6.29,6.36,1658500,6.29562
2015-11-04,6.33,6.36,6.26,6.32,190200,6.256025
2015-11-03,6.32,6.38,6.25,6.31,286900,6.246126
2015-11-02,6.25,6.31,6.21,6.31,212800,6.246126
2015-10-30,6.42,6.42,6.17,6.23,252300,6.166935
2015-10-29,6.48,6.53,6.36,6.40,282200,6.335215
2015-10-28,6.31,6.51,6.29,6.50,390800,6.434202
2015-10-27,6.39,6.39,6.22,6.27,240100,6.206531
2015-10-26,6.42,6.44,6.34,6.37,210100,6.305518
2015-10-23,6.30,6.47,6.27,6.42,396500,6.355012
2015-10-22,6.01,6.30,6.01,6.28,496900,6.21643
2015-10-21,6.09,6.11,6.00,6.00,206900,5.939264
2015-10-20,5.99,6.06,5.96,6.04,183500,5.978859
2015-10-19,6.01,6.05,5.95,6.02,190800,5.959061
2015-10-16,6.03,6.03,5.92,5.99,158700,5.929365
2015-10-15,5.89,6.02,5.85,6.00,304900,5.939264
2015-10-14,6.05,6.05,5.85,5.87,264200,5.81058
2015-10-13,6.12,6.15,6.06,6.07,280600,6.008555
2015-10-12,5.91,6.19,5.91,6.13,1213500,6.067948
2015-10-09,6.06,6.11,5.96,5.96,318900,5.899669
2015-10-08,6.03,6.12,5.99,6.06,559500,5.998656
2015-10-07,6.03,6.12,5.99,6.07,984500,6.008555
2015-10-06,5.90,5.94,5.84,5.85,211500,5.790782
2015-10-05,5.78,5.92,5.77,5.88,354800,5.820479
2015-10-02,5.79,5.79,5.60,5.74,343100,5.681895
2015-10-01,5.88,5.88,5.74,5.79,269100,5.731389
2015-09-30,5.89,5.89,5.78,5.84,366600,5.780883
2015-09-29,5.82,5.89,5.82,5.86,299400,5.800681
2015-09-28,5.95,5.95,5.82,5.83,323900,5.770984
2015-09-25,5.94,6.05,5.83,5.95,329900,5.88977
2015-09-24,5.78,5.90,5.77,5.88,348400,5.820479
2015-09-23,5.81,5.85,5.78,5.83,330700,5.770984
2015-09-22,5.75,5.83,5.75,5.80,269600,5.741288
2015-09-21,5.69,5.83,5.69,5.81,239500,5.751187
2015-09-18,5.70,5.79,5.61,5.63,699300,5.573009
2015-09-17,5.80,5.92,5.74,5.76,211000,5.701693
2015-09-16,5.87,5.91,5.83,5.83,198200,5.770984
2015-09-15,5.82,5.89,5.82,5.87,176900,5.81058
2015-09-14,5.81,5.86,5.79,5.79,128500,5.731389
2015-09-11,5.77,5.84,5.75,5.81,115900,5.751187
2015-09-10,5.77,5.87,5.74,5.82,106500,5.761086
2015-09-09,5.84,5.90,5.78,5.78,338600,5.721491
2015-09-08,5.80,5.83,5.78,5.81,319900,5.751187
2015-09-04,5.60,5.75,5.60,5.73,323700,5.671997
2015-09-03,5.68,5.76,5.64,5.68,297000,5.622503
2015-09-02,5.70,5.74,5.61,5.65,456900,5.592807
2015-09-01,5.87,5.87,5.70,5.72,294400,5.596766
2015-08-31,5.86,5.93,5.84,5.92,154100,5.792458
2015-08-28,5.84,5.92,5.82,5.89,189900,5.763104
2015-08-27,5.90,5.94,5.83,5.88,411300,5.753319
2015-08-26,5.83,5.90,5.74,5.89,254800,5.763104
2015-08-25,5.97,6.03,5.70,5.70,362400,5.577197
2015-08-24,5.79,6.00,5.59,5.80,526400,5.675043
2015-08-21,5.96,6.16,5.95,6.04,1017700,5.909872
2015-08-20,6.09,6.13,6.05,6.05,377700,5.919657
2015-08-19,6.14,6.19,6.10,6.10,181100,5.968579
2015-08-18,6.16,6.22,6.14,6.15,268400,6.017502
2015-08-17,6.13,6.24,6.12,6.20,389900,6.066425
2015-08-14,6.08,6.18,6.08,6.18,335500,6.046856
2015-08-13,6.08,6.17,6.08,6.11,345900,5.978364
2015-08-12,6.11,6.17,6.05,6.11,453600,5.978364
2015-08-11,6.10,6.14,6.05,6.13,308700,5.997933
2015-08-10,6.16,6.23,6.13,6.15,547000,6.017502
2015-08-07,6.17,6.22,6.12,6.17,745900,6.037072
2015-08-06,6.23,6.25,6.17,6.21,281000,6.07621
2015-08-05,6.26,6.26,6.19,6.22,309500,6.085994
2015-08-04,6.22,6.27,6.19,6.23,418900,6.095779
2015-08-03,6.21,6.27,6.16,6.19,521100,6.056641
2015-07-31,6.28,6.32,6.19,6.23,414700,6.095779
2015-07-30,6.19,6.27,6.18,6.27,437400,6.134917
2015-07-29,6.18,6.25,6.15,6.24,333600,6.105563
2015-07-28,6.23,6.23,6.16,6.18,595600,6.046856
2015-07-27,6.18,6.24,6.15,6.18,350200,6.046856
2015-07-24,6.38,6.39,6.15,6.19,913000,6.056641
2015-07-23,6.67,6.67,6.38,6.41,1448600,6.271901
2015-07-22,7.00,7.08,6.79,6.81,436000,6.663283
2015-07-21,7.03,7.11,7.00,7.02,136100,6.868759
2015-07-20,7.09,7.10,7.01,7.04,159600,6.888328
2015-07-17,7.12,7.12,7.01,7.06,119800,6.907897
2015-07-16,7.08,7.13,7.06,7.10,448400,6.947035
2015-07-15,7.11,7.13,7.03,7.06,385600,6.907897
2015-07-14,7.04,7.14,7.03,7.09,143300,6.937251
2015-07-13,7.03,7.11,7.03,7.09,113800,6.937251
2015-07-10,6.99,7.05,6.99,7.04,213100,6.888328
2015-07-09,6.98,7.00,6.88,6.93,350200,6.780698
2015-07-08,6.88,6.96,6.86,6.92,186400,6.770913
