Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,35.049999,35.790001,34.610001,35.619999,981200,35.619999
2016-01-21,35.18,35.369999,34.50,34.68,956300,34.68
2016-01-20,35.360001,35.560001,34.200001,35.119999,1168400,35.119999
2016-01-19,36.299999,36.41,35.360001,35.779999,906300,35.779999
2016-01-15,35.439999,36.130001,34.290001,36.119999,821400,36.119999
2016-01-14,35.610001,36.52,34.82,36.25,954200,36.25
2016-01-13,35.759998,36.060001,35.299999,35.450001,684800,35.450001
2016-01-12,34.459999,35.799999,34.23,35.740002,849900,35.740002
2016-01-11,34.720001,34.970001,33.799999,34.310001,519200,34.310001
2016-01-08,34.389999,35.150002,34.349998,34.630001,883800,34.630001
2016-01-07,34.759998,35.189999,34.41,34.52,593500,34.52
2016-01-06,35.040001,35.59,34.959999,35.25,407700,35.25
2016-01-05,35.27,36.00,35.049999,35.560001,896700,35.560001
2016-01-04,35.080002,35.380001,34.759998,35.27,855300,35.27
2015-12-31,35.799999,36.029999,35.50,35.77,468900,35.77
2015-12-30,36.09,36.09,35.77,35.830002,251300,35.830002
2015-12-29,35.900002,36.330002,35.740002,36.060001,335900,36.060001
2015-12-28,35.52,35.889999,35.290001,35.830002,382200,35.830002
2015-12-24,35.619999,35.860001,35.470001,35.73,166000,35.73
2015-12-23,35.400002,35.849998,35.18,35.73,552600,35.73
2015-12-22,35.049999,35.369999,34.59,35.32,506500,35.32
2015-12-21,34.259998,35.099998,34.07,35.009998,582500,35.009998
2015-12-18,34.459999,34.830002,34.110001,34.119999,1178500,34.119999
2015-12-17,34.849998,35.040001,34.310001,34.509998,378200,34.509998
2015-12-16,34.73,34.959999,34.220001,34.720001,326700,34.720001
2015-12-15,34.740002,35.009998,34.560001,34.639999,436900,34.639999
2015-12-14,34.209999,34.759998,34.169998,34.720001,692800,34.720001
2015-12-11,34.00,34.700001,34.00,34.41,668300,34.239999
2015-12-10,34.549999,34.779999,34.259998,34.59,453800,34.41911
2015-12-09,34.860001,35.400002,34.57,34.57,249700,34.399208
2015-12-08,34.790001,35.43,34.689999,34.93,391100,34.75743
2015-12-07,34.919998,35.419998,34.919998,35.200001,406900,35.026097
2015-12-04,34.110001,34.939999,34.110001,34.93,394100,34.75743
2015-12-03,34.779999,34.91,33.93,34.099998,324400,33.931529
2015-12-02,34.529999,34.990002,34.50,34.740002,284000,34.56837
2015-12-01,35.110001,35.360001,34.509998,34.59,493700,34.41911
2015-11-30,35.459999,35.529999,34.849998,35.00,402700,34.827084
2015-11-27,35.57,35.700001,35.380001,35.490002,162500,35.314665
2015-11-25,34.880001,35.759998,34.82,35.599998,327600,35.424118
2015-11-24,35.040001,35.189999,34.389999,34.830002,344100,34.657926
2015-11-23,34.610001,35.32,34.610001,35.16,445900,34.986294
2015-11-20,34.259998,35.009998,34.200001,34.830002,537600,34.657926
2015-11-19,34.119999,34.209999,33.830002,34.07,470900,33.901679
2015-11-18,34.02,34.27,33.709999,34.110001,800600,33.941482
2015-11-17,34.369999,34.759998,33.939999,34.00,949000,33.832025
2015-11-16,33.849998,34.529999,33.830002,34.279999,810200,34.11064
2015-11-13,34.419998,34.48,33.759998,33.91,833800,33.742469
2015-11-12,33.990002,34.48,33.950001,34.130001,658700,33.961383
2015-11-11,33.98,34.400002,33.639999,34.25,571800,34.08079
2015-11-10,33.50,33.880001,33.259998,33.869999,469000,33.702666
2015-11-09,33.849998,34.009998,33.23,33.50,488800,33.334495
2015-11-06,33.77,34.200001,33.68,33.779999,778300,33.61311
2015-11-05,34.169998,34.599998,33.060001,33.939999,1488900,33.77232
2015-11-04,35.93,36.080002,34.43,34.82,1270600,34.647973
2015-11-03,36.150002,37.490002,35.970001,36.00,2624300,35.822144
2015-11-02,34.470001,35.099998,34.00,35.009998,1454100,34.837033
2015-10-30,35.07,35.41,34.099998,34.349998,1585800,34.180294
2015-10-29,36.599998,36.599998,35.110001,35.139999,1051900,34.966392
2015-10-28,35.709999,37.099998,35.439999,37.049999,635700,36.866956
2015-10-27,36.00,36.00,35.48,35.73,635800,35.553477
2015-10-26,35.810001,36.139999,35.50,35.900002,1109600,35.722639
2015-10-23,36.00,36.02,35.349998,36.02,656500,35.842045
2015-10-22,35.509998,35.75,35.060001,35.57,943800,35.394268
2015-10-21,36.669998,36.700001,35.099998,35.16,1071500,34.986294
2015-10-20,37.490002,37.610001,36.450001,36.650002,751600,36.468934
2015-10-19,36.990002,37.82,36.560001,37.709999,1009800,37.523695
2015-10-16,36.209999,36.630001,35.82,36.419998,661600,36.240067
2015-10-15,36.16,36.23,35.049999,36.080002,1394700,35.90175
2015-10-14,37.540001,37.669998,35.91,35.990002,1058500,35.812195
2015-10-13,38.150002,38.439999,37.369999,37.509998,653100,37.324682
2015-10-12,38.099998,38.34,38.049999,38.130001,446000,37.941622
2015-10-09,38.169998,38.310001,37.880001,38.060001,548200,37.871968
2015-10-08,38.27,38.639999,37.669998,38.189999,567100,38.001323
2015-10-07,38.040001,38.380001,37.580002,38.369999,584000,38.180434
2015-10-06,38.279999,38.52,37.740002,38.200001,537100,38.011276
2015-10-05,37.369999,38.32,37.189999,38.189999,559800,38.001323
2015-10-02,36.700001,37.16,36.380001,37.150002,559800,36.966464
2015-10-01,37.130001,37.240002,36.389999,36.900002,683300,36.717699
2015-09-30,37.470001,37.84,37.040001,37.200001,415500,37.016216
2015-09-29,37.630001,37.849998,36.849998,37.080002,515200,36.89681
2015-09-28,37.990002,38.25,36.59,37.200001,653500,37.016216
2015-09-25,38.099998,38.830002,37.759998,38.119999,617900,37.931669
2015-09-24,37.59,38.00,37.00,37.900002,763900,37.712758
2015-09-23,37.889999,38.00,37.509998,37.720001,398100,37.533647
2015-09-22,37.380001,37.779999,37.18,37.740002,492000,37.553549
2015-09-21,37.580002,38.189999,37.439999,37.66,357700,37.473942
2015-09-18,37.450001,37.93,37.299999,37.470001,541600,37.284883
2015-09-17,37.41,38.279999,37.279999,37.91,467300,37.722707
2015-09-16,37.380001,37.57,36.990002,37.41,391000,37.225178
2015-09-15,37.759998,37.77,37.259998,37.43,335600,37.245079
2015-09-14,37.84,38.080002,37.41,37.759998,251000,37.573447
2015-09-11,37.50,38.029999,37.279999,38.02,407600,37.663006
2015-09-10,36.98,37.299999,36.810001,37.07,239200,36.721926
2015-09-09,37.700001,37.810001,36.950001,37.00,327600,36.652583
2015-09-08,37.150002,37.580002,36.98,37.43,379600,37.078546
2015-09-04,36.310001,37.18,36.310001,36.689999,260900,36.345493
2015-09-03,36.959999,37.189999,36.490002,36.650002,451700,36.305871
2015-09-02,36.060001,36.919998,35.849998,36.91,703200,36.563428
2015-09-01,35.490002,36.139999,35.380001,35.75,586600,35.41432
2015-08-31,36.48,36.849998,35.889999,35.990002,586800,35.652069
2015-08-28,36.23,36.709999,36.119999,36.450001,456600,36.107748
2015-08-27,36.490002,36.759998,35.830002,36.389999,787100,36.04831
2015-08-26,36.400002,36.439999,35.43,36.34,511100,35.998781
2015-08-25,36.860001,37.18,35.700001,35.830002,602900,35.493571
2015-08-24,35.220001,36.740002,31.549999,36.130001,1013000,35.790753
2015-08-21,36.639999,37.099998,36.299999,36.75,488400,36.404931
2015-08-20,37.950001,38.07,37.23,37.25,326400,36.900236
2015-08-19,38.439999,38.439999,37.860001,38.209999,281900,37.851221
2015-08-18,38.799999,39.09,38.41,38.450001,331900,38.088969
2015-08-17,38.689999,38.950001,38.400002,38.799999,198700,38.435681
