Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,9.36,9.36,9.20,9.20,800,9.20
2016-01-21,9.05,9.07,9.05,9.07,1100,9.07
2016-01-20,9.41,9.41,9.05,9.05,900,9.05
2016-01-19,9.27,9.27,9.27,9.27,1300,9.27
2016-01-15,9.43,9.43,9.43,9.43,200,9.43
2016-01-14,9.14,9.14,9.14,9.14,000,9.14
2016-01-13,9.14,9.14,9.14,9.14,000,9.14
2016-01-12,9.14,9.14,9.14,9.14,100,9.14
2016-01-11,9.23,9.23,9.23,9.23,200,9.23
2016-01-08,9.35,9.35,9.35,9.35,300,9.35
2016-01-07,9.27,9.40,9.10,9.40,2000,9.40
2016-01-06,9.36,9.55,8.81,9.00,5600,9.00
2016-01-05,9.50,9.50,9.16,9.16,4600,9.16
2016-01-04,9.68,9.75,9.55,9.55,7400,9.55
2015-12-31,9.66,9.66,9.42,9.59,4400,9.59
2015-12-30,9.55,9.75,9.50,9.50,3300,9.50
2015-12-29,9.44,9.48,9.42,9.48,2400,9.48
2015-12-28,9.44,9.44,9.40,9.40,2200,9.40
2015-12-24,9.45,9.50,9.21,9.49,6700,9.49
2015-12-23,9.18,9.44,9.18,9.44,9400,9.44
2015-12-22,9.37,9.50,9.14,9.47,5200,9.47
2015-12-21,9.24,9.24,9.07,9.23,3300,9.23
2015-12-18,9.14,9.49,9.14,9.49,3700,9.49
2015-12-17,9.39,9.39,8.90,8.90,500,8.90
2015-12-16,9.20,9.20,8.87,8.88,3900,8.88
2015-12-15,9.31,9.40,9.29,9.37,1300,9.37
2015-12-14,9.15,9.22,9.10,9.10,1500,9.10
2015-12-11,9.11,9.39,8.76,9.39,2500,9.39
2015-12-10,9.02,9.02,9.02,9.02,1100,9.02
2015-12-09,9.40,9.40,8.85,9.02,1100,9.02
2015-12-08,9.15,9.25,8.88,9.24,7400,9.24
2015-12-07,8.90,9.32,8.76,8.76,6400,8.76
2015-12-04,9.48,9.49,8.87,9.40,5300,9.40
2015-12-03,9.48,9.48,9.37,9.37,1000,9.22
2015-12-02,9.21,9.42,9.00,9.16,4700,9.013361
2015-12-01,9.09,9.19,9.09,9.19,1500,9.042881
2015-11-30,9.10,9.15,8.96,8.98,2400,8.836243
2015-11-27,9.27,9.47,8.34,8.99,3900,8.846083
2015-11-25,9.27,9.27,9.27,9.27,400,9.121601
2015-11-24,9.15,9.16,9.10,9.10,1100,8.954323
2015-11-23,8.70,9.03,8.70,9.03,1200,8.885442
2015-11-20,9.16,9.16,8.46,8.64,7600,8.501686
2015-11-19,8.63,8.94,8.63,8.87,3000,8.728004
2015-11-18,8.92,8.92,8.27,8.36,3100,8.226168
2015-11-17,8.57,8.65,8.55,8.59,4500,8.452487
2015-11-16,8.41,8.60,8.41,8.60,1200,8.462327
2015-11-13,8.92,8.92,8.13,8.15,19200,8.01953
2015-11-12,9.00,9.00,9.00,9.00,300,8.855923
2015-11-11,9.00,9.24,9.00,9.24,500,9.092081
2015-11-10,8.80,8.92,8.80,8.90,2400,8.757523
2015-11-09,8.76,8.76,8.65,8.72,700,8.580406
2015-11-06,8.77,8.84,8.77,8.84,900,8.698485
2015-11-05,8.63,8.63,8.63,8.63,000,8.491846
2015-11-04,8.64,8.64,8.63,8.63,1200,8.491846
2015-11-03,8.84,8.84,8.60,8.68,6400,8.541046
2015-11-02,8.88,8.94,8.80,8.80,900,8.659125
2015-10-30,8.74,8.74,8.74,8.74,200,8.600085
2015-10-29,8.65,8.65,8.65,8.65,000,8.511526
2015-10-28,8.65,8.65,8.65,8.65,000,8.511526
2015-10-27,9.03,9.03,8.51,8.65,1300,8.511526
2015-10-26,8.85,9.03,8.66,9.03,2300,8.885442
2015-10-23,8.84,8.84,8.84,8.84,400,8.698485
2015-10-22,8.90,8.90,8.90,8.90,000,8.757523
2015-10-21,9.00,9.00,8.84,8.90,2200,8.757523
2015-10-20,9.30,9.30,9.30,9.30,000,9.151121
2015-10-19,9.30,9.30,9.30,9.30,600,9.151121
2015-10-16,9.40,9.40,9.16,9.20,3700,9.052721
2015-10-15,9.20,9.50,9.20,9.50,1600,9.347919
2015-10-14,9.44,9.44,9.44,9.44,200,9.288879
2015-10-13,9.44,9.44,9.44,9.44,200,9.288879
2015-10-12,9.30,9.30,9.30,9.30,400,9.151121
2015-10-09,9.18,9.18,9.18,9.18,100,9.033042
2015-10-08,9.15,9.37,9.15,9.37,500,9.22
2015-10-07,9.20,9.44,9.20,9.43,1200,9.27904
2015-10-06,9.20,9.20,9.20,9.20,300,9.052721
2015-10-05,9.44,9.44,9.08,9.08,300,8.934642
2015-10-02,9.40,9.40,9.05,9.23,800,9.082241
2015-10-01,9.20,9.20,8.76,9.00,3200,8.855923
2015-09-30,9.35,9.35,8.89,9.07,1100,8.924802
2015-09-29,9.25,9.50,9.06,9.25,9700,9.101921
2015-09-28,9.44,9.44,9.23,9.34,1100,9.19048
2015-09-25,9.44,9.50,9.01,9.50,8100,9.347919
2015-09-24,9.15,9.50,9.11,9.36,13100,9.21016
2015-09-23,9.06,9.15,9.06,9.12,7900,8.974002
2015-09-22,9.20,9.20,8.91,9.15,5400,9.003521
2015-09-21,9.25,9.25,8.76,8.82,39000,8.678804
