Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,33.32,33.669998,32.900002,33.41,345000,33.41
2016-01-21,33.470001,33.689999,32.880001,32.93,445800,32.93
2016-01-20,32.560001,33.900002,32.27,33.299999,439700,33.299999
2016-01-19,33.900002,34.099998,33.139999,33.310001,405700,33.310001
2016-01-15,32.740002,33.52,32.459999,33.48,560900,33.48
2016-01-14,33.830002,34.139999,33.299999,33.75,414900,33.75
2016-01-13,34.810001,34.84,33.32,33.50,424500,33.50
2016-01-12,35.23,35.23,34.209999,34.75,382800,34.75
2016-01-11,35.389999,36.400002,34.509998,34.82,505000,34.82
2016-01-08,35.299999,35.299999,34.290001,34.389999,587600,34.389999
2016-01-07,35.299999,35.700001,34.799999,34.889999,414200,34.889999
2016-01-06,35.50,36.060001,35.369999,35.939999,380900,35.939999
2016-01-05,36.18,36.279999,35.77,36.080002,376300,36.080002
2016-01-04,36.799999,36.799999,35.720001,35.919998,535700,35.919998
2015-12-31,37.259998,37.610001,36.950001,36.990002,321000,36.990002
2015-12-30,37.970001,38.029999,37.380001,37.400002,320500,37.400002
2015-12-29,37.84,38.130001,37.709999,38.00,297000,38.00
2015-12-28,37.66,37.880001,37.220001,37.669998,241700,37.669998
2015-12-24,37.59,37.990002,37.560001,37.68,164600,37.68
2015-12-23,37.68,37.810001,37.32,37.73,243800,37.73
2015-12-22,37.470001,37.639999,36.75,37.450001,319100,37.450001
2015-12-21,37.23,37.84,36.939999,37.34,424400,37.34
2015-12-18,37.380001,37.549999,36.41,37.139999,3982200,37.139999
2015-12-17,38.23,38.790001,37.400002,37.619999,488900,37.619999
2015-12-16,38.259998,38.66,37.419998,38.209999,697000,38.209999
2015-12-15,37.639999,38.290001,37.25,38.080002,630800,38.080002
2015-12-14,37.080002,37.50,36.50,37.23,935900,37.23
2015-12-11,37.110001,37.810001,36.849998,37.110001,690800,37.110001
2015-12-10,38.200001,38.59,37.869999,37.990002,1017000,37.990002
2015-12-09,39.09,39.439999,38.139999,38.400002,596900,38.400002
2015-12-08,39.880001,40.380001,39.009998,39.459999,484600,39.129999
