Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,19.040001,20.10,19.040001,19.950001,3500,19.950001
2016-01-21,20.02,20.25,18.40,18.709999,13500,18.709999
2016-01-20,21.299999,21.299999,19.540001,20.66,7700,20.66
2016-01-19,21.709999,22.50,21.01,21.60,7400,21.60
2016-01-15,22.17,22.360001,20.59,21.040001,13100,21.040001
2016-01-14,22.43,22.99,21.99,22.52,4100,22.52
2016-01-13,22.10,23.00,22.10,22.25,6800,22.25
2016-01-12,21.700001,23.49,21.700001,22.780001,6000,22.780001
2016-01-11,20.91,22.040001,20.780001,21.559999,6700,21.559999
2016-01-08,20.50,21.00,19.68,19.68,2400,19.68
2016-01-07,18.57,20.60,18.57,20.60,2700,20.60
2016-01-06,20.02,20.85,20.02,20.59,6200,20.59
2016-01-05,21.07,21.18,20.389999,20.85,4700,20.85
2016-01-04,19.25,21.290001,19.25,20.299999,8200,20.299999
2015-12-31,19.10,19.25,19.10,19.15,2400,19.15
2015-12-30,19.219999,19.219999,19.02,19.07,1100,19.07
2015-12-29,19.049999,19.209999,19.040001,19.049999,4400,19.049999
2015-12-28,19.049999,19.049999,18.85,19.00,2100,19.00
2015-12-24,19.049999,19.049999,19.049999,19.049999,000,19.049999
2015-12-23,19.07,19.09,18.959999,19.049999,1300,19.049999
2015-12-22,19.10,19.10,18.91,19.040001,600,19.040001
2015-12-21,19.10,19.200001,18.74,19.10,1600,19.10
2015-12-18,18.959999,19.09,18.950001,18.950001,3000,18.950001
2015-12-17,18.870001,18.90,18.75,18.90,700,18.90
2015-12-16,18.870001,18.959999,18.530001,18.959999,1900,18.959999
2015-12-15,19.00,19.00,18.50,18.690001,7600,18.690001
2015-12-14,18.50,18.799999,18.50,18.799999,2300,18.799999
2015-12-11,18.610001,18.940001,18.610001,18.719999,3900,18.719999
2015-12-10,18.809999,18.950001,18.809999,18.85,1500,18.85
2015-12-09,18.58,18.66,18.58,18.66,600,18.66
2015-12-08,18.40,19.00,18.40,19.00,3900,19.00
2015-12-07,18.57,18.59,18.57,18.59,500,18.59
2015-12-04,18.74,18.74,18.48,18.58,5500,18.58
2015-12-03,18.41,18.60,18.41,18.469999,3900,18.469999
2015-12-02,18.549999,18.549999,18.48,18.48,1100,18.48
2015-12-01,18.440001,18.57,18.299999,18.40,2400,18.40
2015-11-30,18.43,18.43,18.049999,18.139999,4100,18.139999
2015-11-27,18.99,18.99,18.139999,18.49,2900,18.49
2015-11-25,19.07,19.07,19.07,19.07,800,18.57
2015-11-24,19.049999,19.049999,18.92,18.92,500,18.423933
2015-11-23,18.549999,18.92,18.549999,18.82,1500,18.326555
2015-11-20,18.559999,18.559999,18.50,18.549999,500,18.063633
2015-11-19,18.299999,18.450001,18.299999,18.450001,1900,17.966257
2015-11-18,18.450001,18.450001,18.35,18.35,1200,17.868878
2015-11-17,18.66,18.66,18.370001,18.450001,1300,17.966257
2015-11-16,19.219999,19.219999,18.299999,18.639999,800,18.151274
2015-11-13,18.35,18.389999,18.129999,18.309999,3300,17.829926
2015-11-12,18.459999,18.469999,18.26,18.290001,2200,17.810452
2015-11-11,18.620001,18.85,18.50,18.51,3700,18.024683
2015-11-10,19.549999,19.65,18.50,18.84,9000,18.346031
2015-11-09,19.799999,20.00,19.50,19.65,8100,19.134793
2015-11-06,20.52,20.92,20.40,20.50,3300,19.962507
2015-11-05,20.370001,20.889999,20.35,20.889999,5400,20.342281
2015-11-04,19.99,20.35,19.969999,20.15,3900,19.621683
2015-11-03,19.110001,19.92,19.110001,19.92,2400,19.397714
2015-11-02,19.09,19.530001,18.860001,19.530001,4900,19.01794
2015-10-30,18.379999,19.15,18.379999,19.15,1400,18.647902
2015-10-29,18.860001,19.129999,18.540001,18.84,1000,18.346031
2015-10-28,18.459999,18.50,18.440001,18.50,1500,18.014945
2015-10-27,18.48,18.48,18.459999,18.459999,1300,17.975993
2015-10-26,18.83,18.83,18.83,18.83,300,18.336293
2015-10-23,18.60,19.139999,18.290001,19.00,2900,18.501835
2015-10-22,18.65,18.65,18.26,18.65,400,18.161012
2015-10-21,18.690001,18.690001,18.50,18.50,1900,18.014945
2015-10-20,19.049999,19.049999,18.75,18.75,400,18.25839
2015-10-19,19.200001,19.200001,18.709999,18.709999,1300,18.219438
2015-10-16,19.15,19.17,18.459999,18.67,4500,18.180488
2015-10-15,18.860001,19.049999,18.860001,19.049999,600,18.550524
2015-10-14,18.799999,18.799999,18.799999,18.799999,300,18.307079
2015-10-13,18.549999,18.82,18.549999,18.57,700,18.083109
2015-10-12,19.08,19.18,18.200001,18.450001,2300,17.966257
2015-10-09,18.059999,18.299999,18.059999,18.299999,1500,17.820188
2015-10-08,18.15,18.299999,18.09,18.09,2800,17.615695
2015-10-07,18.129999,18.549999,18.129999,18.17,1400,17.693597
2015-10-06,18.879999,18.879999,18.059999,18.200001,4500,17.722812
2015-10-05,18.01,18.01,18.01,18.01,200,17.537793
2015-10-02,18.040001,18.799999,18.040001,18.129999,2400,17.654645
2015-10-01,18.93,18.93,18.93,18.93,600,18.433671
2015-09-30,18.00,18.15,18.00,18.02,500,17.547531
2015-09-29,18.059999,18.18,17.950001,18.00,5000,17.528055
2015-09-28,18.030001,19.120001,18.030001,18.450001,2000,17.966257
2015-09-25,18.16,18.16,18.16,18.16,200,17.683859
2015-09-24,18.10,18.10,18.01,18.01,2700,17.537793
2015-09-23,18.10,18.370001,18.10,18.10,1200,17.625433
2015-09-22,18.50,18.66,18.059999,18.110001,11700,17.635171
2015-09-21,18.469999,18.48,18.469999,18.48,500,17.995469
2015-09-18,18.50,19.01,18.50,18.620001,1400,18.1318
2015-09-17,18.639999,18.639999,18.639999,18.639999,1100,18.151274
2015-09-16,18.959999,19.17,18.43,18.639999,4300,18.151274
2015-09-15,18.780001,18.780001,18.780001,18.780001,400,18.287604
2015-09-14,18.639999,18.639999,18.50,18.50,600,18.014945
2015-09-11,18.50,18.50,18.50,18.50,100,18.014945
2015-09-10,18.549999,18.549999,18.549999,18.549999,100,18.063633
2015-09-09,19.18,19.18,19.030001,19.129999,700,18.628426
2015-09-08,19.190001,19.190001,18.65,18.700001,1000,18.209702
2015-09-04,18.32,19.200001,18.32,19.18,2100,18.677116
2015-09-03,18.49,18.52,18.299999,18.52,9500,18.034421
2015-09-02,18.48,18.59,18.299999,18.299999,1000,17.820188
2015-09-01,18.25,18.32,18.049999,18.110001,3800,17.635171
2015-08-31,18.60,18.60,18.440001,18.540001,2400,18.053897
2015-08-28,18.51,18.889999,18.51,18.60,2500,18.112323
2015-08-27,19.25,19.25,18.85,18.85,1100,18.355769
2015-08-26,18.219999,19.00,18.00,18.35,12100,17.868878
2015-08-25,19.25,19.25,17.90,18.00,39800,17.528055
2015-08-24,19.25,19.540001,18.75,18.75,6800,18.25839
2015-08-21,19.25,19.540001,19.25,19.540001,2400,19.027678
2015-08-20,19.25,19.68,19.25,19.540001,1800,19.027678
2015-08-19,19.35,19.43,19.200001,19.309999,1100,18.803707
2015-08-18,19.10,19.65,19.10,19.65,400,19.134793
2015-08-17,19.110001,19.25,19.10,19.24,3900,18.735543
2015-08-14,19.01,19.01,19.00,19.00,800,18.501835
2015-08-13,19.25,19.549999,19.00,19.209999,17900,18.706328
2015-08-12,19.74,19.74,19.25,19.26,900,18.755019
2015-08-11,19.09,19.629999,18.799999,19.629999,7300,19.115316
2015-08-10,19.33,19.809999,18.84,18.84,13000,18.346031
2015-08-07,19.120001,20.700001,19.01,19.01,10700,18.511573
2015-08-06,19.139999,19.860001,19.00,19.360001,1700,18.852397
2015-08-05,19.110001,21.00,18.90,19.950001,10600,19.426928
2015-08-04,19.85,19.85,19.07,19.27,1900,18.764757
2015-08-03,19.17,19.889999,19.07,19.24,13400,18.735543
2015-07-31,19.15,19.65,19.139999,19.41,600,18.901085
2015-07-30,19.629999,19.629999,19.629999,19.629999,000,19.115316
2015-07-29,19.43,19.68,19.360001,19.629999,1400,19.115316
2015-07-28,19.209999,19.66,19.120001,19.66,1500,19.144531
2015-07-27,19.200001,19.23,19.00,19.23,1400,18.725805
2015-07-24,19.16,19.85,19.15,19.16,2700,18.65764
2015-07-23,19.27,19.50,19.00,19.209999,3700,18.706328
2015-07-22,19.25,20.00,19.25,20.00,2300,19.475616
2015-07-21,19.27,19.27,19.27,19.27,200,18.764757
2015-07-20,19.50,19.50,18.75,18.75,1200,18.25839
2015-07-17,18.559999,18.559999,18.559999,18.559999,300,18.073371
2015-07-16,18.75,19.02,18.75,19.02,500,18.521311
2015-07-15,18.50,18.50,18.50,18.50,1200,18.014945
2015-07-14,19.10,19.10,18.719999,19.10,1100,18.599214
2015-07-13,19.10,19.10,18.709999,18.99,1400,18.492097
2015-07-10,18.40,18.40,18.40,18.40,200,17.917567
2015-07-09,18.940001,19.00,18.559999,18.940001,5200,18.443409
2015-07-08,18.620001,18.65,18.459999,18.459999,2800,17.975993
2015-07-07,18.83,19.01,18.559999,18.66,6900,18.17075
2015-07-06,18.85,18.85,18.85,18.85,500,18.355769
2015-07-02,19.01,19.450001,19.00,19.450001,400,18.940038
2015-07-01,19.43,19.43,19.34,19.379999,1400,18.871871
2015-06-30,18.60,19.48,18.60,19.10,1700,18.599214
2015-06-29,19.440001,19.549999,18.76,18.76,2800,18.268128
2015-06-26,19.309999,20.15,19.299999,20.15,2500,19.621683
2015-06-25,19.360001,19.59,19.309999,19.32,2400,18.813445
2015-06-24,19.83,19.83,19.360001,19.41,600,18.901085
2015-06-23,19.889999,19.889999,19.82,19.82,1900,19.300335
2015-06-22,19.370001,19.90,19.299999,19.790001,2500,19.271123
2015-06-19,20.309999,20.309999,18.99,19.049999,12100,18.550524
2015-06-18,21.379999,21.379999,20.25,20.27,1700,19.738537
2015-06-17,21.59,21.59,20.58,20.58,600,20.040409
2015-06-16,21.209999,21.59,20.549999,20.549999,1800,20.011195
2015-06-15,21.219999,21.98,20.129999,21.00,3600,20.449397
2015-06-12,21.99,21.99,21.200001,21.200001,1200,20.644154
2015-06-11,21.98,21.98,21.200001,21.32,3600,20.761007
2015-06-10,21.98,22.00,21.389999,21.98,2100,21.403702
2015-06-09,21.83,22.00,21.23,21.34,1100,20.780483
2015-06-08,22.870001,22.870001,21.60,21.60,7900,21.033666
2015-06-05,22.00,22.969999,22.00,22.60,2500,22.007447
2015-06-04,21.77,22.18,21.77,22.18,800,21.598459
2015-06-03,22.809999,22.809999,22.809999,22.809999,400,22.21194
2015-06-02,21.74,22.809999,21.74,22.809999,700,22.21194
2015-06-01,21.98,22.00,21.60,21.700001,5000,21.131044
2015-05-29,22.15,22.59,21.90,22.17,1500,21.588721
