Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,15.32,15.66,15.21,15.41,84600,15.41
2016-01-21,14.90,15.35,14.74,15.05,103100,15.05
2016-01-20,13.66,14.78,13.47,14.76,120300,14.76
2016-01-19,15.58,15.58,13.46,13.91,301400,13.91
2016-01-15,15.20,15.61,15.20,15.54,119400,15.54
2016-01-14,15.57,15.87,15.31,15.56,58400,15.56
2016-01-13,16.09,16.23,15.21,15.50,146500,15.50
2016-01-12,16.459999,16.459999,15.66,16.07,122900,16.07
2016-01-11,15.90,16.299999,15.70,16.129999,104200,16.129999
2016-01-08,15.95,16.370001,15.77,15.93,207500,15.93
2016-01-07,15.76,16.549999,15.76,15.98,90800,15.98
2016-01-06,16.32,16.65,16.00,16.09,125700,16.09
2016-01-05,17.129999,17.129999,16.32,16.549999,69600,16.549999
2016-01-04,16.83,17.08,16.16,17.049999,173600,17.049999
2015-12-31,17.690001,17.690001,17.040001,17.10,79700,17.10
2015-12-30,17.93,18.17,17.68,17.790001,65900,17.790001
2015-12-29,18.049999,18.32,17.68,17.99,54200,17.99
2015-12-28,18.02,18.35,17.75,17.969999,47500,17.969999
2015-12-24,17.950001,18.299999,17.950001,18.16,40100,18.16
2015-12-23,17.83,18.030001,17.77,17.99,50400,17.99
2015-12-22,17.549999,17.84,17.290001,17.66,42500,17.66
2015-12-21,17.879999,18.360001,17.26,17.49,94200,17.49
2015-12-18,18.91,18.91,17.700001,17.790001,396500,17.790001
2015-12-17,18.66,19.299999,18.66,19.049999,168400,19.049999
2015-12-16,18.469999,18.76,18.299999,18.629999,95500,18.629999
2015-12-15,17.940001,18.450001,17.870001,18.389999,97300,18.389999
2015-12-14,17.620001,18.01,17.51,17.799999,133300,17.799999
2015-12-11,18.09,18.34,17.450001,17.60,184000,17.60
2015-12-10,18.190001,18.50,18.049999,18.40,81500,18.40
2015-12-09,18.27,18.540001,18.09,18.23,49900,18.23
2015-12-08,18.25,18.780001,18.18,18.290001,75100,18.290001
2015-12-07,18.82,19.00,18.309999,18.43,121200,18.43
2015-12-04,18.57,19.02,18.200001,18.870001,60600,18.870001
2015-12-03,18.74,19.33,18.50,18.59,99600,18.59
2015-12-02,18.91,19.35,18.65,18.690001,88200,18.690001
2015-12-01,18.92,19.17,18.690001,18.950001,55600,18.950001
2015-11-30,18.799999,19.23,18.73,18.940001,101500,18.940001
2015-11-27,18.889999,19.049999,18.540001,18.74,59400,18.74
2015-11-25,19.02,19.16,18.66,18.879999,55300,18.879999
2015-11-24,18.59,19.190001,18.50,19.02,59100,19.02
2015-11-23,18.370001,18.940001,18.360001,18.709999,76100,18.709999
2015-11-20,18.68,18.959999,18.08,18.34,147200,18.34
2015-11-19,18.860001,18.91,18.030001,18.59,198800,18.59
2015-11-18,18.26,18.879999,18.209999,18.860001,195000,18.860001
2015-11-17,18.82,18.889999,18.190001,18.219999,112100,18.169999
2015-11-16,18.68,18.790001,18.35,18.77,124600,18.718491
2015-11-13,18.50,18.92,18.209999,18.75,107100,18.698545
2015-11-12,19.17,19.280001,18.530001,18.629999,144100,18.578874
2015-11-11,19.379999,19.690001,19.059999,19.360001,123100,19.306872
2015-11-10,19.16,19.41,18.74,19.389999,132400,19.336788
2015-11-09,19.35,19.77,19.07,19.25,220000,19.197173
2015-11-06,18.879999,19.58,18.629999,19.23,221900,19.177227
2015-11-05,18.16,19.00,18.09,18.870001,181300,18.818217
2015-11-04,18.32,18.440001,17.83,18.139999,211500,18.090219
2015-11-03,18.02,18.530001,17.91,18.23,293800,18.179972
2015-11-02,16.52,17.98,16.52,17.91,447100,17.86085
2015-10-30,17.360001,17.52,16.459999,16.52,193700,16.474665
2015-10-29,16.00,17.559999,16.00,17.43,430400,17.382168
2015-10-28,15.01,15.58,14.96,15.58,106100,15.537244
2015-10-27,15.50,15.50,14.68,14.96,94900,14.918946
2015-10-26,15.53,15.67,15.06,15.63,142800,15.587107
2015-10-23,15.61,15.85,15.28,15.50,91400,15.457464
2015-10-22,15.05,15.65,15.05,15.54,177200,15.497354
2015-10-21,15.33,15.45,15.00,15.02,80700,14.978782
2015-10-20,15.58,15.99,14.95,15.26,193700,15.218123
2015-10-19,15.16,15.99,15.15,15.77,196200,15.726724
2015-10-16,14.97,15.21,14.85,15.13,209900,15.088479
2015-10-15,14.63,15.09,14.56,14.91,158600,14.869083
2015-10-14,14.28,14.70,14.24,14.57,157700,14.530016
2015-10-13,14.78,15.17,14.20,14.33,141600,14.290675
2015-10-12,14.53,14.92,14.36,14.82,150900,14.77933
2015-10-09,14.28,14.58,14.16,14.49,76900,14.450235
2015-10-08,14.18,14.36,14.12,14.24,69700,14.200922
2015-10-07,13.57,14.27,13.57,14.25,149700,14.210894
2015-10-06,13.88,13.96,13.48,13.49,107800,13.45298
2015-10-05,13.13,13.93,13.12,13.91,147700,13.871827
2015-10-02,13.11,13.16,12.83,13.01,85400,12.974297
2015-10-01,13.11,13.30,13.04,13.18,106300,13.143831
2015-09-30,13.02,13.46,12.92,13.15,229600,13.113913
2015-09-29,12.50,13.29,12.41,12.93,259000,12.894517
2015-09-28,12.70,12.82,12.37,12.49,148900,12.455724
2015-09-25,12.51,12.90,12.41,12.76,220000,12.724984
2015-09-24,12.57,12.57,12.12,12.41,290400,12.375944
2015-09-23,12.97,13.03,12.58,12.67,125300,12.63523
2015-09-22,13.36,13.42,12.92,12.99,111300,12.954352
2015-09-21,13.69,13.69,13.30,13.40,85100,13.363227
2015-09-18,13.07,13.70,12.99,13.62,342400,13.582623
2015-09-17,12.98,13.37,12.92,13.23,155400,13.193693
2015-09-16,13.00,13.13,12.95,12.98,128100,12.944379
2015-09-15,13.10,13.14,12.92,13.03,117200,12.994242
2015-09-14,13.23,13.64,12.93,13.08,222800,13.044105
2015-09-11,13.09,13.16,12.94,13.16,131700,13.123885
2015-09-10,13.14,13.21,13.01,13.17,182400,13.133858
2015-09-09,13.12,13.22,13.02,13.13,218100,13.093968
2015-09-08,12.81,13.18,12.81,13.02,271100,12.98427
2015-09-04,12.64,12.77,12.43,12.65,134200,12.615285
2015-09-03,12.85,13.14,12.70,12.77,131200,12.734956
2015-09-02,12.89,13.01,12.25,12.80,297500,12.764874
2015-09-01,12.94,13.05,12.67,12.75,201600,12.715011
2015-08-31,12.80,13.32,12.80,13.14,131600,13.103941
2015-08-28,12.90,13.02,12.41,12.96,192400,12.924434
2015-08-27,13.30,13.51,12.80,12.88,274400,12.844654
2015-08-26,13.44,13.44,12.86,13.18,215300,13.143831
2015-08-25,13.42,13.66,13.13,13.17,208000,13.133858
2015-08-24,13.59,13.60,13.00,13.00,266000,12.964325
2015-08-21,13.86,14.11,13.82,13.86,300200,13.821964
2015-08-20,14.00,14.39,13.91,14.09,344900,14.051334
2015-08-19,14.05,14.40,13.83,14.04,249000,14.001471
2015-08-18,14.29,14.38,14.08,14.20,229100,14.111169
2015-08-17,14.30,14.47,14.06,14.32,208000,14.230418
2015-08-14,14.39,14.47,14.19,14.36,145600,14.270168
2015-08-13,14.41,14.66,14.27,14.39,257700,14.299981
2015-08-12,14.42,14.49,13.91,14.43,150500,14.339731
2015-08-11,13.98,14.74,13.93,14.50,227300,14.409293
2015-08-10,13.98,14.21,13.97,14.17,198600,14.081357
2015-08-07,13.56,13.91,13.44,13.91,229500,13.822983
2015-08-06,14.35,14.35,13.31,13.58,254800,13.495048
2015-08-05,14.27,14.49,13.69,14.37,420000,14.280106
2015-08-04,15.60,15.75,13.96,14.32,728900,14.230418
2015-08-03,16.24,16.73,15.93,16.620001,288200,16.516031
2015-07-31,16.049999,16.57,15.96,16.059999,205200,15.959533
2015-07-30,15.97,16.17,15.91,16.00,103900,15.899909
2015-07-29,16.15,16.299999,15.82,16.07,93600,15.969471
2015-07-28,15.93,16.280001,15.81,16.120001,110400,16.019159
2015-07-27,15.78,16.00,15.45,15.83,90800,15.730972
2015-07-24,15.92,15.99,15.64,15.80,115000,15.70116
2015-07-23,16.23,16.23,15.71,15.88,83800,15.78066
2015-07-22,16.08,16.219999,16.00,16.139999,65000,16.039033
2015-07-21,16.459999,16.66,15.98,16.10,86500,15.999284
2015-07-20,16.74,16.74,16.290001,16.50,166600,16.396781
2015-07-17,16.68,16.700001,16.450001,16.68,138000,16.575655
2015-07-16,16.67,16.790001,16.370001,16.68,214500,16.575655
2015-07-15,16.540001,16.66,16.33,16.65,93300,16.545842
2015-07-14,16.26,16.549999,16.200001,16.540001,100900,16.436532
2015-07-13,16.51,16.65,16.190001,16.209999,115700,16.108594
2015-07-10,15.88,16.719999,15.76,16.49,220400,16.386844
2015-07-09,15.80,15.93,15.51,15.81,127400,15.711098
2015-07-08,15.95,16.00,15.45,15.69,339100,15.591848
2015-07-07,15.88,16.08,15.68,16.049999,115700,15.949595
2015-07-06,15.84,16.00,15.71,15.93,159300,15.830347
2015-07-02,15.95,16.33,15.87,16.030001,125900,15.929722
2015-07-01,15.73,16.129999,15.70,15.90,120900,15.800534
2015-06-30,15.87,15.95,15.51,15.54,202900,15.442787
2015-06-29,15.76,15.92,15.62,15.82,299800,15.721035
2015-06-26,15.76,15.93,15.53,15.89,620600,15.790597
2015-06-25,15.75,15.92,15.69,15.76,133000,15.661411
2015-06-24,15.94,15.94,15.55,15.72,130000,15.621661
2015-06-23,15.55,16.030001,15.41,15.99,195700,15.889971
2015-06-22,15.42,15.58,15.36,15.51,161600,15.412975
2015-06-19,15.63,15.63,15.31,15.35,255500,15.253976
2015-06-18,15.30,15.67,15.30,15.58,309500,15.482536
2015-06-17,15.23,15.57,15.15,15.35,266500,15.253976
2015-06-16,14.56,15.17,14.55,15.13,246300,15.035352
2015-06-15,14.50,14.74,14.35,14.65,235400,14.558354
2015-06-12,14.22,14.40,14.00,14.38,270200,14.290043
2015-06-11,14.11,14.26,13.96,14.22,163400,14.131044
2015-06-10,13.98,14.29,13.98,14.08,165000,13.99192
2015-06-09,14.20,14.27,13.78,13.92,102700,13.832921
2015-06-08,14.36,14.50,14.20,14.20,215100,14.111169
2015-06-05,14.60,14.60,14.19,14.43,104900,14.339731
2015-06-04,14.37,14.69,14.27,14.61,121600,14.518604
2015-06-03,14.74,14.77,14.02,14.39,292600,14.299981
2015-06-02,14.71,15.25,14.60,14.65,262500,14.558354
2015-06-01,14.45,15.07,14.31,14.91,382000,14.816728
2015-05-29,14.47,14.56,14.20,14.42,337100,14.329793
2015-05-28,14.12,14.70,14.01,14.50,435300,14.409293
2015-05-27,14.68,14.86,13.80,14.01,554900,13.922358
2015-05-26,14.93,15.08,14.46,14.66,254000,14.568291
2015-05-22,15.06,15.45,14.90,15.05,162300,14.955852
2015-05-21,15.25,15.65,14.99,15.04,306700,14.945914
2015-05-20,16.34,16.42,15.21,15.25,603200,15.154601
2015-05-19,16.48,16.77,16.09,16.34,908500,16.188095
2015-05-18,15.87,16.26,15.80,16.15,328600,15.999861
2015-05-15,15.54,15.89,15.14,15.87,459400,15.722464
2015-05-14,15.87,15.95,15.42,15.52,258800,15.375718
2015-05-13,16.02,16.129999,15.74,15.80,122500,15.653115
2015-05-12,15.72,16.299999,15.60,15.97,257000,15.821535
2015-05-11,15.88,16.34,15.61,15.81,443900,15.663022
2015-05-08,17.049999,17.450001,16.57,16.77,176100,16.614098
2015-05-07,16.389999,17.610001,16.299999,17.00,328700,16.841959
2015-05-06,16.16,16.50,15.77,16.139999,237000,15.989953
2015-05-05,16.90,17.00,16.16,16.18,304100,16.029582
2015-05-04,16.940001,17.790001,16.90,16.940001,521400,16.782517
2015-05-01,17.34,17.34,16.219999,16.889999,395000,16.732981
2015-04-30,18.860001,18.860001,16.190001,16.629999,846700,16.475398
2015-04-29,20.16,20.280001,19.719999,19.799999,199900,19.615928
2015-04-28,19.58,20.309999,19.58,20.280001,167100,20.091467
2015-04-27,21.030001,21.07,19.530001,19.610001,234600,19.427696
2015-04-24,20.940001,21.24,20.73,21.02,135200,20.824587
2015-04-23,20.77,21.129999,20.700001,20.99,123500,20.794865
2015-04-22,20.530001,20.940001,20.469999,20.780001,86500,20.586819
2015-04-21,20.84,21.00,20.530001,20.60,153800,20.408492
2015-04-20,20.290001,20.809999,20.26,20.75,142000,20.557097
2015-04-17,21.01,21.16,20.01,20.24,250700,20.051838
2015-04-16,21.709999,21.709999,20.67,21.17,321100,20.973192
2015-04-15,21.35,21.84,21.299999,21.790001,210700,21.587429
2015-04-14,21.34,21.389999,21.00,21.360001,257800,21.161427
2015-04-13,20.43,21.440001,20.290001,21.40,404100,21.201054
2015-04-10,21.32,21.360001,20.48,20.49,455700,20.299514
2015-04-09,22.16,22.40,20.75,21.360001,415300,21.161427
2015-04-08,22.299999,22.559999,22.25,22.370001,383200,22.162037
