Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,19.08,19.40,18.91,19.040001,40200,19.040001
2016-01-21,19.200001,19.280001,18.90,18.90,56600,18.90
2016-01-20,18.959999,19.299999,18.74,19.110001,85700,19.110001
2016-01-19,19.58,19.67,19.049999,19.18,70100,19.18
2016-01-15,19.299999,19.370001,18.639999,19.219999,124100,19.219999
2016-01-14,19.780001,19.809999,19.309999,19.32,80200,19.32
2016-01-13,20.299999,20.35,19.459999,19.629999,68200,19.629999
2016-01-12,20.440001,20.440001,20.02,20.26,86500,20.26
2016-01-11,20.23,20.40,20.02,20.26,158200,20.26
2016-01-08,20.52,20.549999,20.209999,20.25,85000,20.25
2016-01-07,20.40,20.59,20.299999,20.40,59700,20.40
2016-01-06,20.40,20.709999,20.40,20.629999,59900,20.629999
2016-01-05,20.530001,20.700001,20.41,20.66,126400,20.66
2016-01-04,20.790001,20.98,20.290001,20.440001,122200,20.440001
2015-12-31,20.950001,20.98,20.790001,20.860001,76500,20.860001
2015-12-30,20.84,20.99,20.809999,20.98,56200,20.98
2015-12-29,20.950001,20.950001,20.700001,20.85,42200,20.85
2015-12-28,20.75,20.91,20.60,20.860001,29700,20.860001
2015-12-24,20.91,20.950001,20.83,20.870001,32900,20.870001
2015-12-23,20.98,20.98,20.57,20.870001,41500,20.870001
2015-12-22,20.860001,20.879999,20.530001,20.82,52700,20.82
2015-12-21,20.790001,20.85,20.41,20.799999,50100,20.799999
2015-12-18,20.67,20.790001,20.540001,20.709999,115000,20.709999
2015-12-17,20.950001,20.950001,20.73,20.790001,53700,20.790001
2015-12-16,20.90,20.940001,20.68,20.90,157600,20.90
2015-12-15,20.540001,20.889999,20.540001,20.799999,101500,20.799999
2015-12-14,20.370001,20.50,20.27,20.42,74900,20.42
2015-12-11,20.379999,20.559999,20.24,20.290001,77700,20.290001
2015-12-10,20.24,20.59,20.129999,20.50,128400,20.50
2015-12-09,19.50,20.25,19.49,20.139999,321000,20.139999
2015-12-08,20.25,20.32,19.84,19.870001,28000,19.870001
2015-12-07,20.870001,20.879999,20.33,20.530001,28300,20.330001
2015-12-04,20.48,20.90,20.459999,20.870001,20000,20.666689
2015-12-03,20.709999,20.90,20.50,20.50,25700,20.300292
2015-12-02,20.790001,20.90,20.65,20.719999,15400,20.518148
2015-12-01,20.90,20.940001,20.719999,20.870001,32100,20.666689
2015-11-30,20.860001,20.90,20.790001,20.879999,62300,20.676589
2015-11-27,20.780001,20.889999,20.709999,20.85,13800,20.646883
2015-11-25,20.799999,20.85,20.690001,20.82,15700,20.617175
2015-11-24,20.83,20.85,20.690001,20.83,20000,20.627077
2015-11-23,20.82,20.950001,20.790001,20.860001,62100,20.656786
2015-11-20,20.809999,20.889999,20.73,20.799999,50300,20.597369
2015-11-19,20.99,21.190001,20.77,20.799999,94200,20.597369
2015-11-18,20.860001,21.00,20.780001,20.99,47600,20.785518
2015-11-17,20.790001,20.959999,20.67,20.879999,85600,20.676589
2015-11-16,20.469999,20.889999,20.290001,20.860001,43900,20.656786
2015-11-13,20.190001,20.540001,20.10,20.41,72500,20.211169
2015-11-12,20.49,20.629999,20.209999,20.290001,17200,20.092339
2015-11-11,20.700001,20.889999,20.51,20.530001,25000,20.330001
2015-11-10,20.68,20.790001,20.50,20.68,30200,20.478539
2015-11-09,20.58,20.709999,20.48,20.51,31200,20.310195
2015-11-06,20.299999,20.780001,20.139999,20.709999,78400,20.508246
2015-11-05,20.15,20.40,20.15,20.27,17600,20.072533
2015-11-04,20.299999,20.379999,20.110001,20.18,27900,19.98341
2015-11-03,20.049999,20.35,19.860001,20.290001,83500,20.092339
2015-11-02,19.60,20.200001,19.60,20.16,44200,19.963604
2015-10-30,19.83,19.93,19.360001,19.690001,65600,19.498184
2015-10-29,20.030001,20.129999,19.799999,19.889999,23900,19.696234
2015-10-28,19.51,20.200001,19.51,20.18,110700,19.98341
2015-10-27,19.60,19.639999,19.40,19.540001,24500,19.349645
2015-10-26,19.57,19.68,19.450001,19.66,18100,19.468475
2015-10-23,19.450001,19.59,19.389999,19.57,23600,19.379352
2015-10-22,19.10,19.48,19.10,19.360001,32000,19.171399
2015-10-21,19.360001,19.50,19.02,19.07,28400,18.884223
2015-10-20,19.32,19.440001,19.24,19.280001,29100,19.092178
2015-10-19,19.27,19.48,19.209999,19.299999,23500,19.111982
2015-10-16,19.440001,19.440001,19.07,19.35,21700,19.161496
