Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,49.618,49.700001,49.618,49.68,31000,49.68
2016-01-21,49.880001,49.889999,49.73,49.73,18800,49.73
2016-01-20,49.880001,50.009998,49.817001,49.869999,51700,49.869999
2016-01-19,49.66,49.759998,49.66,49.665001,16300,49.665001
2016-01-15,49.709999,49.830002,49.689999,49.830002,25700,49.830002
2016-01-14,49.669998,49.68,49.560001,49.658001,11200,49.658001
2016-01-13,49.529999,49.700001,49.529999,49.700001,9100,49.700001
2016-01-12,49.504002,49.669998,49.504002,49.599998,38000,49.599998
2016-01-11,49.330002,49.450001,49.330002,49.450001,27700,49.450001
2016-01-08,49.369999,49.48,49.349998,49.48,14700,49.48
2016-01-07,49.259998,49.389999,49.25,49.389999,5600,49.389999
2016-01-06,49.23,49.348,49.23,49.348,7300,49.348
2016-01-05,49.139999,49.240002,49.139999,49.139999,7500,49.139999
2016-01-04,49.130001,49.27,49.130001,49.139999,78500,49.139999
2015-12-31,49.080002,49.130001,49.080002,49.110001,7200,49.110001
2015-12-30,48.959999,49.049999,48.93,49.049999,96900,49.049999
2015-12-29,49.063,49.080002,48.963001,49.009998,23700,49.009998
2015-12-28,49.459999,49.490002,49.389999,49.486,20000,49.129999
2015-12-24,49.389999,49.43,49.360001,49.43,6600,49.074402
2015-12-23,49.32,49.404999,49.32,49.345001,23300,48.990014
2015-12-22,49.529999,49.540001,49.43,49.50,15700,49.143898
2015-12-21,49.560001,49.633999,49.529999,49.580002,19200,49.223324
2015-12-18,49.523998,49.619999,49.509998,49.549999,15600,49.193537
2015-12-17,49.394001,49.540001,49.394001,49.466,71400,49.110142
2015-12-16,49.360001,49.400002,49.279999,49.34,9700,48.985049
2015-12-15,49.43,49.459999,49.369999,49.421001,22000,49.065468
2015-12-14,49.650002,49.650002,49.48,49.483002,10200,49.127022
2015-12-11,49.650002,49.77,49.650002,49.715,28300,49.357351
2015-12-10,49.57,49.619999,49.470001,49.470001,16700,49.114115
2015-12-09,49.594002,49.73,49.459999,49.57,39900,49.213394
2015-12-08,49.549999,49.689999,49.540001,49.651001,15100,49.293813
2015-12-07,49.562,49.639999,49.52,49.52,7600,49.163754
2015-12-04,49.362,49.59,49.34,49.59,16200,49.233251
2015-12-03,49.439999,49.534,49.27,49.330002,34900,48.975123
2015-12-02,49.610001,49.695,49.560001,49.695,14800,49.337495
2015-12-01,49.650002,49.832001,49.650002,49.709999,25400,49.352386
2015-11-30,49.564999,49.68,49.509998,49.509998,12100,49.153824
2015-11-27,49.529999,49.610001,49.52,49.52,1300,49.163754
2015-11-25,49.513,49.57,49.48,49.48,2000,49.124041
2015-11-24,49.52,49.557999,49.470001,49.555,16100,49.198502
2015-11-23,49.41,49.521,49.400002,49.43,8600,49.074402
2015-11-20,49.528,49.610001,49.419998,49.419998,33600,49.064472
2015-11-19,49.455002,49.599998,49.419998,49.599998,12700,49.243177
2015-11-18,49.389999,49.52,49.369999,49.389999,19400,49.034689
2015-11-17,49.32,49.540001,49.32,49.389999,19300,49.034689
2015-11-16,49.416,49.533001,49.400002,49.400002,18400,49.044619
2015-11-13,49.380001,49.490002,49.360001,49.369999,18500,49.014832
2015-11-12,49.25,49.360001,49.241001,49.308998,5700,48.95427
2015-11-11,49.279999,49.366001,49.240002,49.355999,10700,49.000933
2015-11-10,49.07,49.470001,49.07,49.337002,16400,48.982072
2015-11-09,49.265999,49.292999,49.18,49.209999,13700,48.855983
2015-11-06,49.32,49.32,49.189999,49.220001,27500,48.865913
2015-11-05,49.474998,49.57,49.419998,49.543999,19600,49.18758
2015-11-04,49.554001,49.610001,49.452999,49.457001,7900,49.101208
2015-11-03,49.57,49.650002,49.529999,49.650002,18500,49.29282
2015-11-02,49.619999,49.692001,49.560001,49.610001,48500,49.253107
2015-10-30,49.619999,49.730999,49.619999,49.730999,5500,49.373235
2015-10-29,49.709999,49.720001,49.59,49.599998,17200,49.243177
