Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,18.879999,18.92,18.780001,18.83,108200,18.83
2016-01-21,18.309999,18.540001,18.309999,18.469999,62300,18.469999
2016-01-20,18.219999,18.48,18.030001,18.41,278600,18.41
2016-01-19,18.530001,18.719999,18.469999,18.67,196300,18.67
2016-01-15,18.459999,18.530001,18.200001,18.200001,202300,18.200001
2016-01-14,19.030001,19.120001,18.77,19.02,91900,19.02
2016-01-13,19.08,19.15,18.77,18.85,199400,18.85
2016-01-12,18.93,19.139999,18.92,19.09,198700,19.09
2016-01-11,18.92,18.969999,18.690001,18.690001,588300,18.690001
2016-01-08,19.030001,19.10,18.879999,18.93,229100,18.93
2016-01-07,19.02,19.280001,19.00,19.02,43000,19.02
2016-01-06,19.24,19.52,19.24,19.450001,485500,19.450001
2016-01-05,19.690001,19.75,19.629999,19.690001,280000,19.690001
2016-01-04,19.780001,20.18,19.48,19.620001,1034500,19.620001
2015-12-31,20.18,20.24,20.02,20.08,658000,20.08
2015-12-30,20.33,20.33,20.200001,20.209999,260800,20.209999
2015-12-29,20.59,20.77,20.58,20.629999,209400,20.629999
2015-12-28,20.389999,20.52,20.379999,20.440001,223400,20.268001
2015-12-24,20.57,20.639999,20.459999,20.530001,127500,20.357244
2015-12-23,20.469999,20.60,20.389999,20.549999,235400,20.377074
2015-12-22,20.139999,20.33,20.139999,20.33,621300,20.158926
2015-12-21,20.23,20.23,20.01,20.120001,261100,19.950694
2015-12-18,20.18,20.18,19.969999,19.98,291400,19.811871
2015-12-17,20.18,20.219999,20.08,20.110001,320400,19.940778
2015-12-16,20.110001,20.360001,20.059999,20.290001,198800,20.119263
2015-12-15,19.99,20.049999,19.90,19.950001,588200,19.782124
2015-12-14,19.719999,19.73,19.51,19.73,632500,19.563974
2015-12-11,19.75,19.83,19.60,19.629999,425500,19.464815
2015-12-10,20.08,20.24,20.07,20.139999,384700,19.970524
2015-12-09,20.27,20.389999,20.08,20.120001,403600,19.950694
2015-12-08,20.16,20.280001,20.16,20.219999,205800,20.049851
2015-12-07,20.68,20.68,20.41,20.469999,141900,20.297747
2015-12-04,20.549999,20.790001,20.549999,20.73,187900,20.555559
2015-12-03,20.57,20.73,20.450001,20.57,513800,20.396906
2015-12-02,20.73,20.780001,20.59,20.620001,133200,20.446486
2015-12-01,20.77,20.91,20.73,20.85,167300,20.67455
2015-11-30,20.60,20.719999,20.60,20.690001,125000,20.515897
2015-11-27,20.84,20.84,20.73,20.73,900,20.555559
2015-11-25,20.950001,20.98,20.90,20.940001,27100,20.763793
2015-11-24,20.860001,21.01,20.799999,21.01,350600,20.833204
2015-11-23,21.059999,21.08,20.879999,20.940001,116300,20.763793
2015-11-20,21.139999,21.209999,21.07,21.16,222600,20.981941
2015-11-19,20.99,21.120001,20.99,21.08,130500,20.902615
2015-11-18,20.68,20.950001,20.68,20.93,84500,20.753877
2015-11-17,20.82,20.90,20.68,20.74,159000,20.565475
2015-11-16,20.459999,20.83,20.459999,20.719999,238200,20.545643
2015-11-13,20.450001,20.620001,20.450001,20.549999,86800,20.377074
2015-11-12,20.780001,20.870001,20.709999,20.719999,39200,20.545643
2015-11-11,20.969999,21.030001,20.82,20.950001,46200,20.773709
2015-11-10,20.75,20.93,20.75,20.85,109700,20.67455
2015-11-09,20.959999,21.02,20.85,20.92,186500,20.743961
2015-11-06,21.26,21.26,21.07,21.24,53000,21.061268
2015-11-05,21.41,21.51,21.370001,21.459999,60800,21.279416
2015-11-04,21.66,21.66,21.43,21.469999,22300,21.289332
2015-11-03,21.469999,21.639999,21.43,21.60,62300,21.418239
2015-11-02,21.34,21.450001,21.34,21.450001,137800,21.269502
2015-10-30,21.280001,21.280001,21.190001,21.219999,46900,21.041436
