Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,18.43,18.66,18.41,18.620001,180600,18.620001
2016-01-21,18.610001,18.620001,18.200001,18.290001,260600,18.290001
2016-01-20,18.23,18.719999,17.879999,18.51,233100,18.51
2016-01-19,18.35,18.719999,18.18,18.370001,326200,18.370001
2016-01-15,18.290001,18.549999,18.040001,18.34,231800,18.34
2016-01-14,18.25,18.959999,18.219999,18.719999,218100,18.719999
2016-01-13,18.879999,18.940001,18.110001,18.200001,193900,18.200001
2016-01-12,18.68,18.99,18.48,18.85,235200,18.85
2016-01-11,18.77,18.98,18.290001,18.57,281100,18.57
2016-01-08,19.34,19.59,18.59,18.700001,417100,18.700001
2016-01-07,19.02,19.610001,18.99,19.24,409300,19.24
2016-01-06,19.370001,19.629999,19.10,19.309999,296200,19.309999
2016-01-05,19.620001,19.870001,19.360001,19.610001,309800,19.610001
2016-01-04,20.27,20.40,19.52,19.52,414000,19.52
2015-12-31,20.889999,20.92,20.52,20.52,348700,20.52
2015-12-30,20.719999,21.23,20.65,21.00,508300,21.00
2015-12-29,20.65,20.92,20.549999,20.76,202600,20.76
2015-12-28,20.40,20.629999,20.309999,20.60,143400,20.60
2015-12-24,20.440001,20.68,20.440001,20.51,57000,20.51
2015-12-23,20.450001,20.52,20.35,20.49,146300,20.49
2015-12-22,20.219999,20.33,19.98,20.299999,182400,20.299999
2015-12-21,19.98,20.450001,19.93,20.10,318900,20.10
2015-12-18,19.92,20.040001,19.83,19.85,721000,19.85
2015-12-17,20.209999,20.52,19.959999,19.99,265000,19.99
2015-12-16,20.190001,20.299999,19.92,20.219999,357500,20.219999
2015-12-15,20.110001,20.23,19.73,20.190001,309700,20.190001
2015-12-14,19.700001,20.030001,19.629999,20.00,341900,20.00
2015-12-11,19.709999,19.950001,19.07,19.709999,322600,19.709999
2015-12-10,19.799999,20.07,19.450001,20.00,570800,20.00
2015-12-09,19.540001,19.90,19.49,19.85,329600,19.85
2015-12-08,19.49,19.700001,19.309999,19.639999,128000,19.639999
2015-12-07,19.58,19.75,19.51,19.639999,182900,19.639999
2015-12-04,19.280001,19.620001,19.200001,19.60,163200,19.60
2015-12-03,19.809999,19.969999,19.27,19.370001,131800,19.370001
2015-12-02,19.549999,19.879999,19.48,19.790001,235600,19.790001
2015-12-01,19.629999,19.690001,19.309999,19.549999,223700,19.549999
2015-11-30,19.879999,19.98,19.360001,19.57,304800,19.57
2015-11-27,19.530001,19.90,19.50,19.780001,123000,19.780001
2015-11-25,19.25,19.530001,19.200001,19.450001,216700,19.450001
2015-11-24,19.030001,19.32,18.93,19.23,166800,19.23
2015-11-23,19.32,19.450001,19.030001,19.139999,228800,19.139999
2015-11-20,19.42,19.49,19.190001,19.25,225800,19.25
2015-11-19,19.08,19.48,19.00,19.290001,226900,19.290001
2015-11-18,19.360001,19.49,19.110001,19.18,233400,19.18
2015-11-17,19.23,19.450001,19.10,19.32,123800,19.32
2015-11-16,18.93,19.23,18.91,19.209999,126700,19.209999
2015-11-13,18.85,19.309999,18.75,18.99,179100,18.99
2015-11-12,19.639999,19.66,18.940001,18.969999,303700,18.969999
2015-11-11,20.32,20.50,19.84,19.93,255600,19.730001
2015-11-10,20.219999,20.27,19.639999,20.23,275000,20.02699
2015-11-09,20.27,20.40,19.85,20.26,234400,20.056689
2015-11-06,20.00,20.620001,19.360001,20.540001,354000,20.33388
2015-11-05,19.01,19.98,19.01,19.950001,278700,19.749801
2015-11-04,19.33,19.530001,19.18,19.41,264400,19.215219
2015-11-03,19.17,19.33,18.950001,19.209999,153700,19.017225
2015-11-02,19.07,19.27,18.91,19.18,169500,18.987527
2015-10-30,19.09,19.15,18.51,19.01,168600,18.819233
2015-10-29,18.780001,19.219999,18.700001,19.030001,165000,18.839033
2015-10-28,18.629999,18.950001,18.57,18.91,229200,18.720236
2015-10-27,18.700001,18.75,18.360001,18.540001,216700,18.35395
2015-10-26,18.50,18.52,18.299999,18.41,142900,18.225254
2015-10-23,18.26,18.58,18.049999,18.469999,206500,18.284651
2015-10-22,17.99,18.26,17.73,18.040001,102700,17.858968
2015-10-21,18.200001,18.24,17.629999,17.85,201800,17.670874
2015-10-20,18.01,18.25,18.01,18.190001,162700,18.007462
2015-10-19,18.10,18.25,17.76,18.00,137400,17.819368
2015-10-16,18.049999,18.18,17.860001,18.10,198000,17.918365
