Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,14.905,14.93,13.87,14.13,100800,14.13
2016-01-21,13.72,14.83,13.72,14.56,41600,14.56
2016-01-20,13.60,14.34,13.10,14.00,62800,14.00
2016-01-19,14.40,14.40,13.76,13.96,44800,13.96
2016-01-15,14.50,14.79,14.06,14.40,62800,14.40
2016-01-14,14.25,14.95,13.68,14.59,58500,14.59
2016-01-13,13.45,14.45,13.44,14.06,61600,14.06
2016-01-12,13.11,13.49,12.69,13.31,77600,13.31
2016-01-11,13.44,13.50,12.79,13.02,38300,13.02
2016-01-08,12.98,13.46,12.95,13.35,18700,13.35
2016-01-07,12.89,13.619,12.81,12.83,46000,12.83
2016-01-06,13.20,13.43,13.00,13.35,27200,13.35
2016-01-05,13.72,13.985,13.24,13.52,30600,13.52
2016-01-04,13.65,14.085,13.65,13.775,12600,13.775
2015-12-31,13.551,13.96,13.51,13.96,47700,13.96
2015-12-30,14.08,14.43,13.51,13.87,76300,13.87
2015-12-29,14.49,14.50,13.97,14.25,121400,14.25
2015-12-28,14.43,14.62,13.51,14.51,68700,14.51
2015-12-24,14.46,14.74,14.13,14.63,64500,14.63
2015-12-23,14.28,14.68,14.045,14.50,127100,14.50
2015-12-22,14.07,14.45,13.95,14.31,252100,14.31
2015-12-21,14.29,14.92,13.87,14.20,141400,14.20
2015-12-18,14.85,14.85,14.00,14.53,87300,14.53
2015-12-17,15.31,15.31,14.50,14.75,162000,14.75
2015-12-16,14.95,15.60,14.83,15.307,29500,15.307
2015-12-15,14.99,15.14,14.74,14.83,62100,14.83
2015-12-14,15.24,15.24,14.60,14.86,33400,14.86
2015-12-11,15.08,15.87,14.414,15.50,35400,15.50
2015-12-10,14.285,15.22,13.59,15.14,16700,15.14
2015-12-09,14.30,15.00,14.30,14.90,17300,14.90
2015-12-08,13.57,14.53,13.31,14.41,82200,14.41
2015-12-07,15.00,15.15,13.72,13.77,209800,13.77
2015-12-04,15.18,15.60,15.15,15.25,26900,15.25
2015-12-03,15.48,15.53,15.15,15.52,21400,15.52
2015-12-02,15.51,15.65,15.24,15.50,26700,15.50
2015-12-01,15.30,15.78,15.24,15.78,21300,15.78
2015-11-30,15.35,15.63,15.15,15.25,23600,15.25
2015-11-27,15.52,15.52,15.12,15.17,9700,15.17
2015-11-25,15.70,16.00,15.50,15.52,50600,15.52
