Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,6.55,8.08,6.00,7.20,60900,7.20
2016-01-21,4.87,6.50,4.87,6.25,62900,6.25
2016-01-20,4.80,5.09,4.20,4.87,47800,4.87
2016-01-19,5.10,5.76,5.00,5.17,35800,5.17
2016-01-15,6.15,6.76,4.85,5.44,57000,5.44
2016-01-14,7.37,7.50,6.25,6.36,73400,6.36
2016-01-13,8.07,8.07,7.16,7.20,48200,7.20
2016-01-12,8.94,9.00,7.84,8.05,44100,8.05
2016-01-11,9.81,9.98,8.70,8.90,24100,8.90
2016-01-08,9.66,10.38,9.60,9.71,21100,9.71
2016-01-07,9.75,10.40,9.48,10.07,19800,10.07
2016-01-06,10.24,10.32,9.83,9.95,19400,9.95
2016-01-05,10.68,10.68,10.32,10.32,6200,10.32
2016-01-04,10.71,10.71,10.18,10.45,8900,10.45
2015-12-31,10.00,10.69,10.00,10.69,31000,10.69
2015-12-30,10.85,11.22,10.01,10.01,31700,10.01
2015-12-29,10.07,12.00,9.65,10.90,51100,10.736
2015-12-28,11.00,11.00,9.26,9.27,38300,9.130525
2015-12-24,10.80,11.20,9.60,10.84,55100,10.676903
2015-12-23,10.33,12.01,8.98,9.80,54600,9.652551
2015-12-22,9.50,9.79,8.12,8.60,53100,8.470606
2015-12-21,11.50,11.56,9.50,9.50,49800,9.357064
2015-12-18,8.57,11.45,8.57,10.36,47000,10.204124
2015-12-17,7.85,9.02,7.79,8.35,36100,8.224367
2015-12-16,7.88,7.94,7.40,7.77,31700,7.653093
2015-12-15,6.60,7.99,6.60,7.32,34100,7.209864
2015-12-14,7.00,7.00,6.12,6.45,45800,6.352954
2015-12-11,7.15,7.99,7.15,7.26,17900,7.150767
2015-12-10,7.27,7.80,7.18,7.55,19800,7.436404
2015-12-09,7.40,8.23,7.15,7.20,42900,7.091669
2015-12-08,6.56,7.78,5.91,7.35,50700,7.239413
2015-12-07,10.11,10.59,7.00,8.20,102600,8.076624
2015-12-04,13.87,13.90,12.02,12.25,31700,12.065688
2015-12-03,13.76,14.31,13.20,14.25,25300,14.035596
2015-12-02,14.07,14.28,13.70,13.75,14800,13.543119
2015-12-01,15.14,15.14,14.07,14.30,15400,14.084844
2015-11-30,15.20,15.49,14.49,14.91,11700,14.685666
2015-11-27,14.78,15.00,14.70,15.00,2700,14.774312
2015-11-25,14.26,15.05,14.26,14.85,9200,14.465037
2015-11-24,14.30,14.33,13.26,14.24,19100,13.870849
2015-11-23,14.06,14.42,13.75,14.00,20200,13.637071
2015-11-20,15.13,15.26,14.10,14.20,20100,13.831886
2015-11-19,15.47,15.49,14.57,14.75,12700,14.367629
2015-11-18,15.95,15.96,14.88,15.47,18800,15.068964
2015-11-17,16.41,16.41,15.95,15.95,6600,15.53652
2015-11-16,16.74,16.74,15.99,16.43,13700,16.004077
2015-11-13,16.32,17.790001,15.81,16.50,22900,16.072262
2015-11-12,16.76,16.860001,15.90,16.309999,21000,15.887187
2015-11-11,17.83,17.83,16.85,16.98,14700,16.539819
2015-11-10,17.90,17.99,17.700001,17.700001,4700,17.241155
2015-11-09,18.00,18.15,17.85,18.00,11700,17.533377
2015-11-06,18.209999,18.469999,18.00,18.00,10900,17.533377
2015-11-05,18.65,18.65,18.15,18.33,9700,17.854822
2015-11-04,18.60,18.950001,18.49,18.65,8500,18.166527
2015-11-03,18.93,19.60,18.200001,18.450001,54300,17.971712
2015-11-02,19.209999,19.40,18.77,18.77,14300,18.283417
2015-10-30,18.790001,19.799999,18.790001,19.049999,5900,18.556157
2015-10-29,19.33,19.40,19.290001,19.290001,6600,18.789937
2015-10-28,18.18,19.92,18.18,18.950001,5400,18.299002
2015-10-27,19.60,19.60,18.290001,18.290001,23800,17.661675
2015-10-26,20.93,20.93,19.25,19.299999,12600,18.636977
2015-10-23,20.139999,20.139999,19.700001,20.08,13200,19.390182
2015-10-22,19.42,19.860001,19.200001,19.690001,46200,19.01358
2015-10-21,19.73,19.74,19.299999,19.299999,19800,18.636977
2015-10-20,19.719999,19.90,19.09,19.74,5500,19.061862
2015-10-19,19.84,20.120001,19.41,19.41,10100,18.743199
2015-10-16,20.33,20.33,19.809999,19.92,20200,19.235678
2015-10-15,20.209999,20.59,19.90,20.139999,19400,19.44812
2015-10-14,20.360001,20.49,19.98,20.09,11400,19.399838
2015-10-13,20.15,20.60,20.09,20.15,21700,19.457777
2015-10-12,19.93,20.77,19.67,19.84,28800,19.158427
2015-10-09,20.16,20.58,19.629999,19.629999,14200,18.95564
2015-10-08,19.84,20.00,19.50,19.91,17900,19.226022
2015-10-07,19.969999,20.200001,19.50,19.91,11500,19.226022
2015-10-06,19.469999,20.129999,19.00,19.84,54400,19.158427
2015-10-05,19.27,19.620001,18.82,19.35,5100,18.68526
2015-10-02,18.90,19.57,18.809999,18.959999,5800,18.308657
2015-10-01,18.219999,19.049999,18.219999,18.67,7000,18.02862
2015-09-30,18.059999,18.74,17.83,18.00,10700,17.381637
2015-09-29,18.799999,19.00,18.16,18.25,16900,17.623049
2015-09-28,19.75,20.040001,18.49,18.76,21300,17.957163
2015-09-25,20.32,20.440001,19.809999,19.83,21600,18.981371
2015-09-24,20.51,20.51,19.60,20.33,39900,19.459974
2015-09-23,21.379999,21.60,20.50,20.60,22800,19.71842
2015-09-22,21.26,21.90,21.15,21.66,114900,20.733056
2015-09-21,21.200001,21.540001,21.139999,21.440001,23700,20.522472
2015-09-18,21.379999,21.51,20.969999,21.139999,5800,20.235309
2015-09-17,21.60,21.790001,21.50,21.77,42000,20.838349
2015-09-16,21.57,21.879999,21.17,21.440001,121300,20.522472
2015-09-15,21.610001,21.67,21.129999,21.35,41100,20.436323
2015-09-14,20.60,21.700001,20.40,21.540001,195300,20.618193
2015-09-11,20.18,20.690001,20.18,20.370001,33100,19.498263
2015-09-10,20.530001,20.950001,20.219999,20.610001,73200,19.727992
2015-09-09,21.83,22.059999,20.40,20.459999,54400,19.58441
2015-09-08,22.190001,22.48,21.00,21.940001,162600,21.001074
2015-09-04,22.25,22.33,21.639999,21.860001,41200,20.924498
2015-09-03,21.51,22.690001,20.940001,22.440001,179200,21.479677
2015-09-02,20.90,21.459999,20.200001,20.799999,124800,19.909859
2015-09-01,21.790001,22.799999,20.51,21.110001,171200,20.206594
2015-08-31,21.440001,22.809999,20.02,22.09,102400,21.144655
2015-08-28,21.309999,22.50,20.50,22.02,177900,21.077651
2015-08-27,21.51,22.00,20.52,21.42,116600,20.346345
2015-08-26,20.309999,21.50,18.00,20.969999,62300,19.918901
2015-08-25,20.34,20.48,19.24,20.48,21100,19.453461
2015-08-24,18.57,20.940001,18.00,19.51,134600,18.532082
2015-08-21,19.190001,20.200001,19.190001,20.00,32000,18.997521
2015-08-20,20.18,21.110001,19.549999,20.809999,77900,19.766921
2015-08-19,21.35,21.440001,20.25,20.51,73900,19.481958
2015-08-18,21.10,21.65,20.90,21.549999,49200,20.469829
2015-08-17,22.59,22.59,20.73,21.26,138300,20.194365
2015-08-14,21.790001,22.25,21.00,21.639999,35100,20.555318
2015-08-13,22.129999,22.879999,21.07,21.639999,64800,20.555318
2015-08-12,21.41,22.190001,20.959999,21.940001,100300,20.840281
2015-08-11,21.40,21.52,20.76,21.35,6500,20.279854
2015-08-10,20.799999,23.40,20.799999,21.65,71300,20.564817
2015-08-07,21.00,21.870001,20.610001,20.959999,28500,19.909402
2015-08-06,21.50,21.50,19.58,20.75,47400,19.709928
2015-08-05,22.799999,22.90,21.459999,21.52,59900,20.441333
2015-08-04,22.34,23.139999,21.60,22.75,100700,21.609681
2015-08-03,23.059999,23.49,21.200001,22.35,18300,21.229731
2015-07-31,23.58,23.58,23.040001,23.18,7000,22.018128
2015-07-30,24.389999,24.389999,23.48,23.74,13300,22.550058
2015-07-29,24.440001,24.450001,24.049999,24.10,8200,22.736234
2015-07-28,24.34,24.440001,23.77,24.360001,11500,22.981521
2015-07-27,23.639999,24.41,23.639999,23.860001,10400,22.509815
2015-07-24,23.75,25.00,23.49,23.90,38400,22.547551
2015-07-23,23.77,23.98,23.209999,23.32,23300,22.000372
2015-07-22,23.870001,24.40,23.530001,23.58,119200,22.245659
2015-07-21,23.200001,24.219999,23.15,24.040001,61100,22.67963
2015-07-20,23.82,23.82,22.40,22.959999,38500,21.660743
2015-07-17,24.75,24.75,23.50,23.74,66200,22.396605
