Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,95.00,95.660004,94.699997,95.660004,40700,95.660004
2016-01-21,93.400002,94.379997,92.440002,93.370003,52400,93.370003
2016-01-20,92.080002,93.870003,90.300003,93.050003,59100,93.050003
2016-01-19,94.709999,94.709999,92.889999,93.690002,28900,93.690002
2016-01-15,93.080002,93.949997,92.470001,93.489998,105700,93.489998
2016-01-14,94.18,95.980003,93.169998,95.410004,26900,95.410004
2016-01-13,97.00,97.150002,93.870003,94.010002,36900,94.010002
2016-01-12,96.739998,97.220001,95.809998,96.870003,35700,96.870003
2016-01-11,96.370003,96.370003,94.75,96.040001,29900,96.040001
2016-01-08,97.550003,97.610001,95.720001,95.839996,20800,95.839996
2016-01-07,97.870003,98.540001,96.720001,96.779999,32700,96.779999
2016-01-06,99.099998,99.870003,98.779999,99.309998,41700,99.309998
2016-01-05,100.669998,100.760002,99.900002,100.449997,29500,100.449997
2016-01-04,100.199997,100.25,99.199997,100.25,61700,100.25
2015-12-31,102.879997,103.059998,102.00,102.00,33200,102.00
2015-12-30,103.849998,103.849998,103.18,103.269997,25300,103.269997
2015-12-29,103.330002,103.940002,103.300003,103.82,19800,103.82
2015-12-28,102.610001,102.68,102.00,102.68,51000,102.68
2015-12-24,103.00,103.00,102.610001,102.809998,6600,102.809998
2015-12-23,102.419998,102.779999,102.279999,102.769997,22800,102.769997
2015-12-22,101.410004,102.010002,101.080002,101.809998,33700,101.809998
2015-12-21,101.099998,101.099998,100.349998,100.989998,15200,100.989998
2015-12-18,101.989998,102.120003,100.669998,100.669998,43200,100.227001
2015-12-17,104.25,104.25,102.50,102.50,26000,102.04895
2015-12-16,103.040001,104.080002,102.309998,104.019997,27800,103.562258
2015-12-15,102.559998,102.809998,102.220001,102.379997,14200,101.929475
2015-12-14,101.440002,101.690002,100.110001,101.690002,23400,101.242516
2015-12-11,102.050003,102.190002,101.00,101.059998,37500,100.615284
2015-12-10,103.010002,103.730003,102.709999,103.139999,21000,102.686133
2015-12-09,103.650002,104.309998,102.419998,102.839996,33300,102.38745
2015-12-08,103.559998,104.230003,103.209999,104.010002,13700,103.552307
2015-12-07,104.879997,104.879997,103.75,104.230003,23000,103.77134
2015-12-04,102.879997,104.889999,102.879997,104.800003,25600,104.338832
2015-12-03,104.440002,104.550003,102.209999,102.610001,33100,102.158466
2015-12-02,105.010002,105.209999,104.120003,104.230003,60700,103.77134
2015-12-01,104.50,105.010002,104.300003,105.010002,26100,104.547906
2015-11-30,104.870003,104.870003,104.010002,104.010002,14400,103.552307
2015-11-27,104.709999,104.800003,104.470001,104.699997,9900,104.239265
2015-11-25,104.620003,104.730003,104.510002,104.599998,23300,104.139707
2015-11-24,103.879997,104.57,103.690002,104.400002,23900,103.94059
2015-11-23,104.529999,104.919998,104.220001,104.419998,22900,103.960499
2015-11-20,104.290001,104.699997,104.239998,104.459999,25100,104.000324
2015-11-19,103.830002,104.150002,103.75,103.809998,14200,103.353183
2015-11-18,102.580002,103.970001,102.459999,103.970001,11800,103.512482
2015-11-17,102.260002,102.779999,101.900002,102.110001,97000,101.660666
2015-11-16,100.510002,101.959999,100.510002,101.910004,24000,101.46155
2015-11-13,101.900002,101.900002,100.650002,100.650002,14500,100.207092
