Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,58.650002,59.939999,57.619999,59.939999,15400,59.939999
2016-01-21,55.849998,59.16,54.939999,57.900002,41500,57.900002
2016-01-20,57.07,57.849998,54.98,56.290001,38900,56.290001
2016-01-19,55.459999,58.119999,55.150002,57.200001,47100,57.200001
2016-01-15,55.68,55.68,53.00,54.630001,19100,54.630001
2016-01-14,55.509998,57.209999,55.400002,57.00,12500,57.00
2016-01-13,56.00,57.470001,55.220001,55.459999,22700,55.459999
2016-01-12,56.34,56.509998,55.400002,55.75,15800,55.75
2016-01-11,57.150002,57.209999,55.07,55.650002,31700,55.650002
2016-01-08,57.549999,60.009998,55.75,57.349998,40000,57.349998
2016-01-07,58.540001,59.84,57.049999,57.119999,17000,57.119999
2016-01-06,60.049999,60.279999,58.389999,59.209999,13900,59.209999
2016-01-05,61.77,63.360001,59.349998,60.700001,17800,60.700001
2016-01-04,61.43,62.029999,58.759998,61.77,52000,61.77
2015-12-31,62.279999,63.400002,60.349998,62.18,39300,62.18
2015-12-30,61.639999,63.189999,61.50,62.09,22700,62.09
2015-12-29,61.18,61.830002,60.110001,61.790001,15400,61.790001
2015-12-28,59.66,61.93,58.700001,60.41,22700,60.41
2015-12-24,59.09,61.68,58.700001,60.099998,20400,60.099998
2015-12-23,58.810001,60.419998,58.50,59.98,6300,59.98
2015-12-22,58.400002,59.290001,58.00,59.060001,7800,59.060001
2015-12-21,59.560001,60.599998,58.610001,58.970001,6500,58.970001
2015-12-18,59.400002,62.59,59.369999,59.709999,27500,59.709999
2015-12-17,60.259998,62.599998,58.84,59.779999,29400,59.779999
2015-12-16,59.200001,60.880001,59.200001,60.369999,6600,60.369999
2015-12-15,58.82,59.18,58.380001,58.970001,7100,58.970001
2015-12-14,58.50,58.52,57.139999,58.389999,19000,58.389999
2015-12-11,59.66,59.669998,58.860001,59.380001,9700,59.380001
2015-12-10,60.48,61.580002,60.009998,60.580002,6200,60.580002
