Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,72.760002,73.00,72.540001,72.949997,85100,72.949997
2016-01-21,72.169998,72.480003,72.160004,72.330002,96800,72.330002
2016-01-20,72.260002,72.440002,72.129997,72.379997,107900,72.379997
2016-01-19,72.32,72.599998,72.32,72.519997,107400,72.519997
2016-01-15,72.860001,72.860001,72.269997,72.32,214700,72.32
2016-01-14,72.800003,73.18,72.769997,72.949997,218800,72.949997
2016-01-13,73.339996,73.550003,73.050003,73.050003,101700,73.050003
2016-01-12,73.57,73.82,73.309998,73.519997,75600,73.519997
2016-01-11,73.830002,73.830002,73.50,73.709999,86300,73.709999
2016-01-08,74.019997,74.019997,73.669998,73.830002,216900,73.830002
2016-01-07,73.709999,74.050003,73.639999,73.75,308700,73.75
2016-01-06,74.199997,74.199997,73.940002,74.059998,66200,74.059998
2016-01-05,74.160004,74.459999,72.32,74.129997,180800,74.129997
2016-01-04,75.440002,75.449997,73.989998,74.160004,421600,74.160004
2015-12-31,73.940002,74.089996,73.519997,73.959999,51700,73.959999
2015-12-30,74.160004,74.269997,73.800003,74.080002,86500,74.080002
2015-12-29,74.199997,74.199997,73.900002,74.019997,88000,74.019997
2015-12-28,74.00,74.209999,73.910004,74.120003,100300,74.120003
2015-12-24,73.910004,74.269997,73.910004,74.169998,12500,74.169998
2015-12-23,74.050003,74.129997,73.879997,74.129997,104900,74.129997
2015-12-22,74.230003,74.370003,74.040001,74.32,63700,73.955
2015-12-21,74.120003,74.370003,74.050003,74.089996,31000,73.726127
2015-12-18,74.349998,74.440002,74.160004,74.220001,89600,73.855493
2015-12-17,74.260002,74.629997,74.260002,74.440002,43400,74.074414
2015-12-16,74.269997,74.370003,73.93,74.339996,148600,73.974899
2015-12-15,74.239998,74.400002,74.120003,74.309998,102000,73.945047
2015-12-14,73.919998,74.400002,73.919998,74.169998,160300,73.805736
2015-12-11,74.739998,74.739998,74.050003,74.099998,180300,73.73608
2015-12-10,74.949997,74.980003,74.690002,74.849998,83600,74.482396
2015-12-09,74.839996,75.099998,74.82,75.00,132500,74.631661
2015-12-08,75.010002,75.129997,74.720001,74.910004,107700,74.542107
2015-12-07,75.32,75.370003,75.029999,75.129997,110500,74.76102
2015-12-04,75.050003,75.279999,75.050003,75.279999,24800,74.910285
2015-12-03,75.50,75.50,75.029999,75.089996,38100,74.721216
2015-12-02,75.660004,75.779999,75.449997,75.580002,342900,75.208815
2015-12-01,75.410004,75.660004,75.410004,75.589996,37400,75.21876
2015-11-30,75.860001,75.949997,75.690002,75.800003,32500,75.112291
2015-11-27,76.029999,76.040001,75.779999,75.830002,121300,75.142017
2015-11-25,76.010002,76.040001,75.849998,75.919998,46200,75.231197
2015-11-24,76.019997,76.050003,75.910004,75.980003,29800,75.290658
2015-11-23,75.889999,76.050003,75.889999,76.00,104100,75.310473
2015-11-20,76.07,76.089996,75.93,76.019997,62100,75.330288
2015-11-19,75.870003,76.25,75.870003,75.980003,50800,75.290658
2015-11-18,75.690002,75.82,75.599998,75.82,89900,75.132106
2015-11-17,75.489998,75.690002,75.449997,75.639999,63000,74.953739
2015-11-16,75.510002,75.550003,75.260002,75.480003,77200,74.795194
2015-11-13,75.660004,75.690002,75.360001,75.629997,200600,74.943827
2015-11-12,75.720001,75.769997,75.360001,75.650002,133000,74.96365
2015-11-11,75.379997,75.709999,75.379997,75.650002,9900,74.96365
2015-11-10,75.349998,75.669998,75.25,75.639999,109900,74.953739
2015-11-09,75.699997,75.699997,75.00,75.32,47200,74.636642
2015-11-06,76.019997,76.239998,75.480003,75.699997,46200,75.013192
2015-11-05,76.040001,76.169998,75.860001,76.150002,44700,75.459114
2015-11-04,76.330002,76.360001,76.019997,76.169998,31900,75.478929
2015-11-03,75.970001,76.349998,75.940002,76.099998,23600,75.409564
2015-11-02,76.199997,76.370003,75.769997,75.959999,80100,75.270835
2015-10-30,75.949997,76.080002,75.690002,75.949997,32200,74.977517
2015-10-29,76.040001,76.050003,75.830002,76.00,21400,75.02688
2015-10-28,76.129997,76.32,75.919998,76.160004,29000,75.184835
2015-10-27,76.25,76.379997,76.019997,76.370003,43300,75.392145
2015-10-26,76.190002,76.410004,76.190002,76.410004,51100,75.431634
2015-10-23,76.43,76.43,76.019997,76.330002,46000,75.352656
2015-10-22,76.150002,76.239998,75.919998,76.239998,58900,75.263805
2015-10-21,76.07,76.209999,75.739998,75.980003,95900,75.007139
2015-10-20,76.400002,76.400002,75.989998,76.190002,44000,75.21445
2015-10-19,76.410004,76.419998,76.220001,76.389999,40100,75.411886
2015-10-16,76.169998,76.43,76.169998,76.43,14200,75.451375
2015-10-15,75.919998,76.230003,75.440002,76.230003,27300,75.253938
2015-10-14,75.739998,75.949997,75.629997,75.949997,106100,74.977517
2015-10-13,75.769997,75.769997,75.470001,75.639999,57000,74.671489
2015-10-12,75.769997,75.769997,75.629997,75.68,15800,74.710978
2015-10-09,75.730003,75.849998,75.57,75.650002,34900,74.681363
2015-10-08,75.25,75.540001,75.25,75.470001,125700,74.503667
2015-10-07,75.559998,75.580002,75.260002,75.269997,135500,74.306224
2015-10-06,75.029999,75.290001,74.75,75.199997,28200,74.23712
2015-10-05,74.860001,75.040001,74.779999,75.029999,47500,74.069299
2015-10-02,74.50,74.68,74.209999,74.68,69600,73.723782
2015-10-01,74.290001,74.379997,73.989998,74.120003,121800,73.170955
2015-09-30,74.019997,74.300003,74.010002,74.190002,79300,72.956736
2015-09-29,74.07,74.07,73.699997,73.769997,61100,72.543712
2015-09-28,74.239998,74.32,73.919998,73.93,47300,72.701056
2015-09-25,74.800003,75.019997,74.339996,74.470001,405800,73.23208
2015-09-24,74.720001,74.720001,74.449997,74.580002,63200,73.340253
2015-09-23,75.00,75.059998,74.809998,75.029999,89700,73.782769
2015-09-22,75.349998,75.379997,75.019997,75.050003,145200,73.802441
2015-09-21,75.739998,75.809998,75.43,75.449997,34400,74.195786
2015-09-18,75.809998,75.870003,75.610001,75.849998,42100,74.589138
2015-09-17,75.18,75.709999,75.139999,75.709999,23900,74.451466
2015-09-16,75.199997,75.339996,75.010002,75.160004,15000,73.910613
2015-09-15,75.32,75.32,75.150002,75.150002,82900,73.900777
2015-09-14,75.300003,75.419998,75.089996,75.209999,47900,73.959777
2015-09-11,75.199997,75.279999,75.080002,75.18,19400,73.930277
2015-09-10,75.25,75.32,75.139999,75.209999,33200,73.959777
2015-09-09,75.339996,75.339996,75.139999,75.18,27900,73.930277
2015-09-08,75.519997,75.519997,75.099998,75.18,53600,73.930277
2015-09-04,75.440002,75.440002,75.139999,75.290001,48500,74.038449
2015-09-03,74.849998,75.279999,74.849998,75.209999,115600,73.959777
2015-09-02,75.129997,75.129997,74.769997,74.809998,37100,73.566425
2015-09-01,75.290001,75.300003,75.040001,75.25,61300,73.999113
2015-08-31,75.580002,75.690002,75.349998,75.550003,25500,73.996166
2015-08-28,75.339996,75.580002,75.120003,75.580002,44700,74.025548
2015-08-27,74.959999,75.370003,74.959999,75.370003,73400,73.819868
2015-08-26,74.800003,74.800003,74.510002,74.589996,44000,73.055904
2015-08-25,75.50,75.82,74.620003,74.709999,154100,73.173439
2015-08-24,73.589996,74.629997,73.50,74.400002,268000,72.869817
2015-08-21,75.199997,75.360001,75.00,75.18,83100,73.633773
2015-08-20,75.559998,75.610001,75.220001,75.330002,98100,73.78069
2015-08-19,75.82,75.82,75.480003,75.580002,91100,74.025548
2015-08-18,75.970001,75.970001,75.699997,75.800003,34700,74.241024
2015-08-17,75.919998,76.00,75.790001,76.00,82700,74.436908
2015-08-14,76.029999,76.110001,75.809998,75.919998,27200,74.358552
2015-08-13,76.18,76.18,75.860001,75.989998,52600,74.427112
2015-08-12,75.889999,76.169998,75.889999,75.970001,100100,74.407526
2015-08-11,76.43,76.43,75.919998,76.010002,79200,74.446704
2015-08-10,76.059998,76.160004,75.900002,76.099998,87100,74.53485
2015-08-07,76.349998,76.349998,75.900002,76.019997,26100,74.456493
2015-08-06,76.139999,76.230003,75.919998,76.150002,50800,74.583824
2015-08-05,76.68,76.68,76.110001,76.300003,85400,74.730741
2015-08-04,76.68,76.690002,76.120003,76.379997,49000,74.80909
2015-08-03,76.629997,76.629997,76.309998,76.43,82500,74.858064
2015-07-31,76.879997,76.919998,76.669998,76.839996,18300,74.971673
2015-07-30,76.25,76.669998,76.25,76.669998,46200,74.805808
2015-07-29,76.139999,76.449997,76.139999,76.379997,17700,74.522859
2015-07-28,76.43,76.43,76.00,76.199997,32500,74.347235
2015-07-27,76.220001,76.400002,76.059998,76.239998,55600,74.386263
2015-07-24,76.599998,76.599998,76.32,76.459999,81400,74.600915
2015-07-23,76.75,76.769997,76.489998,76.57,19400,74.708241
2015-07-22,76.610001,76.93,76.589996,76.739998,33200,74.874106
2015-07-21,76.75,76.779999,76.610001,76.760002,42900,74.893624
2015-07-20,76.760002,76.839996,76.57,76.739998,48100,74.874106
2015-07-17,76.760002,76.870003,76.620003,76.860001,34500,74.991191
2015-07-16,76.449997,76.849998,76.43,76.849998,164000,74.981432
2015-07-15,76.449997,76.68,76.410004,76.620003,35800,74.757029
2015-07-14,76.669998,76.75,76.50,76.599998,41600,74.737511
2015-07-13,76.790001,76.790001,76.419998,76.639999,25500,74.776539
2015-07-10,76.580002,76.739998,76.529999,76.709999,32000,74.844837
2015-07-09,76.400002,76.690002,76.400002,76.529999,16000,74.669213
2015-07-08,76.610001,76.610001,76.32,76.440002,26800,74.581405
2015-07-07,76.75,76.75,76.379997,76.540001,169300,74.678972
2015-07-06,76.989998,76.989998,76.639999,76.769997,63900,74.903375
2015-07-02,76.580002,76.910004,76.489998,76.889999,34300,75.02046
2015-07-01,76.730003,76.730003,76.389999,76.589996,41900,74.727752
2015-06-30,77.050003,77.050003,76.489998,76.940002,83400,74.781422
2015-06-29,76.900002,76.93,76.629997,76.889999,31500,74.732822
2015-06-26,77.019997,77.040001,76.730003,77.029999,23900,74.868894
2015-06-25,77.300003,77.300003,77.029999,77.239998,34200,75.073001
2015-06-24,77.279999,77.309998,77.089996,77.309998,31100,75.141037
2015-06-23,77.029999,77.239998,76.870003,77.220001,29900,75.053566
2015-06-22,76.720001,77.099998,76.720001,77.099998,43900,74.93693
