Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,13.01,13.01,13.01,13.01,100,13.01
2016-01-21,13.01,13.10,13.00,13.00,2600,13.00
2016-01-20,13.50,13.50,13.50,13.50,2400,13.50
2016-01-19,13.00,13.00,13.00,13.00,200,13.00
2016-01-15,13.20,13.20,13.19,13.20,3200,13.20
2016-01-14,13.02,13.38,12.25,12.70,1400,12.70
2016-01-13,12.73,12.73,12.73,12.73,300,12.73
2016-01-12,12.75,12.75,12.75,12.75,000,12.75
2016-01-11,12.75,12.75,12.75,12.75,000,12.75
2016-01-08,12.75,12.75,12.75,12.75,000,12.75
2016-01-07,12.75,12.75,12.75,12.75,1000,12.75
2016-01-06,13.50,13.50,13.50,13.50,000,13.50
2016-01-05,13.50,13.50,13.50,13.50,000,13.50
2016-01-04,13.50,13.50,12.57,13.50,600,13.50
2015-12-31,13.21,13.21,13.21,13.21,300,13.12
2015-12-30,12.56,12.56,12.56,12.56,000,12.474429
2015-12-29,12.56,12.56,12.56,12.56,000,12.474429
2015-12-28,12.56,12.56,12.56,12.56,000,12.474429
2015-12-24,12.56,12.56,12.56,12.56,000,12.474429
2015-12-23,12.80,12.80,12.56,12.56,1200,12.474429
2015-12-22,12.90,12.90,12.90,12.90,200,12.812111
2015-12-21,12.94,12.94,12.94,12.94,500,12.851839
2015-12-18,13.02,13.48,12.75,12.96,2500,12.871703
2015-12-17,12.75,12.83,12.63,12.63,1700,12.543951
2015-12-16,12.96,12.96,12.96,12.96,000,12.871703
2015-12-15,12.96,12.96,12.96,12.96,000,12.871703
2015-12-14,12.96,12.96,12.96,12.96,600,12.871703
2015-12-11,12.68,13.50,12.63,12.63,800,12.543951
2015-12-10,12.62,12.62,12.62,12.62,000,12.534019
2015-12-09,12.62,12.62,12.62,12.62,000,12.534019
2015-12-08,12.65,12.65,12.62,12.62,800,12.534019
2015-12-07,12.55,12.55,12.55,12.55,000,12.464496
2015-12-04,12.55,12.55,12.55,12.55,100,12.464496
2015-12-03,12.80,12.80,12.80,12.80,000,12.712793
2015-12-02,12.80,12.80,12.80,12.80,1000,12.712793
2015-12-01,12.96,12.96,12.96,12.96,000,12.871703
2015-11-30,12.95,12.96,12.95,12.96,1100,12.871703
2015-11-27,12.65,12.65,12.65,12.65,000,12.563815
2015-11-25,12.65,12.65,12.65,12.65,1100,12.563815
2015-11-24,12.50,12.50,12.50,12.50,300,12.414837
2015-11-23,12.96,12.96,12.96,12.96,000,12.871703
2015-11-20,12.98,12.98,12.96,12.96,500,12.871703
2015-11-19,12.51,12.51,12.50,12.50,1000,12.414837
2015-11-18,12.54,12.54,12.54,12.54,200,12.454564
2015-11-17,12.53,12.55,12.53,12.55,1200,12.464496
2015-11-16,12.50,12.50,12.50,12.50,100,12.414837
2015-11-13,12.50,12.50,12.50,12.50,4400,12.414837
2015-11-12,12.40,12.40,12.30,12.40,3300,12.315518
2015-11-11,12.20,12.38,12.20,12.38,5600,12.295655
2015-11-10,12.24,12.24,12.16,12.16,1400,12.077153
2015-11-09,12.24,12.24,12.24,12.24,700,12.156608
2015-11-06,12.37,12.37,12.15,12.25,6900,12.16654
2015-11-05,12.33,12.33,12.33,12.33,000,12.245995
2015-11-04,12.33,12.33,12.33,12.33,000,12.245995
2015-11-03,12.34,12.34,12.33,12.33,1400,12.245995
2015-11-02,12.22,12.29,12.21,12.29,1800,12.206268
2015-10-30,12.25,12.25,12.25,12.25,000,12.16654
2015-10-29,12.24,12.25,12.24,12.25,700,12.16654
2015-10-28,11.73,12.34,11.73,12.25,6400,12.16654
2015-10-27,12.33,12.34,11.69,11.90,5200,11.818924
2015-10-26,12.05,12.08,12.05,12.08,300,11.997698
2015-10-23,12.05,12.41,12.05,12.38,1000,12.295655
2015-10-22,12.28,12.28,12.04,12.10,6200,12.017562
2015-10-21,12.28,12.28,12.28,12.28,600,12.196335
2015-10-20,12.25,12.25,12.25,12.25,000,12.16654
2015-10-19,12.42,12.42,12.10,12.25,8600,12.16654
2015-10-16,12.53,12.53,12.50,12.51,1800,12.424769
2015-10-15,12.95,12.95,12.95,12.95,400,12.861771
2015-10-14,13.16,13.16,12.50,13.00,1500,12.91143
2015-10-13,12.77,12.77,12.77,12.77,000,12.682998
2015-10-12,12.77,12.77,12.77,12.77,000,12.682998
2015-10-09,12.77,12.77,12.77,12.77,000,12.682998
2015-10-08,12.77,12.77,12.77,12.77,200,12.593611
2015-10-07,12.59,12.60,12.50,12.55,5900,12.37665
2015-10-06,12.59,12.59,12.59,12.59,000,12.416097
2015-10-05,12.50,12.60,12.50,12.59,1900,12.416097
2015-10-02,12.45,12.45,12.34,12.34,200,12.16955
2015-10-01,12.50,12.50,12.50,12.50,000,12.32734
2015-09-30,12.59,12.59,12.50,12.50,600,12.32734
2015-09-29,12.50,12.50,12.50,12.50,000,12.32734
2015-09-28,12.50,12.50,12.50,12.50,000,12.32734
2015-09-25,12.60,12.60,12.50,12.50,800,12.32734
2015-09-24,12.50,12.66,12.50,12.66,700,12.48513
2015-09-23,12.55,12.55,12.55,12.55,000,12.37665
2015-09-22,12.55,12.55,12.55,12.55,1300,12.37665
2015-09-21,13.13,13.13,13.13,13.13,000,12.948638
2015-09-18,12.75,13.13,12.50,13.13,1200,12.948638
2015-09-17,12.53,12.75,12.53,12.75,300,12.573887
2015-09-16,12.75,12.75,12.75,12.75,100,12.573887
2015-09-15,12.55,12.55,12.50,12.50,1000,12.32734
2015-09-14,12.70,12.70,12.40,12.55,1600,12.37665
2015-09-11,12.50,12.52,12.50,12.52,2700,12.347064
2015-09-10,12.60,12.60,12.54,12.54,800,12.366788
2015-09-09,12.60,12.60,12.60,12.60,300,12.425959
2015-09-08,12.68,12.68,12.68,12.68,300,12.504854
2015-09-04,12.92,12.92,12.92,12.92,200,12.741539
2015-09-03,12.65,12.65,12.65,12.65,000,12.475268
2015-09-02,12.65,12.65,12.65,12.65,300,12.475268
2015-09-01,13.02,13.02,13.02,13.02,000,12.840158
2015-08-31,13.02,13.02,13.02,13.02,100,12.840158
2015-08-28,12.64,12.64,12.64,12.64,100,12.465407
2015-08-27,12.59,12.59,12.59,12.59,000,12.416097
2015-08-26,12.59,12.59,12.59,12.59,400,12.416097
2015-08-25,13.01,13.01,13.01,13.01,800,12.830296
2015-08-24,13.00,13.00,13.00,13.00,000,12.820434
2015-08-21,13.13,13.13,13.00,13.00,1300,12.820434
2015-08-20,13.03,13.03,12.75,12.75,400,12.573887
2015-08-19,13.20,13.20,13.20,13.20,000,13.017671
2015-08-18,13.20,13.20,13.20,13.20,000,13.017671
2015-08-17,12.71,13.20,12.71,13.20,1700,13.017671
2015-08-14,12.80,12.83,12.40,12.55,3000,12.37665
2015-08-13,12.30,12.45,12.30,12.40,2800,12.228721
2015-08-12,12.55,12.79,12.41,12.41,2500,12.238583
2015-08-11,12.60,12.65,12.55,12.65,500,12.475268
2015-08-10,12.73,12.73,12.65,12.65,1300,12.475268
2015-08-07,12.59,12.60,12.59,12.60,300,12.425959
2015-08-06,12.60,12.60,12.60,12.60,100,12.425959
2015-08-05,12.67,12.67,12.61,12.61,2200,12.435821
2015-08-04,12.61,12.61,12.61,12.61,400,12.435821
2015-08-03,12.66,12.66,12.66,12.66,200,12.48513
2015-07-31,12.80,13.00,12.80,12.92,900,12.741539
2015-07-30,12.70,12.70,12.70,12.70,700,12.524578
2015-07-29,12.56,13.03,12.56,12.86,2900,12.682367
2015-07-28,12.75,12.85,12.75,12.75,1000,12.573887
2015-07-27,13.00,13.00,13.00,13.00,200,12.820434
2015-07-24,12.74,12.74,12.53,12.53,400,12.356926
2015-07-23,12.52,12.52,12.20,12.49,25700,12.317478
2015-07-22,12.65,13.01,12.50,12.62,19800,12.445683
2015-07-21,12.90,12.91,12.67,12.67,5300,12.494992
2015-07-20,13.21,13.21,13.03,13.03,1200,12.850019
2015-07-17,13.21,13.48,13.16,13.39,3300,13.205047
2015-07-16,13.47,13.47,13.47,13.47,100,13.283942
2015-07-15,13.16,13.50,13.16,13.50,400,13.313527
2015-07-14,13.46,13.46,13.46,13.46,200,13.27408
2015-07-13,13.47,13.47,13.47,13.47,100,13.283942
2015-07-10,13.44,13.44,13.44,13.44,300,13.165599
