Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,9.61,10.38,9.61,10.27,20600,10.27
2016-01-21,9.77,10.18,9.48,9.57,34500,9.57
2016-01-20,10.01,10.01,9.23,9.67,79700,9.67
2016-01-19,10.40,10.85,10.20,10.29,26300,10.29
2016-01-15,9.99,10.52,9.50,10.24,55300,10.24
2016-01-14,10.42,10.42,9.67,10.18,53800,10.18
2016-01-13,10.84,10.96,10.36,10.40,39300,10.40
2016-01-12,11.04,11.21,10.84,10.84,13800,10.84
2016-01-11,11.15,11.18,10.86,11.03,22100,11.03
2016-01-08,11.12,11.45,11.12,11.19,12900,11.19
2016-01-07,11.49,11.82,11.17,11.17,173900,11.17
2016-01-06,11.88,12.21,11.68,11.73,36500,11.73
2016-01-05,11.42,12.25,11.35,12.25,36200,12.25
2016-01-04,11.56,12.14,11.49,11.50,40300,11.50
2015-12-31,11.86,12.20,11.48,11.48,39100,11.48
2015-12-30,11.88,12.03,11.85,11.89,26100,11.89
2015-12-29,11.83,12.10,11.75,12.00,32400,12.00
2015-12-28,11.44,11.85,11.34,11.78,21800,11.78
2015-12-24,11.56,11.77,11.46,11.46,17200,11.46
2015-12-23,11.19,11.58,11.13,11.48,38800,11.48
2015-12-22,11.19,11.25,11.08,11.21,21000,11.21
2015-12-21,11.29,11.33,11.03,11.20,48200,11.20
2015-12-18,11.37,11.55,11.10,11.27,41200,11.27
2015-12-17,11.48,11.71,11.37,11.40,28600,11.40
2015-12-16,11.55,11.95,11.32,11.93,59800,11.575
2015-12-15,11.39,11.64,11.25,11.60,32200,11.25482
2015-12-14,11.82,11.85,11.16,11.40,61800,11.060771
2015-12-11,11.74,12.00,11.65,11.73,40300,11.380951
2015-12-10,11.67,12.00,11.65,11.98,12200,11.623512
2015-12-09,12.00,12.03,11.65,11.73,24800,11.380951
2015-12-08,12.06,12.11,11.86,11.87,29100,11.516785
2015-12-07,12.67,12.77,12.10,12.19,32200,11.827263
2015-12-04,12.76,12.76,12.62,12.67,16800,12.29298
2015-12-03,12.75,12.92,12.63,12.64,22300,12.263873
2015-12-02,12.91,12.91,12.80,12.83,6300,12.448219
2015-12-01,12.72,12.99,12.72,12.87,41600,12.487029
2015-11-30,12.73,12.85,12.64,12.75,30700,12.370599
2015-11-27,12.62,12.67,12.59,12.65,13100,12.273575
2015-11-25,12.87,12.96,12.55,12.70,31600,12.322087
2015-11-24,12.82,12.91,12.68,12.77,32600,12.390005
2015-11-23,12.72,12.99,12.65,12.89,15700,12.506434
2015-11-20,12.63,12.82,12.63,12.68,37200,12.302683
2015-11-19,12.52,12.67,12.52,12.63,14300,12.25417
2015-11-18,12.38,12.56,12.38,12.52,24100,12.147444
2015-11-17,12.41,12.48,12.25,12.42,27500,12.050419
2015-11-16,12.29,12.43,12.29,12.39,15800,12.021312
2015-11-13,12.25,12.43,12.24,12.31,32400,11.943693
2015-11-12,12.24,12.32,12.18,12.20,21000,11.836966
2015-11-11,12.10,12.34,12.05,12.25,29300,11.885478
2015-11-10,12.04,12.14,11.95,12.03,31500,11.672024
2015-11-09,12.27,12.30,12.05,12.05,45800,11.691429
2015-11-06,11.66,12.33,11.66,12.23,57400,11.866073
2015-11-05,11.97,12.15,11.68,11.73,106200,11.380951
2015-11-04,11.90,11.99,11.70,11.75,82800,11.400356
2015-11-03,11.72,11.89,11.60,11.80,76900,11.448869
2015-11-02,11.71,11.85,11.57,11.79,80200,11.439166
2015-10-30,11.77,11.83,11.65,11.69,60000,11.342141
2015-10-29,11.66,11.92,11.66,11.69,60100,11.342141
2015-10-28,11.83,11.87,11.40,11.79,165900,11.439166
2015-10-27,11.77,12.00,11.69,11.76,83900,11.410059
2015-10-26,12.92,12.94,11.75,11.77,106400,11.419762
2015-10-23,13.43,13.43,12.86,12.90,39600,12.516136
2015-10-22,13.54,13.54,13.37,13.43,22800,13.030365
2015-10-21,13.40,13.52,13.37,13.42,19700,13.020662
2015-10-20,13.51,13.63,13.44,13.48,26100,13.078876
2015-10-19,13.48,13.68,13.46,13.47,16800,13.069175
2015-10-16,13.47,13.63,13.42,13.55,40200,13.146794
2015-10-15,13.14,13.55,13.14,13.45,41200,13.049769
2015-10-14,13.35,13.43,13.09,13.21,49400,12.816911
2015-10-13,13.23,13.50,13.21,13.25,45200,12.855721
2015-10-12,13.08,13.55,12.98,13.33,28000,12.93334
2015-10-09,13.19,13.29,12.98,13.08,30500,12.69078
2015-10-08,12.90,13.25,12.89,13.12,12500,12.729589
2015-10-07,12.82,13.05,12.82,12.98,43200,12.593755
2015-10-06,12.80,12.92,12.71,12.76,59900,12.380302
2015-10-05,12.57,12.80,12.53,12.76,31500,12.380302
2015-10-02,12.39,12.46,12.15,12.42,40200,12.050419
2015-10-01,11.63,12.47,11.63,12.44,62600,12.069824
2015-09-30,11.77,12.25,11.50,11.64,277300,11.29363
2015-09-29,12.23,12.31,11.51,11.52,119400,11.177201
2015-09-28,13.41,13.54,12.09,12.20,167100,11.836966
2015-09-25,13.42,13.75,13.39,13.43,94000,13.030365
2015-09-24,12.96,13.51,12.83,13.37,54800,12.97215
2015-09-23,13.01,13.25,12.90,12.90,27100,12.516136
2015-09-22,13.06,13.26,12.91,13.01,39800,12.622863
2015-09-21,13.06,13.23,13.06,13.20,38800,12.807209
2015-09-18,12.96,13.16,12.96,13.09,30800,12.700482
2015-09-17,13.25,13.25,12.84,12.96,61400,12.574351
2015-09-16,13.50,13.68,13.45,13.56,53000,12.81206
2015-09-15,13.45,13.54,13.35,13.50,41500,12.755369
2015-09-14,13.28,13.53,13.26,13.43,49700,12.68923
2015-09-11,13.25,13.27,13.06,13.18,27000,12.45302
2015-09-10,13.01,13.28,13.01,13.16,24600,12.434123
2015-09-09,13.01,13.26,13.01,13.13,28000,12.405778
2015-09-08,13.06,13.07,12.95,13.04,24600,12.320742
2015-09-04,12.79,12.95,12.70,12.89,21200,12.179016
2015-09-03,12.75,12.94,12.70,12.84,22200,12.131773
2015-09-02,12.70,12.75,12.65,12.71,51500,12.008944
2015-09-01,12.60,12.77,12.58,12.73,34500,12.02784
2015-08-31,12.57,12.70,12.57,12.69,19300,11.990047
2015-08-28,12.46,12.72,12.45,12.59,20600,11.895563
2015-08-27,12.54,12.80,12.44,12.49,40400,11.801078
2015-08-26,12.40,12.65,12.27,12.51,19700,11.819976
2015-08-25,12.32,12.60,12.32,12.37,33700,11.687697
2015-08-24,12.24,12.42,12.24,12.42,38700,11.73494
2015-08-21,12.74,12.86,12.55,12.72,22100,12.018393
2015-08-20,12.78,12.81,12.64,12.70,25600,11.999495
2015-08-19,12.72,12.78,12.57,12.78,22700,12.075083
2015-08-18,12.75,12.95,12.69,12.72,46600,12.018393
2015-08-17,12.63,12.97,12.49,12.78,39400,12.075083
2015-08-14,12.43,12.68,12.41,12.62,15700,11.923908
2015-08-13,12.44,12.64,12.37,12.47,11400,11.782182
2015-08-12,12.16,12.51,12.09,12.46,17800,11.772733
2015-08-11,12.61,12.68,12.02,12.28,45100,11.602661
2015-08-10,12.68,12.85,12.04,12.60,37100,11.905012
2015-08-07,12.86,12.95,12.62,12.70,24300,11.999495
2015-08-06,12.35,13.00,12.12,12.94,77200,12.226257
2015-08-05,11.78,12.06,11.28,11.85,40600,11.19638
2015-08-04,11.76,11.76,11.50,11.68,28200,11.035757
2015-08-03,11.81,11.81,11.50,11.70,36400,11.054653
2015-07-31,11.83,12.09,11.59,11.84,16300,11.186931
2015-07-30,11.84,12.20,11.84,11.87,14600,11.215276
2015-07-29,11.85,12.00,11.76,11.81,23600,11.158586
2015-07-28,11.70,11.91,11.55,11.78,26400,11.13024
2015-07-27,11.84,11.89,11.50,11.62,29200,10.979066
