Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,14.60,14.79,14.45,14.53,105100,14.53
2016-01-21,13.94,14.53,13.90,14.23,104400,14.23
2016-01-20,13.86,14.48,13.86,14.48,5300,14.47
2016-01-19,14.48,14.54,14.18,14.28,101400,14.270138
2016-01-15,14.65,14.65,14.19,14.44,11300,14.430028
2016-01-14,14.70,14.89,14.44,14.65,53500,14.639883
2016-01-13,15.20,15.25,14.65,14.65,12400,14.639883
2016-01-12,15.15,15.17,14.95,15.00,34300,14.989641
2016-01-11,15.26,15.26,15.15,15.15,4500,15.139537
2016-01-08,15.51,15.51,15.16,15.33,3500,15.319413
2016-01-07,15.40,15.78,15.24,15.24,5700,15.229475
2016-01-06,15.80,15.80,15.50,15.50,7300,15.489296
2016-01-05,15.83,16.07,15.73,15.81,1700,15.799082
2016-01-04,16.49,16.49,15.83,16.16,12100,16.14884
2015-12-31,16.280001,16.879999,16.059999,16.610001,11600,16.59853
2015-12-30,16.34,16.57,16.16,16.51,37100,16.498599
2015-12-29,16.48,16.559999,16.040001,16.35,17500,16.338709
2015-12-28,15.92,16.450001,15.87,16.43,3800,16.418654
2015-12-24,16.73,16.73,16.129999,16.129999,12300,16.11886
2015-12-23,15.84,16.35,15.84,16.07,69500,16.058902
2015-12-22,16.07,16.190001,15.97,16.190001,25400,16.084884
2015-12-21,15.92,18.719999,15.58,16.120001,81900,16.015339
2015-12-18,16.00,16.73,15.84,16.030001,147700,15.925923
2015-12-17,16.030001,16.030001,15.64,15.85,16000,15.747091
2015-12-16,15.96,16.24,15.89,16.09,13300,15.985533
2015-12-15,16.58,16.58,15.70,15.89,15200,15.786832
2015-12-14,15.55,16.139999,15.54,15.55,62200,15.449039
2015-12-11,15.83,16.27,15.57,15.73,45300,15.62787
2015-12-10,15.78,16.450001,15.78,16.209999,114300,16.104753
2015-12-09,16.030001,16.030001,15.80,15.95,5300,15.846442
2015-12-08,15.94,15.94,15.82,15.91,3400,15.806701
2015-12-07,16.200001,16.200001,16.10,16.15,8600,16.045143
2015-12-04,16.309999,16.370001,16.290001,16.35,4300,16.243845
2015-12-03,16.290001,16.290001,16.27,16.27,1500,16.164365
2015-12-02,16.280001,16.280001,16.25,16.25,2200,16.144494
2015-12-01,16.33,16.40,16.299999,16.34,7800,16.23391
2015-11-30,16.34,16.34,16.17,16.290001,9100,16.184235
2015-11-27,16.299999,16.299999,16.299999,16.299999,100,16.194169
2015-11-25,16.290001,16.40,16.280001,16.40,2000,16.29352
2015-11-24,16.389999,16.43,16.389999,16.43,500,16.323326
2015-11-23,16.440001,16.440001,16.309999,16.440001,1400,16.333261
2015-11-20,16.459999,16.52,16.43,16.459999,900,16.35313
2015-11-19,16.60,16.610001,16.389999,16.549999,5700,16.38989
2015-11-18,16.379999,16.379999,16.299999,16.370001,1600,16.211633
2015-11-17,16.379999,16.40,16.33,16.33,1500,16.172019
2015-11-16,16.209999,16.35,16.209999,16.35,2000,16.191826
2015-11-13,16.120001,16.209999,16.120001,16.209999,4500,16.053179
2015-11-12,16.209999,16.34,16.209999,16.309999,7600,16.152212
2015-11-11,16.299999,16.41,16.299999,16.360001,5900,16.20173
2015-11-10,16.24,16.34,16.24,16.299999,16200,16.142309
2015-11-09,16.290001,16.33,16.25,16.33,7600,16.172019
2015-11-06,16.530001,16.530001,16.379999,16.379999,1000,16.221535
2015-11-05,16.719999,16.719999,16.690001,16.690001,2800,16.528537
2015-11-04,16.66,16.709999,16.559999,16.66,25400,16.498827
2015-11-03,16.530001,16.790001,16.530001,16.780001,23200,16.617667
2015-11-02,16.540001,16.709999,16.530001,16.58,15700,16.419601
2015-10-30,16.530001,16.65,16.530001,16.610001,2200,16.449311
2015-10-29,16.58,16.60,16.440001,16.440001,900,16.280956
2015-10-28,16.76,16.85,16.59,16.85,2700,16.686989
2015-10-27,16.790001,16.790001,16.74,16.74,1600,16.578053
2015-10-26,16.73,16.75,16.73,16.75,1100,16.587956
2015-10-23,16.73,16.76,16.709999,16.76,2200,16.59786
2015-10-22,16.84,16.879999,16.74,16.74,1600,16.578053
2015-10-21,16.690001,16.690001,16.67,16.68,1200,16.518634
2015-10-20,16.77,16.77,16.77,16.77,600,16.549333
2015-10-19,16.82,16.85,16.74,16.85,1800,16.628281
2015-10-16,16.90,16.90,16.90,16.90,000,16.677622
2015-10-15,16.84,16.90,16.84,16.90,3100,16.677622
2015-10-14,16.629999,16.709999,16.559999,16.709999,2300,16.490122
2015-10-13,16.549999,16.67,16.549999,16.67,1400,16.450649
2015-10-12,16.790001,16.790001,16.790001,16.790001,200,16.569071
2015-10-09,16.790001,16.790001,16.790001,16.790001,500,16.569071
2015-10-08,16.58,16.74,16.51,16.58,4300,16.361833
2015-10-07,16.74,16.74,16.51,16.629999,7000,16.411174
2015-10-06,16.40,16.41,16.379999,16.40,7000,16.184201
2015-10-05,16.290001,16.299999,16.26,16.299999,2500,16.085517
